module,gene,role
ERBB_RECEPTORS,EGFR,receptor
ERBB_RECEPTORS,ERBB2,receptor
ERBB_RECEPTORS,ERBB3,receptor
ERBB_RECEPTORS,ERBB4,receptor
ERBB_LIGANDS,EGF,ligand
ERBB_LIGANDS,TGFA,ligand
ERBB_LIGANDS,AREG,ligand
ERBB_LIGANDS,EREG,ligand
ERBB_LIGANDS,HBEGF,ligand
ERBB_LIGANDS,NRG1,ligand
RAS_MAPK,KRAS,core_pathway
RAS_MAPK,NRAS,core_pathway
RAS_MAPK,HRAS,core_pathway
RAS_MAPK,BRAF,core_pathway
RAS_MAPK,RAF1,core_pathway
RAS_MAPK,MAP2K1,core_pathway
RAS_MAPK,MAP2K2,core_pathway
RAS_MAPK,MAPK1,core_pathway
RAS_MAPK,MAPK3,core_pathway
RAS_MAPK,DUSP6,response_gene
RAS_MAPK,ETV4,response_gene
RAS_MAPK,ETV5,response_gene
PI3K_AKT,PIK3CA,core_pathway
PI3K_AKT,PIK3CB,core_pathway
PI3K_AKT,PIK3CD,core_pathway
PI3K_AKT,AKT1,core_pathway
PI3K_AKT,AKT2,core_pathway
PI3K_AKT,PDPK1,core_pathway
PI3K_AKT,MTOR,core_pathway
PI3K_AKT,RPTOR,core_pathway
PI3K_AKT,RPS6KB1,core_pathway
FGFR_AXIS,FGFR1,receptor
FGFR_AXIS,FGFR2,receptor
FGFR_AXIS,FGFR3,receptor
FGFR_AXIS,FGFR4,receptor
FGFR_AXIS,FGF1,ligand
FGFR_AXIS,FGF2,ligand
FGFR_AXIS,FGF7,ligand
FGFR_AXIS,FGF10,ligand
VEGF_PDGF_AXIS,FLT1,receptor
VEGF_PDGF_AXIS,KDR,receptor
VEGF_PDGF_AXIS,FLT4,receptor
VEGF_PDGF_AXIS,VEGFA,ligand
VEGF_PDGF_AXIS,VEGFB,ligand
VEGF_PDGF_AXIS,VEGFC,ligand
VEGF_PDGF_AXIS,PGF,ligand
VEGF_PDGF_AXIS,PDGFA,ligand
VEGF_PDGF_AXIS,PDGFB,ligand
PDGFR_KIT_CSF1R,PDGFRA,receptor
PDGFR_KIT_CSF1R,PDGFRB,receptor
PDGFR_KIT_CSF1R,KIT,receptor
PDGFR_KIT_CSF1R,CSF1R,receptor
PDGFR_KIT_CSF1R,FLT3,receptor
HGF_MET_AXIS,MET,receptor
HGF_MET_AXIS,MST1R,receptor
HGF_MET_AXIS,HGF,ligand
TAM_AXL_AXIS,AXL,receptor
TAM_AXL_AXIS,TYRO3,receptor
TAM_AXL_AXIS,MERTK,receptor
IGF_INSR_AXIS,IGF1R,receptor
IGF_INSR_AXIS,INSR,receptor
IGF_INSR_AXIS,IGF1,ligand
IGF_INSR_AXIS,IGF2,ligand
RET_ALK_NTRK,RET,receptor
RET_ALK_NTRK,ALK,receptor
RET_ALK_NTRK,ROS1,receptor
RET_ALK_NTRK,NTRK1,receptor
RET_ALK_NTRK,NTRK2,receptor
RET_ALK_NTRK,NTRK3,receptor
EPH_RECEPTORS,EPHA1,receptor
EPH_RECEPTORS,EPHA2,receptor
EPH_RECEPTORS,EPHB2,receptor
EPH_RECEPTORS,EPHB4,receptor
TIE_ANGPT_AXIS,TEK,receptor
TIE_ANGPT_AXIS,ANGPT1,ligand
TIE_ANGPT_AXIS,ANGPT2,ligand
JAK_STAT,JAK1,core_pathway
JAK_STAT,JAK2,core_pathway
JAK_STAT,JAK3,core_pathway
JAK_STAT,TYK2,core_pathway
JAK_STAT,STAT1,core_pathway
JAK_STAT,STAT3,core_pathway
JAK_STAT,STAT5A,core_pathway
JAK_STAT,STAT5B,core_pathway
JAK_STAT,STAT6,core_pathway
SRC_FAK,SRC,core_pathway
SRC_FAK,FYN,core_pathway
SRC_FAK,YES1,core_pathway
SRC_FAK,PTK2,core_pathway
SRC_FAK,PTK2B,core_pathway
TGFB_SMAD,TGFB1,ligand
TGFB_SMAD,TGFBR1,receptor
TGFB_SMAD,TGFBR2,receptor
TGFB_SMAD,SMAD2,downstream
TGFB_SMAD,SMAD3,downstream
WNT_CTNNB1,CTNNB1,core_pathway
WNT_CTNNB1,AXIN2,response_gene
WNT_CTNNB1,MYC,response_gene
WNT_CTNNB1,CCND1,response_gene
