accession,context,pubmed_id,first_author_year
GSE32863,LUAD,22613842,Selamat SA 2012
GSE19804,LUAD,25889623,Lu TP 2015
GSE10072,LUAD,18297132,Landi MT 2008
GSE44076,CRC,36182938,Diez-Villanueva A 2022
GSE41258,CRC,19359472,Sheffer M 2009
GSE23878,CRC,21281787,Uddin S 2011
GSE75214,IBD,28885228,Vancamelbeke M 2017
GSE87473,IBD,29401083,Li K 2018
GSE179285,IBD,34561227,Keir ME 2021
GSE16879,IBD,19956723,Arijs I 2009
GSE4302,Asthma,19628779,Park SW 2009
GSE43696,Asthma,27050946,Li X 2016
GSE67472,Asthma,25611785,Christenson SA 2015
GSE193816,Asthma (sc),37146132,Alladina J 2023
GSE27342,STAD,21445269,Cui J 2011
GSE63089,STAD,25646628,Zhang X 2015
GSE13911,STAD,19081245,D'Errico M 2009
GSE15471,PAAD,28881803,Idichi T 2017
GSE28735,PAAD,23918603,Zhang G 2013
GSE62452,PAAD,27197190,Yang S 2016
GSE57957,HCC,25093504,Mah WC 2014
GSE62232,HCC,25822088,Schulze K 2015
GSE23400,ESCC,26635288,Hyland PL 2016
GSE20347,ESCC,20955586,Hu N 2010
GSE76925,COPD,28287180,Morrow JD 2017
GSE47460,COPD,26560100,Kim S 2015
GSE33814,NAFLD,23071592,Starmann J 2012
GSE66676,NAFLD,26026390,Xanthakos SA 2015
GSE39582,CRC (external),23700391,Marisa L 2013
GSE21501,PDAC (external),20644708,Stratford JK 2010
GSE62254,"STAD (external, ACRG)",25894828,Cristescu R 2015
