module,gene_left_out,n_cohorts,spearman_r,median_smd_loo,median_smd_full
EPH_RECEPTORS,EPHA1,26,0.925,0.491,0.507
EPH_RECEPTORS,EPHA2,26,0.904,0.617,0.507
EPH_RECEPTORS,EPHB2,25,0.959,0.465,0.514
EPH_RECEPTORS,EPHB4,26,0.96,0.388,0.507
ERBB_LIGANDS,AREG,24,0.925,-0.072,-0.071
ERBB_LIGANDS,EGF,26,0.96,-0.12,-0.071
ERBB_LIGANDS,EREG,26,0.893,-0.067,-0.071
ERBB_LIGANDS,HBEGF,26,0.944,-0.118,-0.071
ERBB_LIGANDS,NRG1,26,0.917,-0.0,-0.071
ERBB_LIGANDS,TGFA,26,0.924,-0.056,-0.071
ERBB_RECEPTORS,EGFR,26,0.94,-0.192,-0.241
ERBB_RECEPTORS,ERBB2,26,0.861,-0.204,-0.241
ERBB_RECEPTORS,ERBB3,26,0.909,-0.259,-0.241
ERBB_RECEPTORS,ERBB4,25,0.916,-0.093,-0.355
FGFR_AXIS,FGF1,26,0.975,-0.423,-0.402
FGFR_AXIS,FGF10,22,0.944,-0.301,-0.344
FGFR_AXIS,FGF2,23,0.957,-0.486,-0.45
FGFR_AXIS,FGF7,24,0.956,-0.455,-0.441
FGFR_AXIS,FGFR1,26,0.914,-0.37,-0.402
FGFR_AXIS,FGFR2,22,0.92,-0.275,-0.441
FGFR_AXIS,FGFR3,26,0.929,-0.302,-0.402
FGFR_AXIS,FGFR4,26,0.933,-0.402,-0.402
HGF_MET_AXIS,HGF,25,0.789,0.621,0.462
HGF_MET_AXIS,MET,25,0.764,0.243,0.462
HGF_MET_AXIS,MST1R,25,0.889,0.536,0.462
IGF_INSR_AXIS,IGF1,26,0.778,-0.372,-0.456
IGF_INSR_AXIS,IGF1R,26,0.945,-0.537,-0.456
IGF_INSR_AXIS,IGF2,9,0.867,-0.282,-0.379
IGF_INSR_AXIS,INSR,25,0.825,-0.259,-0.496
JAK_STAT,JAK1,25,0.984,0.12,0.208
JAK_STAT,JAK2,25,0.987,0.296,0.208
JAK_STAT,JAK3,25,0.992,0.141,0.201
JAK_STAT,STAT1,26,0.982,0.194,0.205
JAK_STAT,STAT3,26,0.975,0.23,0.205
JAK_STAT,STAT5A,24,0.973,0.07,0.134
JAK_STAT,STAT5B,23,0.982,0.064,0.067
JAK_STAT,STAT6,26,0.992,0.213,0.205
JAK_STAT,TYK2,26,0.982,0.139,0.205
PDGFR_KIT_CSF1R,CSF1R,26,0.979,-0.034,-0.034
PDGFR_KIT_CSF1R,FLT3,26,0.96,0.094,-0.034
PDGFR_KIT_CSF1R,KIT,26,0.908,-0.128,-0.034
PDGFR_KIT_CSF1R,PDGFRA,24,0.971,-0.013,-0.126
PDGFR_KIT_CSF1R,PDGFRB,22,0.968,-0.176,0.05
PI3K_AKT,AKT1,25,0.792,0.231,0.222
PI3K_AKT,AKT2,26,0.885,0.304,0.21
PI3K_AKT,MTOR,26,0.876,0.242,0.21
PI3K_AKT,PDPK1,24,0.775,0.313,0.196
PI3K_AKT,PIK3CA,26,0.877,0.144,0.21
PI3K_AKT,PIK3CB,26,0.944,0.11,0.21
PI3K_AKT,PIK3CD,26,0.837,0.229,0.21
PI3K_AKT,RPS6KB1,26,0.888,0.233,0.21
PI3K_AKT,RPTOR,22,0.951,0.24,0.208
RAS_MAPK,BRAF,17,0.963,0.253,0.286
RAS_MAPK,DUSP6,24,0.953,0.234,0.295
RAS_MAPK,ETV4,26,0.943,0.118,0.295
RAS_MAPK,ETV5,26,0.966,0.272,0.295
RAS_MAPK,HRAS,26,0.964,0.243,0.295
RAS_MAPK,KRAS,24,0.957,0.235,0.295
RAS_MAPK,MAP2K1,24,0.954,0.186,0.295
RAS_MAPK,MAP2K2,24,0.949,0.219,0.295
RAS_MAPK,MAPK1,26,0.973,0.318,0.295
RAS_MAPK,MAPK3,26,0.96,0.305,0.295
RAS_MAPK,NRAS,26,0.977,0.189,0.295
RAS_MAPK,RAF1,22,0.981,0.258,0.254
RET_ALK_NTRK,ALK,22,0.974,-0.404,-0.414
RET_ALK_NTRK,NTRK1,21,0.942,-0.34,-0.449
RET_ALK_NTRK,NTRK2,22,0.955,-0.397,-0.414
RET_ALK_NTRK,NTRK3,22,0.955,-0.283,-0.414
RET_ALK_NTRK,RET,22,0.962,-0.305,-0.414
RET_ALK_NTRK,ROS1,22,0.974,-0.424,-0.414
SRC_FAK,FYN,24,0.649,-0.04,-0.126
SRC_FAK,PTK2,26,0.918,0.089,-0.021
SRC_FAK,PTK2B,25,0.795,0.185,0.056
SRC_FAK,SRC,26,0.886,0.019,-0.021
SRC_FAK,YES1,26,0.923,0.123,-0.021
TAM_AXL_AXIS,AXL,23,0.641,0.23,-0.119
TAM_AXL_AXIS,MERTK,23,0.888,-0.076,-0.119
TAM_AXL_AXIS,TYRO3,23,0.512,-0.189,-0.119
TGFB_SMAD,SMAD2,26,0.964,0.237,0.173
TGFB_SMAD,SMAD3,26,0.973,0.207,0.173
TGFB_SMAD,TGFB1,25,0.97,-0.034,0.171
TGFB_SMAD,TGFBR1,25,0.967,0.077,0.175
TGFB_SMAD,TGFBR2,26,0.938,0.125,0.173
TIE_ANGPT_AXIS,ANGPT1,26,0.79,0.186,0.073
TIE_ANGPT_AXIS,ANGPT2,26,0.898,-0.265,0.073
TIE_ANGPT_AXIS,TEK,26,0.731,0.307,0.073
VEGF_PDGF_AXIS,FLT1,25,0.981,0.237,0.279
VEGF_PDGF_AXIS,FLT4,25,0.963,0.376,0.279
VEGF_PDGF_AXIS,KDR,26,0.989,0.258,0.254
VEGF_PDGF_AXIS,PDGFA,25,0.952,0.195,0.23
VEGF_PDGF_AXIS,PDGFB,26,0.973,0.239,0.254
VEGF_PDGF_AXIS,PGF,25,0.995,0.144,0.279
VEGF_PDGF_AXIS,VEGFA,26,0.976,0.233,0.254
VEGF_PDGF_AXIS,VEGFB,26,0.986,0.291,0.254
VEGF_PDGF_AXIS,VEGFC,26,0.984,0.173,0.254
WNT_CTNNB1,AXIN2,22,0.935,0.173,0.184
WNT_CTNNB1,CCND1,26,0.966,0.315,0.263
WNT_CTNNB1,CTNNB1,26,0.944,0.136,0.263
WNT_CTNNB1,MYC,26,0.938,0.365,0.263
