module,n_genes,n_cohorts,r_overall,r_min,r_median,most_influential
EPH_RECEPTORS,3,26,0.928,0.904,0.942,EPHA2
ERBB_LIGANDS,5,26,0.923,0.893,0.925,EREG
ERBB_RECEPTORS,3,26,0.907,0.861,0.913,ERBB2
FGFR_AXIS,7,26,0.931,0.914,0.938,FGFR1
HGF_MET_AXIS,2,25,0.822,0.764,0.789,MET
IGF_INSR_AXIS,3,26,0.845,0.778,0.846,IGF1
JAK_STAT,8,26,0.979,0.973,0.982,STAT5A
PDGFR_KIT_CSF1R,4,26,0.954,0.908,0.968,KIT
PI3K_AKT,8,26,0.862,0.775,0.877,PDPK1
RAS_MAPK,11,26,0.957,0.943,0.961,ETV4
RET_ALK_NTRK,5,22,0.955,0.942,0.958,NTRK1
SRC_FAK,4,26,0.85,0.649,0.886,FYN
TAM_AXL_AXIS,2,23,0.654,0.512,0.641,TYRO3
TGFB_SMAD,4,26,0.949,0.938,0.967,TGFBR2
TIE_ANGPT_AXIS,2,26,0.742,0.731,0.79,TEK
VEGF_PDGF_AXIS,8,26,0.976,0.952,0.981,PDGFA
WNT_CTNNB1,3,26,0.939,0.935,0.941,AXIN2
