"context","gene","n_mutated","n_sequenced","mutated_percent"
"CRC","AKT1",11,592,1.85810810810811
"CRC","AKT2",5,592,0.844594594594595
"CRC","ALK",32,592,5.40540540540541
"CRC","ANGPT1",6,592,1.01351351351351
"CRC","ANGPT2",14,592,2.36486486486486
"CRC","AREG",3,592,0.506756756756757
"CRC","AXIN2",29,592,4.89864864864865
"CRC","AXL",14,592,2.36486486486486
"CRC","BRAF",62,592,10.472972972973
"CRC","CCND1",2,592,0.337837837837838
"CRC","CSF1R",15,592,2.53378378378378
"CRC","CTNNB1",33,592,5.57432432432432
"CRC","DUSP6",6,592,1.01351351351351
"CRC","EGF",13,592,2.19594594594595
"CRC","EGFR",15,592,2.53378378378378
"CRC","EPHA1",12,592,2.02702702702703
"CRC","EPHA2",18,592,3.04054054054054
"CRC","EPHB2",17,592,2.87162162162162
"CRC","EPHB4",14,592,2.36486486486486
"CRC","ERBB2",20,592,3.37837837837838
"CRC","ERBB3",29,592,4.89864864864865
"CRC","ERBB4",49,592,8.27702702702703
"CRC","EREG",2,592,0.337837837837838
"CRC","ETV4",4,592,0.675675675675676
"CRC","ETV5",13,592,2.19594594594595
"CRC","FGF1",4,592,0.675675675675676
"CRC","FGF10",9,592,1.52027027027027
"CRC","FGF2",5,592,0.844594594594595
"CRC","FGF7",3,592,0.506756756756757
"CRC","FGFR1",14,592,2.36486486486486
"CRC","FGFR2",16,592,2.7027027027027
"CRC","FGFR3",17,592,2.87162162162162
"CRC","FGFR4",8,592,1.35135135135135
"CRC","FLT1",24,592,4.05405405405405
"CRC","FLT3",10,592,1.68918918918919
"CRC","FLT4",30,592,5.06756756756757
"CRC","FYN",14,592,2.36486486486486
"CRC","HBEGF",2,592,0.337837837837838
"CRC","HGF",21,592,3.5472972972973
"CRC","HRAS",4,592,0.675675675675676
"CRC","IGF1",7,592,1.18243243243243
"CRC","IGF1R",16,592,2.7027027027027
"CRC","IGF2",9,592,1.52027027027027
"CRC","INSR",17,592,2.87162162162162
"CRC","JAK1",21,592,3.5472972972973
"CRC","JAK2",15,592,2.53378378378378
