"context","driver","feature","n_plus","n_minus","events_plus","events_minus","HR_plus","p_plus","HR_minus","p_minus","HR_interaction","p_interaction","fdr_interaction"
"PAAD","KRAS_mut","EGFR",98,76,60,32,1.12236494202298,0.409741805068137,1.58748030143445,0.0142351752429398,0.683940458301797,0.109023261279622,0.841036587014223
"PAAD","KRAS_mut","EPH_RECEPTORS",98,76,60,32,0.961306884451495,0.848668363235065,1.62185322500626,0.00734583569207545,0.609234195529666,0.0701497861231087,0.761450908658184
"PAAD","KRAS_mut","ERBB_LIGANDS",98,76,60,32,1.29759713391103,0.081183855587497,1.63858161811741,0.00239405391764337,0.808484386251712,0.328251385861672,0.957898382242042
"PAAD","KRAS_mut","ERBB_RECEPTORS",98,76,60,32,1.25147632164004,0.342341551247568,1.55653039665557,0.00462242417870566,0.811692229535685,0.458724343562895,0.957898382242042
"PAAD","KRAS_mut","FGFR_AXIS",98,76,60,32,1.05874133205799,0.704727005798205,1.2576385391705,0.167311412693259,0.883218849691549,0.575574226894057,0.957898382242042
"PAAD","KRAS_mut","HGF_MET_AXIS",98,76,60,32,1.36772277148183,0.137245445875527,1.51063433524642,0.0126301309338521,0.90899986033072,0.722896167170398,0.957898382242042
"PAAD","KRAS_mut","IGF_INSR_AXIS",98,76,60,32,1.00747352981768,0.962060147839239,1.15822732373627,0.417840765413735,0.907240296371768,0.678871052194278,0.957898382242042
"PAAD","KRAS_mut","JAK_STAT",98,76,60,32,1.0137971872613,0.935486154771825,1.11085530841903,0.515588140646124,0.9369851207173,0.776650307116648,0.957898382242042
"PAAD","KRAS_mut","PDGFR_KIT_CSF1R",98,76,60,32,1.06506289105538,0.67483047459381,1.15585256125171,0.327387121645772,0.932660612460874,0.73963954894423,0.957898382242042
"PAAD","KRAS_mut","PI3K_AKT",98,76,60,32,1.04322984239894,0.775812164918745,1.19864085108108,0.335617201647177,0.887725509425242,0.619675283928003,0.957898382242042
"PAAD","KRAS_mut","RAS_MAPK",98,76,60,32,1.19985877921359,0.348338814644465,1.24759574916261,0.250756914625464,0.964139997591609,0.893859189488751,0.983432752794374
"PAAD","KRAS_mut","RET_ALK_NTRK",98,76,60,32,0.820209930188462,0.265992442478321,0.95644765093109,0.794528709563296,0.861108994818139,0.540469483165821,0.957898382242042
"PAAD","KRAS_mut","SRC_FAK",98,76,60,32,0.930403355352124,0.62703033446249,1.22624137062581,0.271228568547583,0.755349409572176,0.236083785881488,0.94370508256248
"PAAD","KRAS_mut","TAM_AXL_AXIS",98,76,60,32,1.05889756985388,0.704963034981229,1.24761996763302,0.138418293207999,0.861191711775967,0.479421539761175,0.957898382242042
"PAAD","KRAS_mut","TGFB_SMAD",98,76,60,32,1.26116165144932,0.17788654236713,1.25789258795405,0.198451733865303,1.02029043127822,0.935178851767581,0.983432752794374
"PAAD","KRAS_mut","TIE_ANGPT_AXIS",98,76,60,32,1.19246710170837,0.190740082702923,0.982961461009165,0.911552500518858,1.24977802749098,0.276800967451596,0.957898382242042
"PAAD","KRAS_mut","VEGF_PDGF_AXIS",98,76,60,32,1.24471901596865,0.162035227823976,0.822872150558576,0.148031909424353,1.52441800746222,0.0388063993029756,0.761450908658184
"PAAD","KRAS_mut","WNT_CTNNB1",98,76,60,32,1.01265538994096,0.936398527548378,1.45218067579085,0.0576158139180949,0.724280936320399,0.198102047131486,0.94370508256248
"CRC","KRAS_mut","EGFR",212,354,44,71,1.02715664026566,0.873384067767525,1.18166806871471,0.146067308032085,0.891969599375389,0.574959976940598,0.957898382242042
"CRC","KRAS_mut","EPH_RECEPTORS",212,354,44,71,0.948981719743491,0.767325735433411,0.9816097949978,0.876525360373655,0.913579583436841,0.67480331371753,0.957898382242042
"CRC","KRAS_mut","ERBB_LIGANDS",212,354,44,71,0.768022896481274,0.105875706098847,0.803354765199106,0.0446924392072824,0.936432599670261,0.737749630887501,0.957898382242042
"CRC","KRAS_mut","ERBB_RECEPTORS",212,354,44,71,0.94711965120851,0.74994669203569,1.21226260883846,0.0816802050464202,0.787585738255727,0.239554433377377,0.94370508256248
"CRC","KRAS_mut","FGFR_AXIS",212,354,44,71,0.858613088797991,0.314032674075103,1.22372506112486,0.0939406424705341,0.747877426417625,0.130531638784977,0.89791657454109
"CRC","KRAS_mut","HGF_MET_AXIS",212,354,44,71,1.073520161935,0.665768775020861,0.998135370869304,0.986916620530789,1.14366168268196,0.500155635781685,0.957898382242042
"CRC","KRAS_mut","IGF_INSR_AXIS",212,354,44,71,1.06550385597958,0.684798859850085,1.2236770006123,0.0668467936640678,0.926478431414822,0.690912546519498,0.957898382242042
"CRC","KRAS_mut","JAK_STAT",212,354,44,71,1.03470768389731,0.834683191070145,1.09004067791822,0.426280207975391,0.994087374228704,0.975878421501996,0.984998780581454
"CRC","KRAS_mut","PDGFR_KIT_CSF1R",212,354,44,71,0.88486467498192,0.379513631893999,1.02307533225884,0.845491820398757,0.93553565746454,0.710546093886934,0.957898382242042
"CRC","KRAS_mut","PI3K_AKT",212,354,44,71,0.997163215828236,0.985993123262418,1.02167657147433,0.852788890709886,0.991753238001397,0.966799153084557,0.984998780581454
"CRC","KRAS_mut","RAS_MAPK",212,354,44,71,0.738678800125965,0.100630300114479,1.06761686525053,0.577025203939451,0.683351153886383,0.084605656517576,0.761450908658184
"CRC","KRAS_mut","RET_ALK_NTRK",212,354,44,71,0.970446653712656,0.84829269226205,1.30020907752791,0.0182852038116967,0.788752146136994,0.209843049629461,0.94370508256248
"CRC","KRAS_mut","SRC_FAK",212,354,44,71,0.888454366999644,0.459206784389006,1.10760646660445,0.358671280352406,0.823189382478195,0.316686069344249,0.957898382242042
"CRC","KRAS_mut","TAM_AXL_AXIS",212,354,44,71,0.961486887935329,0.783550218411711,1.26735074309063,0.0382385280831645,0.77781932980457,0.168574088888094,0.94370508256248
"CRC","KRAS_mut","TGFB_SMAD",212,354,44,71,1.08193827595163,0.627966314291154,1.10994431087479,0.383877249543798,1.03314300873835,0.872146348019307,0.983432752794374
"CRC","KRAS_mut","TIE_ANGPT_AXIS",212,354,44,71,0.93816449386377,0.667126475740186,1.05493980597358,0.632228458515183,0.941686841398983,0.745250156547602,0.957898382242042
"CRC","KRAS_mut","VEGF_PDGF_AXIS",212,354,44,71,1.42592752933477,0.0187286250284631,1.20712118132655,0.117886064831406,1.22641130570953,0.286836773636845,0.957898382242042
"CRC","KRAS_mut","WNT_CTNNB1",212,354,44,71,0.656767096074721,0.0124339360303676,0.87462861912434,0.230732161863372,0.772379245934155,0.203880767671529,0.94370508256248
"LUAD","EGFR_mut","EGFR",69,430,29,150,1.70033231240015,0.0517642374805481,1.07430109426238,0.388364902284399,1.55920072853858,0.0946089524621461,0.785982066608598
"LUAD","EGFR_mut","EPH_RECEPTORS",69,430,29,150,2.18031291143585,0.00337835666515663,1.12282232335283,0.173624889252755,1.72799318733933,0.0361452288143827,0.761450908658184
"LUAD","EGFR_mut","ERBB_LIGANDS",69,430,29,150,1.17131320300758,0.491153362237053,1.1971526620167,0.0249028215943289,1.01661249545701,0.945159857022525,0.983432752794374
"LUAD","EGFR_mut","ERBB_RECEPTORS",69,430,29,150,1.22124320961148,0.354468790304731,0.983910100497756,0.845001055266589,1.22346731940473,0.36055939223711,0.957898382242042
"LUAD","EGFR_mut","FGFR_AXIS",69,430,29,150,1.03271695775576,0.858769654501098,0.930174358181126,0.397179463847184,1.01303016096398,0.947767766299033,0.983432752794374
"LUAD","EGFR_mut","HGF_MET_AXIS",69,430,29,150,0.67545650295619,0.0882166191473455,1.07436292161438,0.373078010290719,0.661223911646423,0.0786574340309276,0.761450908658184
"LUAD","EGFR_mut","IGF_INSR_AXIS",69,430,29,150,1.27088344142588,0.311594717305743,1.0057985508304,0.941554811332393,1.20278168497281,0.438862074156077,0.957898382242042
"LUAD","EGFR_mut","JAK_STAT",69,430,29,150,0.827558035605155,0.302591343946132,1.01243669454537,0.878862730047006,0.899300926634725,0.586625968175586,0.957898382242042
"LUAD","EGFR_mut","PDGFR_KIT_CSF1R",69,430,29,150,0.79701160247102,0.254595945096731,0.913533004458931,0.2401469659434,0.862186744211116,0.475655771043832,0.957898382242042
"LUAD","EGFR_mut","PI3K_AKT",69,430,29,150,1.18231971235584,0.490087776229743,1.07188005872078,0.389927122895446,1.1927298090571,0.478357669537678,0.957898382242042
"LUAD","EGFR_mut","RAS_MAPK",69,430,29,150,1.92979572223572,0.0337113202606243,1.09849997401982,0.226802388313735,1.84095084898646,0.0540150030184384,0.761450908658184
"LUAD","EGFR_mut","RET_ALK_NTRK",69,430,29,150,0.674877826276921,0.0583731777967067,0.727609863874564,0.000479586612821864,0.971424415876725,0.894473381484379,0.983432752794374
"LUAD","EGFR_mut","SRC_FAK",69,430,29,150,1.461302411784,0.0716557346041501,0.978244882721181,0.776902697113769,1.46665587140479,0.075854597723744,0.761450908658184
"LUAD","EGFR_mut","TAM_AXL_AXIS",69,430,29,150,1.09458860414209,0.705724333826344,1.01933930828815,0.799667891012287,1.06890788692076,0.78050979293796,0.957898382242042
"LUAD","EGFR_mut","TGFB_SMAD",69,430,29,150,1.15543626947196,0.596550684311627,1.14021875522108,0.102787858764064,0.9978091666046,0.993704019238027,0.993704019238027
"LUAD","EGFR_mut","TIE_ANGPT_AXIS",69,430,29,150,1.22773486025013,0.315972802171818,0.94808840977269,0.484315835415601,1.16967177901893,0.457136918858545,0.957898382242042
"LUAD","EGFR_mut","VEGF_PDGF_AXIS",69,430,29,150,1.7707564592833,0.00212575122623448,1.12327640062176,0.158083072976381,1.4036694795831,0.0730835653146565,0.761450908658184
