"feature","subtype","n","events","HR","p"
"ERBB_LIGANDS","COAD_CIN",458,NA,0.821816685756563,0.162214194341145
"ERBB_LIGANDS","COAD_MSI",295,NA,0.689236497489171,0.19823907971709
"ERBB_LIGANDS","COAD_GS",284,NA,0.724764495593697,0.28827648741833
"WNT_CTNNB1","COAD_CIN",458,NA,1.01721920133675,0.905094071971932
"WNT_CTNNB1","COAD_MSI",295,NA,0.809785370265197,0.490621656973031
"WNT_CTNNB1","COAD_GS",284,NA,0.495055957889548,0.0147496653968535
"EPH_RECEPTORS","COAD_CIN",458,NA,0.980723443353367,0.895068006819979
"EPH_RECEPTORS","COAD_MSI",295,NA,1.03155660876493,0.920122116493167
"EPH_RECEPTORS","COAD_GS",284,NA,0.722678697134422,0.259129793778331
"JAK_STAT","COAD_CIN",458,NA,1.08524398969384,0.538822799218726
"JAK_STAT","COAD_MSI",295,NA,1.52721195682913,0.125846726537497
"JAK_STAT","COAD_GS",284,NA,0.551995643592312,0.0879037180089251
"HGF_MET_AXIS","COAD_CIN",458,NA,0.954637136519564,0.748844282477627
"HGF_MET_AXIS","COAD_MSI",295,NA,1.52749272051841,0.129541284509163
"HGF_MET_AXIS","COAD_GS",284,NA,0.816853787297478,0.538154140716424
"VEGF_PDGF_AXIS","COAD_CIN",458,NA,1.35987870758555,0.0423835430093038
"VEGF_PDGF_AXIS","COAD_MSI",295,NA,1.80658713154556,0.0154852158842655
"VEGF_PDGF_AXIS","COAD_GS",284,NA,1.13658451658972,0.655322969167988
