"disease","feature","n_cohorts","positive","negative","consistency","n_fdr_raw","median_smd","median_p","direction","robust_consistent","n_fdr_adj","n_up_adj","n_down_adj","composition_robust","direction_preserved"
"Asthma","EPH_RECEPTORS",3,3,0,1,0,0.129783680357029,NA,"up",FALSE,0,3,0,FALSE,TRUE
"Asthma","ERBB_LIGANDS",3,0,3,1,0,-0.287628799593611,NA,"down",FALSE,0,0,3,FALSE,TRUE
"Asthma","ERBB_RECEPTORS",3,0,3,1,0,-0.523233510462502,NA,"down",FALSE,0,0,3,FALSE,TRUE
"Asthma","FGFR_AXIS",3,1,2,0.666666666666667,0,-0.0456508367913711,NA,"down",FALSE,0,2,1,FALSE,FALSE
"Asthma","HGF_MET_AXIS",3,0,3,1,0,-0.247968962930912,NA,"down",FALSE,0,1,2,FALSE,TRUE
"Asthma","IGF_INSR_AXIS",3,0,3,1,0,-0.861111460935441,NA,"down",FALSE,0,0,3,FALSE,TRUE
"Asthma","JAK_STAT",3,0,3,1,0,-0.141873802577849,NA,"down",FALSE,0,0,3,FALSE,TRUE
"Asthma","PDGFR_KIT_CSF1R",3,3,0,1,0,0.23704961099219,NA,"up",FALSE,0,3,0,FALSE,TRUE
"Asthma","PI3K_AKT",3,3,0,1,0,0.315773121466566,NA,"up",FALSE,0,3,0,FALSE,TRUE
"Asthma","RAS_MAPK",3,3,0,1,0,0.276787480865594,NA,"up",FALSE,0,3,0,FALSE,TRUE
"Asthma","RET_ALK_NTRK",3,1,2,0.666666666666667,0,-0.105703858906676,NA,"down",FALSE,0,1,2,FALSE,TRUE
"Asthma","SRC_FAK",3,2,1,0.666666666666667,0,0.293358308365075,NA,"up",FALSE,0,3,0,FALSE,TRUE
"Asthma","TAM_AXL_AXIS",3,3,0,1,0,0.24945214815928,NA,"up",FALSE,0,3,0,FALSE,TRUE
"Asthma","TGFB_SMAD",3,1,2,0.666666666666667,0,-0.0569749319662668,NA,"down",FALSE,0,1,2,FALSE,TRUE
"Asthma","TIE_ANGPT_AXIS",3,1,2,0.666666666666667,0,-0.291556160154687,NA,"down",FALSE,0,1,2,FALSE,TRUE
"Asthma","VEGF_PDGF_AXIS",3,0,3,1,0,-0.360884358270201,NA,"down",FALSE,0,1,2,FALSE,TRUE
"Asthma","WNT_CTNNB1",3,0,3,1,0,-0.543956488140338,NA,"down",FALSE,0,0,3,FALSE,TRUE
"COPD","EPH_RECEPTORS",2,1,1,0.5,0,0.111513970674996,NA,"mixed",FALSE,0,2,0,FALSE,TRUE
"COPD","ERBB_LIGANDS",2,0,2,1,0,-0.175917181302285,NA,"down",FALSE,0,1,1,FALSE,FALSE
"COPD","ERBB_RECEPTORS",2,1,1,0.5,0,-0.209793336198349,NA,"mixed",FALSE,0,1,1,FALSE,TRUE
"COPD","FGFR_AXIS",2,1,1,0.5,0,-0.212665570192707,NA,"mixed",FALSE,0,1,1,FALSE,TRUE
"COPD","HGF_MET_AXIS",1,0,1,1,0,-0.690418164725269,NA,"down",FALSE,0,0,1,FALSE,TRUE
"COPD","IGF_INSR_AXIS",2,1,1,0.5,0,-0.21228656310764,NA,"mixed",FALSE,0,0,2,FALSE,FALSE
"COPD","JAK_STAT",2,2,0,1,0,0.301605411622243,NA,"up",FALSE,0,2,0,FALSE,TRUE
"COPD","PDGFR_KIT_CSF1R",2,2,0,1,0,0.35443601201879,NA,"up",FALSE,0,1,1,FALSE,TRUE
"COPD","PI3K_AKT",2,2,0,1,0,0.0892507118638277,NA,"up",FALSE,0,2,0,FALSE,TRUE
"COPD","RAS_MAPK",2,0,2,1,0,-0.205652121307416,NA,"down",FALSE,0,0,2,FALSE,TRUE
"COPD","RET_ALK_NTRK",2,2,0,1,0,0.666083995193305,NA,"up",FALSE,0,2,0,FALSE,TRUE
"COPD","SRC_FAK",2,0,2,1,0,-0.279647415935864,NA,"down",FALSE,0,0,2,FALSE,TRUE
"COPD","TAM_AXL_AXIS",1,1,0,1,0,0.245449692270371,NA,"up",FALSE,0,1,0,FALSE,TRUE
"COPD","TGFB_SMAD",2,0,2,1,0,-0.174845200133924,NA,"down",FALSE,0,0,2,FALSE,TRUE
"COPD","TIE_ANGPT_AXIS",2,1,1,0.5,0,0.0781973333170006,NA,"mixed",FALSE,0,1,1,FALSE,TRUE
"COPD","VEGF_PDGF_AXIS",2,0,2,1,0,-0.40501245254232,NA,"down",FALSE,0,0,2,FALSE,TRUE
"COPD","WNT_CTNNB1",2,0,2,1,0,-0.53876403060251,NA,"down",FALSE,0,0,2,FALSE,TRUE
