"disease","feature","n","positive","negative","n_fdr_adj","median_smd","consistency","robust_xcell"
"Asthma","EPH_RECEPTORS",3,1,2,0,-0.0401435896522462,0.666666666666667,FALSE
"Asthma","ERBB_LIGANDS",3,1,2,0,-0.18758455968816,0.666666666666667,FALSE
"Asthma","ERBB_RECEPTORS",3,0,3,0,-0.340900379528852,1,FALSE
"Asthma","FGFR_AXIS",3,1,2,0,-0.132769779211493,0.666666666666667,FALSE
"Asthma","HGF_MET_AXIS",3,0,3,0,-0.280975305276766,1,FALSE
"Asthma","IGF_INSR_AXIS",3,0,3,1,-0.65405178536525,1,FALSE
"Asthma","JAK_STAT",3,0,3,0,-0.294407741370683,1,FALSE
"Asthma","PDGFR_KIT_CSF1R",3,3,0,0,0.335118545069032,1,FALSE
"Asthma","PI3K_AKT",3,3,0,0,0.163401242190788,1,FALSE
"Asthma","RAS_MAPK",3,3,0,0,0.106958687879486,1,FALSE
"Asthma","RET_ALK_NTRK",3,2,1,0,0.0380313756858637,0.666666666666667,FALSE
"Asthma","SRC_FAK",3,2,1,0,0.190890849115779,0.666666666666667,FALSE
"Asthma","TAM_AXL_AXIS",3,2,1,0,0.219005640749343,0.666666666666667,FALSE
"Asthma","TGFB_SMAD",3,1,2,0,-0.0484553650387506,0.666666666666667,FALSE
"Asthma","TIE_ANGPT_AXIS",3,1,2,0,-0.0385246034124955,0.666666666666667,FALSE
"Asthma","VEGF_PDGF_AXIS",3,0,3,0,-0.37784110122154,1,FALSE
"Asthma","WNT_CTNNB1",3,0,3,0,-0.340301566206714,1,FALSE
"COPD","EPH_RECEPTORS",2,1,1,0,0.177285762941093,0.5,FALSE
"COPD","ERBB_LIGANDS",2,0,2,0,-0.162470386646718,1,FALSE
"COPD","ERBB_RECEPTORS",2,1,1,0,0.0423966154339175,0.5,FALSE
"COPD","FGFR_AXIS",2,1,1,0,0.025629363222196,0.5,FALSE
"COPD","HGF_MET_AXIS",1,0,1,0,-0.245584491757309,1,FALSE
"COPD","IGF_INSR_AXIS",2,1,1,0,-0.161070329612008,0.5,FALSE
