"disease","feature","k","n_case","n_control","smd_min","smd_max","direction_consistency","smd_FE","smd_RE","se_RE","ci_low","ci_high","p_RE","Q","I2","tau2","accession","fdr_RE"
"Asthma","WNT_CTNNB1",3,192,91,-0.710618935629601,-0.393269998047478,1,-0.546264861250629,-0.546264861250629,0.13279661424878,-0.806546225178238,-0.28598349732302,3.89628883920771e-05,0.810254367835458,0,0,"GSE4302;GSE43696;GSE67472",0.00066236910266531
"Asthma","IGF_INSR_AXIS",3,192,91,-1.14926724161031,-0.370399123536866,1,-0.831065787365857,-0.805779592992499,0.231622674626383,-1.25976003526021,-0.351799150724787,0.00050357806636618,5.6536191177453,64.6244297971454,0.103906188919104,"GSE4302;GSE43696;GSE67472",0.00428041356411253
"Asthma","ERBB_RECEPTORS",3,192,91,-0.531286469371118,-0.195457448325599,1,-0.430928009010618,-0.430928009010618,0.132172504424712,-0.689986117683053,-0.171869900338184,0.00111276635642078,1.31057675979211,0,0,"GSE4302;GSE43696;GSE67472",0.00630567601971776
"Asthma","PDGFR_KIT_CSF1R",3,192,91,0.196117065060595,0.533418393384907,1,0.351668556063008,0.351668556063008,0.131880277062131,0.0931832130212304,0.610153899104785,0.00766286685976121,1.4286478476681,0,0,"GSE4302;GSE43696;GSE67472",0.0325671841539852
"Asthma","PI3K_AKT",3,192,91,0.220002837077129,0.357032591307492,1,0.306725844368105,0.306725844368105,0.131483998770802,0.0490172067773324,0.564434481958878,0.019658655849578,0.186757536009786,0,0,"GSE4302;GSE43696;GSE67472",0.0668394298885653
"Asthma","RAS_MAPK",3,192,91,0.174191695989983,0.431451715948474,1,0.291886544892557,0.291886544892557,0.131477189353881,0.0341912537589504,0.549581836026164,0.0264150584762444,0.551045013131851,0,0,"GSE4302;GSE43696;GSE67472",0.0748426656826924
"Asthma","VEGF_PDGF_AXIS",3,192,91,-0.565052810239832,-0.00084910929347023,1,-0.316276109539379,-0.314199839169682,0.153592657308623,-0.615241447494584,-0.0131582308447805,0.0407888826580496,2.67251020331537,25.1639901124078,0.0179692985910421,"GSE4302;GSE43696;GSE67472",0.0990587150266919
"Asthma","HGF_MET_AXIS",3,192,91,-0.524639742206656,-0.022986365647981,1,-0.262394064570955,-0.26248102791931,0.133595505574182,-0.524328218844707,-0.000633836993913617,0.0494438226564559,2.05768766222432,2.80351888595011,0.00153471180919133,"GSE4302;GSE43696;GSE67472",0.105068123144969
"Asthma","ERBB_LIGANDS",3,192,91,-0.409443389881561,-0.0015356498027231,1,-0.241757525233376,-0.241757525233376,0.131415227449087,-0.499331371033587,0.0158163205668348,0.0658201952849646,1.45637553235052,0,0,"GSE4302;GSE43696;GSE67472",0.124327035538266
"Asthma","TAM_AXL_AXIS",3,192,91,0.0466243933505849,0.457957905911298,1,0.219591979079842,0.219591979079842,0.131316027376237,-0.0377874345775827,0.476971392737267,0.0944769075103257,1.70500387950614,0,0,"GSE4302;GSE43696;GSE67472",0.160610742767554
"Asthma","JAK_STAT",3,192,91,-0.409348219328128,-0.0457815168535684,1,-0.173902122370978,-0.173902122370978,0.131039642318047,-0.43073982131435,0.082935576572395,0.184477086837911,1.32597326190164,0,0,"GSE4302;GSE43696;GSE67472",0.285100952385862
"Asthma","SRC_FAK",3,192,91,-0.137987948996061,0.343876185303202,0.666666666666667,0.194026434816533,0.187860224339206,0.148343060556653,-0.102892174351835,0.478612623030246,0.20537335453107,2.51999515831153,20.6347681501078,0.0137659896505682,"GSE4302;GSE43696;GSE67472",0.290945585585682
"Asthma","EPH_RECEPTORS",3,192,91,0.0270939813001191,0.364276628614771,1,0.151615528425276,0.151615528425276,0.131080050608792,-0.105301370767955,0.408532427618508,0.247409810554597,1.14928435229353,0,0,"GSE4302;GSE43696;GSE67472",0.323535906109858
"Asthma","TGFB_SMAD",3,192,91,-0.502130617515594,0.0536850992349637,0.666666666666667,-0.131075760380206,-0.145567347236939,0.166461224158957,-0.471831346588495,0.180696652114616,0.381855808704765,3.16047144730689,36.7183018943504,0.0306625543260516,"GSE4302;GSE43696;GSE67472",0.453569479148345
"Asthma","TIE_ANGPT_AXIS",3,192,91,-0.596647674727603,0.278473435562469,0.666666666666667,-0.259923602225471,-0.217354263021296,0.258370852122718,-0.723761133181824,0.289052607139231,0.400208363954422,7.47304780349433,73.2371576819726,0.146408124454406,"GSE4302;GSE43696;GSE67472",0.453569479148345
"Asthma","FGFR_AXIS",3,192,91,-0.542092292109933,0.163193535496653,0.666666666666667,-0.196364209864831,-0.160068623525576,0.220178497611213,-0.591618478843554,0.271481231792402,0.467229139309959,5.46585965655126,63.4092324781364,0.0921033444575673,"GSE4302;GSE43696;GSE67472",0.496430960516831
"Asthma","RET_ALK_NTRK",3,192,91,-0.21594266945311,0.553607016792788,0.666666666666667,0.0274746691774373,0.0620605351838315,0.234346271072574,-0.397258156118414,0.521379226486077,0.791144987315651,6.2026892896309,67.7559215590015,0.111420173510285,"GSE4302;GSE43696;GSE67472",0.791144987315651
"COPD","RET_ALK_NTRK",2,256,131,0.577080872970195,0.755087117416415,1,0.692385334106125,0.692385334106125,0.111211181302738,0.474411418752759,0.910359249459491,4.78919147659024e-10,0.584560001561979,0,0,"GSE76925;GSE47460",8.14162551020341e-09
"COPD","HGF_MET_AXIS",1,111,40,-0.690418164725269,-0.690418164725269,1,-0.690418164725269,-0.690418164725269,0.188646257511751,-1.0601648294483,-0.320671500002237,0.000252356880718506,0,0,0,"GSE76925",0.00170021786755469
"COPD","VEGF_PDGF_AXIS",2,256,131,-0.437921413971119,-0.372103491113522,1,-0.394754602234411,-0.394754602234411,0.109191001104085,-0.608768964398418,-0.180740240070403,0.000300038447215533,0.0820098067063112,0,0,"GSE76925;GSE47460",0.00170021786755469
"COPD","WNT_CTNNB1",2,256,131,-0.691475604335295,-0.386052456869726,1,-0.489393880978076,-0.510293806180002,0.15003423300459,-0.804360902868998,-0.216226709491005,0.000670950208925281,1.73409766258822,42.3331210476662,0.0197448659431088,"GSE76925;GSE47460",0.00285153838793244
"COPD","JAK_STAT",2,256,131,0.243918852114403,0.359291971130084,1,0.28354006011612,0.28354006011612,0.108747880321008,0.0703942146869447,0.496685905545296,0.00912551700894794,0.253793038164876,0,0,"GSE76925;GSE47460",0.0284594070439223
"COPD","SRC_FAK",2,256,131,-0.280518517499887,-0.278776314371841,1,-0.279917379045754,-0.279917379045754,0.108735603221638,-0.493039161360163,-0.0667955967313441,0.0100444966037373,5.80151252604546e-05,0,0,"GSE76925;GSE47460",0.0284594070439223
"COPD","RAS_MAPK",2,256,131,-0.317506308076257,-0.0937979345385743,1,-0.239847297199201,-0.239847297199201,0.108702048317176,-0.452903311900866,-0.0267912824975372,0.0273514375485353,0.959878060590089,0,0,"GSE76925;GSE47460",0.0664249197607287
"COPD","TGFB_SMAD",2,256,131,-0.239000518458257,-0.11068988180959,1,-0.19461699180113,-0.19461699180113,0.108526413144511,-0.407328761564372,0.0180947779621123,0.072930010941119,0.316266488849086,0,0,"GSE76925;GSE47460",0.154976273249878
"COPD","PDGFR_KIT_CSF1R",2,256,131,0.115707372899228,0.593164651138352,1,0.42431931592154,0.37058650958995,0.238181704931512,-0.0962496320758146,0.837422651255714,0.119732277921223,4.32700624824975,76.8893331179151,0.0876405580999719,"GSE76925;GSE47460",0.226160969406754
"COPD","TAM_AXL_AXIS",1,111,40,0.245449692270371,0.245449692270371,1,0.245449692270371,0.245449692270371,0.184955393514008,-0.117062879017085,0.607962263557827,0.184483850256202,0,0,0,"GSE76925",0.313622545435544
"COPD","ERBB_LIGANDS",2,256,131,-0.321884373616398,-0.0299499889881717,1,-0.129911905420894,-0.14771799560297,0.14321741220243,-0.428424123519733,0.132988132313794,0.302341640072885,1.63143987106366,38.7044525675334,0.0164930673992072,"GSE76925;GSE47460",0.467255261930822
"COPD","TIE_ANGPT_AXIS",2,256,131,-0.00414183246644002,0.160536499100441,0.5,0.103666429558009,0.103666429558009,0.108372976553278,-0.108744604486416,0.316077463602435,0.338783911237131,0.522028003267746,0,0,"GSE76925;GSE47460",0.479943874252602
"COPD","FGFR_AXIS",2,256,131,-0.440219759947447,0.0148886195620331,0.5,-0.140052150851485,-0.194247235647129,0.226807570921924,-0.638790074654099,0.250295603359841,0.391754058284146,3.9424530573887,74.6350816244758,0.0772934478064888,"GSE76925;GSE47460",0.512293768525422
"COPD","ERBB_RECEPTORS",2,256,131,-0.513334189173157,0.0937475167764583,0.5,-0.299986132451163,-0.222636961153069,0.303269007191134,-0.817044215247692,0.371770292941555,0.462873359399194,7.02237853960943,85.7598106630176,0.158033118274182,"GSE76925;GSE47460",0.517892817770768
"COPD","IGF_INSR_AXIS",2,256,131,-0.496975143115682,0.0724020169004024,0.5,-0.120869544435535,-0.197419292143299,0.284300108760212,-0.754647505313314,0.359808921026717,0.487428534372488,6.14887687803406,83.7368674013892,0.135733421899494,"GSE76925;GSE47460",0.517892817770768
"COPD","PI3K_AKT",2,256,131,0.0657859401735249,0.11271548355413,1,0.0819526261339447,0.0819526261339447,0.10830606279153,-0.130327256937454,0.294232509205343,0.449243843152293,0.0423976844298411,0,0,"GSE76925;GSE47460",0.517892817770768
"COPD","EPH_RECEPTORS",2,256,131,-0.175687384601928,0.398715325951919,0.5,0.0207651111985075,0.0970777089011073,0.286838304309061,-0.465125367544652,0.659280785346867,0.735031232602479,6.28617441951845,84.0920736005189,0.138726052150679,"GSE76925;GSE47460",0.735031232602479
"CRC","WNT_CTNNB1",3,315,175,2.56687191729534,2.60870062762088,1,2.59434634729885,2.59434634729885,0.133545762629025,2.33259665254596,2.85609604205174,4.59412173212485e-84,0.0109724788035881,0,0,"GSE44076;GSE41258;GSE23878",7.81000694461225e-83
"CRC","EPH_RECEPTORS",3,315,175,1.86578495859881,2.07572684330516,1,1.95851101893495,1.95851101893495,0.117437801494532,1.72833292800567,2.18868910986423,1.92631935388562e-62,0.74997862071378,0,0,"GSE44076;GSE41258;GSE23878",1.63737145080278e-61
"CRC","FGFR_AXIS",3,315,175,-1.70202181824785,-1.29817190884205,1,-1.39913806098797,-1.39913806098797,0.102296920765424,-1.5996400256882,-1.19863609628774,1.3889175209456e-42,1.33612011656171,0,0,"GSE44076;GSE41258;GSE23878",7.87053261869174e-42
"CRC","RET_ALK_NTRK",3,315,175,-1.10260716600946,-0.73541346180249,1,-1.04699363287461,-1.04699363287461,0.0943514321559966,-1.23192243990036,-0.862064825848854,1.30098292239575e-28,1.48362125531739,0,0,"GSE44076;GSE41258;GSE23878",5.52917742018195e-28
