"disease","feature","k","accession","n_case","n_control","smd_min","smd_max","smd_DL","se_DL","p_DL","smd_REML","se_HK","p_REML_HK","ci_lo","ci_hi","I2","tau2_REML","fdr_DL","fdr_REML_HK"
"Asthma","EPH_RECEPTORS",3,"GSE4302;GSE43696;GSE67472",192,91,0.0270939813001191,0.364276628614771,0.151615528425276,0.131080050608792,0.247409810554597,0.151615528425276,0.0993654375862204,0.26657510615359,-0.275919442847825,0.579150499698377,0,0,0.323535906109858,0.37764806705092
"COPD","EPH_RECEPTORS",2,"GSE76925;GSE47460",256,131,-0.175687384601928,0.398715325951919,0.0970777089011072,0.286838304309061,0.73503123260248,0.097040954941006,0.286836452161271,0.792317466684477,-3.54756173201809,3.7416436419001,84.0920736005189,0.138307115775284,0.73503123260248,0.792317466684477
"CRC","EPH_RECEPTORS",2,"GSE41258;GSE23878",217,77,1.86578495859881,1.88593889091891,1.87063003167404,0.1553439141653,2.14067659086008e-33,1.87063003167404,0.00861234821287206,0.00293096567869628,1.76119977202206,1.98006029132602,0,0,1.81957510223106e-32,0.0124566041344592
"HCC","EPH_RECEPTORS",1,"GSE62232",81,5,-0.449166868224861,-0.449166868224861,-0.449166868224861,0.462080782135337,0.331024335548823,-0.449166868224861,NA,NA,NA,NA,100,0,NA,NA
"IBD","EPH_RECEPTORS",3,"GSE75214;GSE87473;GSE179285",202,75,-0.517553254942549,0.452564130718272,0.0443521154377571,0.303821042658876,0.883936346461433,0.0442039317104903,0.294290890724277,0.894383149962666,-1.22202757260472,1.3104354360257,76.8221537666247,0.200710308366356,0.939182368115273,0.950282096835333
"NAFLD","EPH_RECEPTORS",2,"GSE33814;GSE66676",62,47,-0.755649901281595,0.541836416114277,-0.124808729032554,0.648496110118295,0.847382902789772,-0.124822392222316,0.648495732796601,0.878943983241644,-8.36474194367156,8.11509715922693,89.3921801949212,0.751803659422421,0.903875096309091,0.937540248791087
"STAD","EPH_RECEPTORS",1,"GSE13911",38,31,1.7482522911593,1.7482522911593,1.7482522911593,0.284115432809307,7.58789753448808e-10,1.7482522911593,NA,NA,NA,NA,0,0,NA,NA
"Asthma","ERBB_LIGANDS",3,"GSE4302;GSE43696;GSE67472",192,91,-0.409443389881561,-0.0015356498027231,-0.241757525233376,0.131415227449087,0.0658201952849645,-0.241757525233376,0.112141763204942,0.163855369261442,-0.724264588806037,0.240749538339285,0,0,0.124327035538266,0.355489169272506
"COPD","ERBB_LIGANDS",2,"GSE76925;GSE47460",256,131,-0.321884373616398,-0.0299499889881717,-0.14771799560297,0.14321741220243,0.302341640072885,-0.146526418728136,0.142977635689556,0.492196612561239,-1.96322953049383,1.67017669303756,38.7044525675334,0.0147654335032479,0.503902733454808,0.657488896112715
"CRC","ERBB_LIGANDS",2,"GSE41258;GSE23878",217,77,-0.368326155568458,-0.367770626227353,-0.368183558190831,0.135364162402593,0.00652920730718803,-0.368183558190831,0.000242658226999037,0.000419576049585038,-0.371266823303998,-0.365100293077664,0,0,0.0110996524222197,0.00713279284294565
