"disease","feature","k","smd_REML","se_HK","p_REML_HK","ci_lo","ci_hi","tau2","fdr"
"Asthma","EPH_RECEPTORS",3,0.151615528425276,0.0993654375862204,0.26657510615359,-0.275919442847825,0.579150499698377,0,0.37764806705092
"COPD","EPH_RECEPTORS",2,0.097040954941006,0.286836452161271,0.792317466684477,-3.54756173201809,3.7416436419001,0.138307115775284,0.792317466684477
"CRC","EPH_RECEPTORS",2,1.87063003167404,0.00861234821287206,0.00293096567869628,1.76119977202206,1.98006029132602,0,0.0124566041344592
"HCC","EPH_RECEPTORS",1,-0.449166868224861,NA,NA,NA,NA,0,NA
"IBD","EPH_RECEPTORS",3,0.0442039317104903,0.294290890724277,0.894383149962666,-1.22202757260472,1.3104354360257,0.200710308366356,0.950282096835333
"NAFLD","EPH_RECEPTORS",2,-0.124822392222316,0.648495732796601,0.878943983241644,-8.36474194367156,8.11509715922693,0.751803659422421,0.937540248791087
"STAD","EPH_RECEPTORS",1,1.7482522911593,NA,NA,NA,NA,0,NA
"Asthma","ERBB_LIGANDS",3,-0.241757525233376,0.112141763204942,0.163855369261442,-0.724264588806037,0.240749538339285,0,0.355489169272506
"COPD","ERBB_LIGANDS",2,-0.146526418728136,0.142977635689556,0.492196612561239,-1.96322953049383,1.67017669303756,0.0147654335032479,0.657488896112715
"CRC","ERBB_LIGANDS",2,-0.368183558190831,0.000242658226999037,0.000419576049585038,-0.371266823303998,-0.365100293077664,0,0.00713279284294565
"HCC","ERBB_LIGANDS",1,-1.29291267081778,NA,NA,NA,NA,0,NA
"IBD","ERBB_LIGANDS",3,0.662093274968342,0.280597549228538,0.142260777677543,-0.545220536180836,1.86940708611752,0.167377938039035,0.219857565501657
"NAFLD","ERBB_LIGANDS",2,0.131363491528034,0.186859910656314,0.609917574946394,-2.24291679025441,2.50564377331048,0,0.930302148823174
"STAD","ERBB_LIGANDS",1,-1.06354478201971,NA,NA,NA,NA,0,NA
"Asthma","ERBB_RECEPTORS",3,-0.430928009010618,0.106993489659476,0.0564744882469221,-0.891283839359385,0.0294278213381484,0,0.240016575049419
"COPD","ERBB_RECEPTORS",2,-0.222660080293947,0.3032680271988,0.596819992783321,-4.0760457238177,3.6307255632298,0.157702012065813,0.657488896112715
"CRC","ERBB_RECEPTORS",2,0.26535049007405,0.0424716994996547,0.101039618661423,-0.274303619261851,0.805004599409951,0,0.196448713795916
"HCC","ERBB_RECEPTORS",1,-0.362038221890031,NA,NA,NA,NA,0,NA
"IBD","ERBB_RECEPTORS",3,-1.27942046290834,0.0360371178041396,0.000792422973331726,-1.43447566620063,-1.12436525961606,0,0.00673559527331967
"NAFLD","ERBB_RECEPTORS",2,-0.12591343145726,0.274856411918678,0.726524331592498,-3.61829527434634,3.36646841143182,0.064948325814335,0.930302148823174
"STAD","ERBB_RECEPTORS",1,-0.75740119253536,NA,NA,NA,NA,0,NA
"Asthma","FGFR_AXIS",3,-0.160607339910221,0.213105432216794,0.529700963794475,-1.07752600956225,0.756311329741808,0.0881771666923072,0.562807274031629
"COPD","FGFR_AXIS",2,-0.194124134988031,0.226797540673366,0.549317748315938,-3.07586012044472,2.68761185046866,0.0766058781561262,0.657488896112715
"CRC","FGFR_AXIS",2,-1.39013210760751,0.169355955854488,0.0771773097080966,-3.5420035559852,0.761739340770179,0,0.187430609291092
"HCC","FGFR_AXIS",1,-0.575408657466127,NA,NA,NA,NA,0,NA
"IBD","FGFR_AXIS",3,-0.00724252319960412,0.111344236202697,0.95405394103246,-0.486318105039006,0.471833058639798,0,0.95405394103246
"NAFLD","FGFR_AXIS",2,-0.0886983226843084,0.29039486941944,0.811280131695845,-3.77851498786243,3.60111834249382,0.0824429316686932,0.930302148823174
"STAD","FGFR_AXIS",1,-0.0418402073814873,NA,NA,NA,NA,0,NA
"Asthma","HGF_MET_AXIS",3,-0.262394064570955,0.13346123281864,0.188200148438386,-0.836631402273804,0.311843273131893,0,0.355489169272506
"COPD","HGF_MET_AXIS",1,-0.690418164725269,NA,NA,NA,NA,0,NA
"CRC","HGF_MET_AXIS",2,0.773827583076149,0.227661871390257,0.182155616171049,-2.11889076542913,3.66654593158143,0.0543766590632204,0.238203498069833
"HCC","HGF_MET_AXIS",1,-0.87871901120033,NA,NA,NA,NA,0,NA
"IBD","HGF_MET_AXIS",3,1.51802456231944,0.203688403468571,0.0175321645832124,0.641624097117083,2.3944250275218,0.0450958038029855,0.0496744663191018
"NAFLD","HGF_MET_AXIS",2,-0.146888440284162,0.170406022541495,0.547099565665879,-2.3121022509736,2.01832537040527,0,0.930302148823174
"STAD","HGF_MET_AXIS",1,0.505039325073007,NA,NA,NA,NA,0,NA
"Asthma","IGF_INSR_AXIS",3,-0.805940861795195,0.228692066731956,0.071938069650271,-1.78992340699149,0.1780416834011,0.101898224939233,0.244589436810922
"COPD","IGF_INSR_AXIS",2,-0.197378410209387,0.28429796792126,0.613656303038534,-3.80972659669534,3.41496977627657,0.135288915844049,0.657488896112715
"CRC","IGF_INSR_AXIS",2,-0.831682224468072,0.0832418528714575,0.0635068375115581,-1.88937024967134,0.226005800735198,0,0.179936039616081
"HCC","IGF_INSR_AXIS",1,-0.978418910015154,NA,NA,NA,NA,0,NA
"IBD","IGF_INSR_AXIS",3,-0.560813854368219,0.125518150085327,0.0466178665493934,-1.10087486546595,-0.020752843270486,0,0.0824466198451573
"NAFLD","IGF_INSR_AXIS",2,-0.925743733816737,0.557449939695889,0.345053943435026,-8.00881679776094,6.15732933012746,0.522390446356577,0.930302148823174
"STAD","IGF_INSR_AXIS",1,-0.139782666960805,NA,NA,NA,NA,0,NA
"Asthma","JAK_STAT",3,-0.173902122370978,0.10669770656056,0.244694041652824,-0.632985300761777,0.285181056019822,0,0.37764806705092
"COPD","JAK_STAT",2,0.28354006011612,0.05478487220768,0.121508688001603,-0.412567742599829,0.979647862832069,0,0.414562421898681
"CRC","JAK_STAT",2,-0.0439406268550142,0.0114490955074165,0.162268616125971,-0.189415178416266,0.101533924706238,0,0.229880539511792
"HCC","JAK_STAT",1,1.00723085001967,NA,NA,NA,NA,0,NA
"IBD","JAK_STAT",3,1.7761323946411,0.192039574624333,0.01148935312048,0.949852794663783,2.60241199461841,0.0221935882883912,0.0390638006096319
"NAFLD","JAK_STAT",2,-0.0297519335868168,0.340169966524362,0.944461312404909,-4.35202117334305,4.29251730616942,0.144883694071011,0.944461312404909
"STAD","JAK_STAT",1,0.797754763691784,NA,NA,NA,NA,0,NA
"Asthma","PDGFR_KIT_CSF1R",3,0.351668556063008,0.111462158397344,0.0874778627208956,-0.127914404029091,0.831251516155106,0,0.247853944375871
"COPD","PDGFR_KIT_CSF1R",2,0.37066146123071,0.238176610803306,0.363596194368322,-2.65565931900429,3.39698224146571,0.0871140276945097,0.605993657280537
"CRC","PDGFR_KIT_CSF1R",2,-1.07097636700863,0.00307598988753714,0.00182845360341675,-1.11006052428608,-1.03189220973118,0,0.0124566041344592
"HCC","PDGFR_KIT_CSF1R",1,0.0294290951468313,NA,NA,NA,NA,0,NA
"IBD","PDGFR_KIT_CSF1R",3,1.33855384315113,0.208034264818138,0.0233131448051032,0.443454645749944,2.23365304055231,0.0516489113739953,0.0566176373838222
"NAFLD","PDGFR_KIT_CSF1R",2,0.114703652647869,0.174160400851923,0.629230330174679,-2.09821405751092,2.32762136280666,0,0.930302148823174
"STAD","PDGFR_KIT_CSF1R",1,-0.760450675627649,NA,NA,NA,NA,0,NA
"Asthma","PI3K_AKT",3,0.306725844368105,0.0401788010883611,0.016729661786379,0.133850416187207,0.479601272549003,0,0.196477689469962
"COPD","PI3K_AKT",2,0.0819526261339448,0.022300974309597,0.169141612174884,-0.201408119259967,0.365313371527857,0,0.414562421898681
"CRC","PI3K_AKT",2,0.0219307772131398,0.126482954331426,0.890703655203745,-1.58518753615819,1.62904909058447,0,0.890703655203745
"HCC","PI3K_AKT",1,1.43359838858849,NA,NA,NA,NA,0,NA
"IBD","PI3K_AKT",3,0.22335666310029,0.19047510984559,0.361707134857573,-0.596191588226167,1.04290491442675,0.0451536746943654,0.473001637890672
"NAFLD","PI3K_AKT",2,-0.278403246304045,0.0662317214622889,0.148687011916438,-1.11995705923318,0.563150566625094,0,0.792997396887671
"STAD","PI3K_AKT",1,0.721927507702685,NA,NA,NA,NA,0,NA
"Asthma","RAS_MAPK",3,0.291886544892557,0.0690126893616247,0.0516126273292936,-0.00505109137658932,0.588824181161703,0,0.240016575049419
"COPD","RAS_MAPK",2,-0.239847297199202,0.106499056537834,0.266028769415151,-1.59304611377836,1.11335151937996,0,0.498803942653408
"CRC","RAS_MAPK",2,-0.167966881076763,0.190864299159469,0.540568414884256,-2.59312774302347,2.25719398086994,0.0254193625281145,0.61264420353549
"HCC","RAS_MAPK",1,0.82239057273972,NA,NA,NA,NA,0,NA
"IBD","RAS_MAPK",3,0.226166263158485,0.137569361194233,0.241896786663381,-0.365746924313772,0.818079450630742,0,0.34268711443979
"NAFLD","RAS_MAPK",2,0.457369479900974,0.509485499585159,0.534282299096953,-6.01625758794031,6.93099654774226,0.428080342827976,0.930302148823174
"STAD","RAS_MAPK",1,0.848969030166778,NA,NA,NA,NA,0,NA
"Asthma","RET_ALK_NTRK",3,0.0622879878986838,0.238062001234919,0.81807566408027,-0.962010131564361,1.08658610736173,0.113855864686726,0.81807566408027
"COPD","RET_ALK_NTRK",2,0.692385334106125,0.085028203184913,0.0777904354006377,-0.388000423910441,1.77277109212269,0,0.388952177003188
"CRC","RET_ALK_NTRK",2,-0.99989717971866,0.164818442661341,0.104002260244897,-3.09411405647113,1.09431969703381,0.00344496656918762,0.196448713795916
"HCC","RET_ALK_NTRK",1,-1.37172595854415,NA,NA,NA,NA,0,NA
"IBD","RET_ALK_NTRK",2,-0.142065074514859,0.301805893690889,0.719920562397635,-3.97687255033547,3.69274240130575,0.114283174684059,0.81590997071732
"NAFLD","RET_ALK_NTRK",1,-0.377765152161321,NA,NA,NA,NA,0,NA
"STAD","RET_ALK_NTRK",1,-0.745855126445411,NA,NA,NA,NA,0,NA
"Asthma","SRC_FAK",3,0.188776221453802,0.14870650135644,0.332006015551163,-0.451056212538975,0.828608655446579,0.0112391536210539,0.434161712643828
"COPD","SRC_FAK",2,-0.279917379045754,0.000828213652472579,0.00188361169325145,-0.290440831279365,-0.269393926812142,0,0.0282541753987717
"CRC","SRC_FAK",2,-0.560226523311215,0.220915575177229,0.239121484856287,-3.36722505092288,2.24677200430045,0.049400276204411,0.290361803039777
"HCC","SRC_FAK",1,-1.03762527772542,NA,NA,NA,NA,0,NA
"IBD","SRC_FAK",3,0.453686741753368,0.00632275521816408,0.000194166391323122,0.426482121754397,0.48089136175234,0,0.00330082865249307
"NAFLD","SRC_FAK",2,-0.084157403234852,0.146038154341303,0.667182711465642,-1.93974809158853,1.77143328511883,0,0.930302148823174
"STAD","SRC_FAK",1,-0.0909585201483035,NA,NA,NA,NA,0,NA
"Asthma","TAM_AXL_AXIS",3,0.219591979079842,0.121245442741226,0.211820179267155,-0.302085056100376,0.74126901426006,0,0.360094304754163
"COPD","TAM_AXL_AXIS",1,0.245449692270371,NA,NA,NA,NA,0,NA
"CRC","TAM_AXL_AXIS",2,-0.106141997033963,0.141827413622786,0.590991586709283,-1.90823015172722,1.69594615765929,0,0.627928560878613
"HCC","TAM_AXL_AXIS",1,-0.73384162013053,NA,NA,NA,NA,0,NA
"IBD","TAM_AXL_AXIS",3,0.604853659322702,0.119677202329908,0.0369905617467913,0.0899242180291461,1.11978310061626,0,0.0786049437119316
"NAFLD","TAM_AXL_AXIS",2,-0.398712341693272,0.0564632715941715,0.0895587893391684,-1.11614623064305,0.318721547256508,0,0.716470314713347
"STAD","TAM_AXL_AXIS",1,-0.271783630194007,NA,NA,NA,NA,0,NA
"Asthma","TGFB_SMAD",3,-0.145173699821926,0.16714749248273,0.476667062221975,-0.864351314623523,0.57400391497967,0.0293228779996716,0.551000175770256
"COPD","TGFB_SMAD",2,-0.19461699180113,0.0610326234366929,0.193462463552718,-0.970110000773604,0.580876017171344,0,0.414562421898681
"CRC","TGFB_SMAD",2,-0.499711298120367,0.106919113517815,0.134189000910959,-1.85824744468803,0.858824848447292,0,0.224169370715069
"HCC","TGFB_SMAD",1,1.39272597243785,NA,NA,NA,NA,0,NA
"IBD","TGFB_SMAD",3,1.04601780662001,0.239144746957726,0.048498011673622,0.017061008317101,2.07497460492291,0.100380671012195,0.0824466198451573
"NAFLD","TGFB_SMAD",2,-0.593716448508568,0.275384312681239,0.276481659781976,-4.09280590656714,2.90537300955,0.0608629997154466,0.930302148823174
"STAD","TGFB_SMAD",1,0.249381625986844,NA,NA,NA,NA,0,NA
"Asthma","TIE_ANGPT_AXIS",3,-0.217484670405859,0.25676417986742,0.486176625679638,-1.3222517698143,0.887282429002577,0.144621646956527,0.551000175770256
"COPD","TIE_ANGPT_AXIS",2,0.103666429558009,0.0783011070073669,0.411826700631616,-0.891243467146718,1.09857632626274,0,0.617740050947424
"CRC","TIE_ANGPT_AXIS",2,-0.234941500761734,0.00766799983051939,0.0207705665034164,-0.332372676525266,-0.137510324998201,0,0.0706199261116156
"HCC","TIE_ANGPT_AXIS",1,0.152976211360844,NA,NA,NA,NA,0,NA
"IBD","TIE_ANGPT_AXIS",3,1.14101481222397,0.0642621136593453,0.00315694550647309,0.864517253468115,1.41751237097982,0,0.0178893578700142
"NAFLD","TIE_ANGPT_AXIS",2,0.187819949427026,0.360904017972294,0.694520491154724,-4.39790039303702,4.77354029189107,0.173803012400387,0.930302148823174
"STAD","TIE_ANGPT_AXIS",1,0.227130986011371,NA,NA,NA,NA,0,NA
"Asthma","VEGF_PDGF_AXIS",3,-0.314845723984964,0.154933476123641,0.179199806429951,-0.981470667957921,0.351779219987994,0.0110370064352299,0.355489169272506
"COPD","VEGF_PDGF_AXIS",2,-0.394754602234411,0.0312694139596933,0.0503230301606598,-0.792070177986472,0.00256097351765106,0,0.377422726204948
"CRC","VEGF_PDGF_AXIS",2,0.924254135259297,0.214308274623864,0.145050769286221,-1.79879067876787,3.64729894928646,0.0415249412670958,0.224169370715069
"HCC","VEGF_PDGF_AXIS",1,0.389885924128127,NA,NA,NA,NA,0,NA
"IBD","VEGF_PDGF_AXIS",3,1.29606014338389,0.101985642786299,0.00613503130266865,0.857251339054174,1.73486894771362,0,0.0260738830363417
"NAFLD","VEGF_PDGF_AXIS",2,0.145861563625585,0.484991318865906,0.814014380220277,-6.016537429152,6.30826055640317,0.382168413189748,0.930302148823174
"STAD","VEGF_PDGF_AXIS",1,0.94152128395248,NA,NA,NA,NA,0,NA
"Asthma","WNT_CTNNB1",3,-0.546264861250629,0.0845245164849209,0.0231150222905838,-0.909944502835227,-0.182585219666031,0,0.196477689469962
"COPD","WNT_CTNNB1",2,-0.509183986120989,0.149819376985805,0.182174333153267,-2.41281966354877,1.39445169130679,0.0179949078510179,0.414562421898681
