"accession","disease","epic_cancer","epic_caf","epic_endo","epic_immune","n"
"GSE32863","LUAD",0.355274365925689,0.0219734785764355,0.450356057400226,0.137135324419129,114
"GSE19804","LUAD",0.586289700991131,0.0124589220346419,0.131744618892289,0.226691753098343,120
"GSE10072","LUAD",0.388146479321205,0.0142543279486593,0.243490748204727,0.297267373848704,66
"GSE44076","CRC",0.92462996496367,0.0178527282498573,0.0200835355646883,0.0303230903167582,196
"GSE41258","CRC",0.668301998815368,0.0223657084936683,0.0552280734361227,0.245290830236961,235
"GSE23878","CRC",0.828332231425354,0.0122402875049301,0.0327834133184494,0.114945059690542,59
"GSE75214","IBD",0.687865292638376,0.0150193832671611,0.0962513811394367,0.197391188142417,97
"GSE87473","IBD",0.709944571860073,0.0123766041748294,0.071689854387496,0.207993925954108,127
"GSE179285","IBD",0.397469337608228,0.0246560995908013,0.231450923453408,0.310666937198061,53
"GSE16879","IBD",0.820687971220916,0.0064276119435336,0.0331218735231054,0.139678533154559,43
"GSE4302","Asthma",0.784379142212583,0.00382314079684687,0.0273663012194666,0.184910635726734,70
"GSE43696","Asthma",0.947619168432414,0.000557921808860579,0.00369691809670436,0.0479350757653275,108
"GSE67472","Asthma",0.868181135095782,0.00336754060329175,0.0191074967720344,0.108600166259742,105
"GSE27342","STAD",0.676668405495244,0.0299240673506795,0.0684486492489753,0.217390644836759,160
"GSE63089","STAD",0.730722204330424,0.0261017485719537,0.087039538072121,0.151248676237547,90
"GSE13911","STAD",0.800154510856432,0.0107913470395221,0.0487323687400746,0.141436512865845,69
"GSE15471","PAAD",0.755779822242048,0.038181887378931,0.0504965319788209,0.148683041214152,72
"GSE28735","PAAD",0.663380332482722,0.101050059769311,0.0629256891103517,0.150028460235014,90
"GSE62452","PAAD",0.64939872226582,0.0981349920581453,0.0692389540208063,0.155590231875052,84
"GSE57957","HCC",0.723526136140394,0.00584824284043003,0.0766662578529376,0.191881351209811,74
"GSE62232","HCC",0.858156929567977,0.00344580529058351,0.0386007968709715,0.095485987269651,86
"GSE23400","ESCC",0.613073300536939,0.0136852990571926,0.106260411908217,0.242355563331959,106
"GSE20347","ESCC",0.597492915445751,0.00822638482525216,0.0704423439600209,0.326032926095382,34
"GSE76925","COPD",0.0412020716705894,0.0176280404352338,0.661498973457582,0.207717722007322,151
"GSE47460","COPD",0.196753531618227,0.0120980870629539,0.574184609474544,0.20667572440442,236
"GSE33814","NAFLD",0.730026531937472,0.00650421765716558,0.0794492699134388,0.179029691931306,44
"GSE66676","NAFLD",0.668666617244299,0.00530328814626,0.0704629537181222,0.25653007757001,65
