"accession","disease","sample","epic_cancer","epic_caf","epic_endo","epic_immune"
"GSE32863","LUAD","GSM813411",2.72374133919319e-07,0.00870769024857932,0.775631868026385,0.215660169350901
"GSE32863","LUAD","GSM813412",0.775348438452609,0.0174381478988354,0.116483906878305,0.0907295067702507
"GSE32863","LUAD","GSM813413",9.39093952976165e-09,0.0188568930733539,0.943100292833009,0.0380428047026976
"GSE32863","LUAD","GSM813414",0.580941323925216,0.0364178600536927,0.246221532667649,0.136419283353442
"GSE32863","LUAD","GSM813415",1.49743566392668e-05,0.00680275294621017,0.826576599603702,0.166605673093449
"GSE32863","LUAD","GSM813416",0.684942751993492,0.0342733924422552,0.197948874663694,0.082834980900559
"GSE32863","LUAD","GSM813417",5.06026607252473e-09,0.00893036107330958,0.908925450460719,0.0821441834057051
"GSE32863","LUAD","GSM813418",0.753828409726258,0.0388420217670476,0.105270174258354,0.10205939424834
"GSE32863","LUAD","GSM813419",0.137228004962904,0.00739372742608617,0.631479504909576,0.223898762701434
"GSE32863","LUAD","GSM813420",0.684122209363792,0.106156204434408,0.116358383595556,0.0933632026062443
"GSE32863","LUAD","GSM813421",5.28507348877013e-08,0.0202617451505037,0.943184914491681,0.0365532875070803
"GSE32863","LUAD","GSM813422",0.435151061745645,0.0249823696249906,0.306036293689828,0.233830274939537
"GSE32863","LUAD","GSM813423",0.107337571087655,0.0177394772380401,0.738886418812644,0.13603653286166
"GSE32863","LUAD","GSM813424",0.458299416105176,0.026287207876242,0.337211882588409,0.178201493430173
"GSE32863","LUAD","GSM813425",0.117061232250186,0.0380970508792446,0.676198524902078,0.168643191968491
"GSE32863","LUAD","GSM813426",0.676692623342872,0.0324647940590933,0.129205336941481,0.161637245656554
"GSE32863","LUAD","GSM813427",0.219313325259969,0.0041745004407778,0.624941817217616,0.151570357081637
"GSE32863","LUAD","GSM813428",0.628379589808903,0.0311788084207727,0.187443194563528,0.152998407206796
"GSE32863","LUAD","GSM813429",1.82466480246677e-06,0.00829282840275095,0.964420894464152,0.0272844524682948
"GSE32863","LUAD","GSM813430",0.620866155887122,0.0740486580358386,0.113204159498916,0.191881026578124
"GSE32863","LUAD","GSM813431",4.20380405901011e-08,0.0219591544716318,0.947666661822389,0.0303741416679384
"GSE32863","LUAD","GSM813432",0.506669075447207,0.0123682110926082,0.366481608568725,0.11448110489146
"GSE32863","LUAD","GSM813433",0.144245910694628,0.00741426856658259,0.663946657180302,0.184393163558487
"GSE32863","LUAD","GSM813434",0.51873036135471,0.014154883529056,0.230010520426477,0.237104234689757
"GSE32863","LUAD","GSM813435",6.84412812340993e-09,0.0558566853976864,0.820774372714189,0.123368935043997
"GSE32863","LUAD","GSM813436",0.673835548100358,0.0539784893969842,0.13096998957403,0.141215972928628
"GSE32863","LUAD","GSM813437",4.25877947464269e-08,0.00930510497707893,0.83863818245357,0.152056669981556
"GSE32863","LUAD","GSM813438",0.445032499508336,0.0273154829036129,0.366828683800188,0.160823333787863
"GSE32863","LUAD","GSM813439",1.30894901623924e-09,0.0172951842265028,0.955446927749225,0.0272578867153233
"GSE32863","LUAD","GSM813440",0.42858830432103,0.0219878026812392,0.413118667948874,0.136305225048856
"GSE32863","LUAD","GSM813441",1.03423584772438e-06,0.0141582714872181,0.897142161567805,0.0886985327091292
"GSE32863","LUAD","GSM813442",0.646829891583281,0.028404704239862,0.208923185440189,0.115842218736668
"GSE32863","LUAD","GSM813443",4.73407145650431e-08,0.0104711592193156,0.822526314071481,0.167002479368489
"GSE32863","LUAD","GSM813444",0.558778661391844,0.0908544191803347,0.264377871242928,0.0859890481848924
"GSE32863","LUAD","GSM813445",0.291123019083131,0.0077653147957652,0.527599766744879,0.173511899376225
"GSE32863","LUAD","GSM813446",0.338715584024366,0.0346410109417174,0.475555639470828,0.151087765563088
"GSE32863","LUAD","GSM813447",0.0503676965201376,0.00755152252871983,0.775971389584233,0.16610939136691
"GSE32863","LUAD","GSM813448",0.591069530226271,0.0467955692312036,0.201781732183317,0.160353168359208
"GSE32863","LUAD","GSM813449",0.308195211450112,0.0187552126395427,0.519568930396708,0.153480645513637
"GSE32863","LUAD","GSM813450",0.665454137409144,0.119186034041359,0.137518207404256,0.0778416211452411
"GSE32863","LUAD","GSM813451",0.0760260277747181,0.0159999561662577,0.769910313450827,0.138063702608197
"GSE32863","LUAD","GSM813452",0.513716175311094,0.0958183788844589,0.279020672554331,0.111444773250116
