accession,disease_e,sample,epic_cancer,epic_caf,epic_endo,epic_immune,pos,disease_x,epi,fib,end,imm
GSE32863,LUAD,GSM813411,2.72374133919319e-07,0.0087076902485793,0.775631868026385,0.215660169350901,0,LUAD,0.0670196647230392,0.242962999237663,0.147218319579797,0.789627744268079
GSE32863,LUAD,GSM813412,0.775348438452609,0.0174381478988354,0.116483906878305,0.0907295067702507,1,LUAD,0.187808713285815,7.0911076839148e-18,0.0,0.333421384606792
GSE32863,LUAD,GSM813413,9.39093952976165e-09,0.0188568930733539,0.943100292833009,0.0380428047026976,2,LUAD,0.0467471533794157,0.215283638635897,0.218367257950023,0.77197102589812
GSE32863,LUAD,GSM813414,0.580941323925216,0.0364178600536927,0.246221532667649,0.136419283353442,3,LUAD,0.165772972312205,0.0,1.91553223318346e-21,0.715840082907733
GSE32863,LUAD,GSM813415,1.49743566392668e-05,0.0068027529462101,0.826576599603702,0.166605673093449,4,LUAD,0.0850540287418026,0.116104966480242,0.143033439671166,1.07259486820755
GSE32863,LUAD,GSM813416,0.684942751993492,0.0342733924422552,0.197948874663694,0.082834980900559,5,LUAD,0.242388385063303,9.7753225301207e-19,0.0344436369030814,0.169670553643817
GSE32863,LUAD,GSM813417,5.06026607252473e-09,0.0089303610733095,0.908925450460719,0.0821441834057051,6,LUAD,0.0705546558709942,0.275336436266853,0.216187941768193,0.908733780088353
GSE32863,LUAD,GSM813418,0.753828409726258,0.0388420217670476,0.105270174258354,0.10205939424834,7,LUAD,0.223537306532162,0.0972793807352507,0.0252212513807003,0.114127024231239
GSE32863,LUAD,GSM813419,0.137228004962904,0.0073937274260861,0.631479504909576,0.223898762701434,8,LUAD,0.0754198601861071,0.0879220976272195,0.116276880299112,0.937277570182902
GSE32863,LUAD,GSM813420,0.684122209363792,0.106156204434408,0.116358383595556,0.0933632026062443,9,LUAD,0.0,4.37536397257101e-19,0.0848970701769023,0.0931862075636953
GSE32863,LUAD,GSM813421,5.28507348877013e-08,0.0202617451505037,0.943184914491681,0.0365532875070803,10,LUAD,0.0537775954543453,0.264051184680608,0.201476716558688,0.893843575667045
GSE32863,LUAD,GSM813422,0.435151061745645,0.0249823696249906,0.306036293689828,0.233830274939537,11,LUAD,0.119956380527675,0.0198280277706403,1.21868568967176e-17,0.895079331080039
GSE32863,LUAD,GSM813423,0.107337571087655,0.0177394772380401,0.738886418812644,0.13603653286166,12,LUAD,0.108061105427656,0.157498172422845,0.184856267734534,0.815257976265742
GSE32863,LUAD,GSM813424,0.458299416105176,0.026287207876242,0.337211882588409,0.178201493430173,13,LUAD,0.240831080414095,0.0167374374362849,0.0158628313223186,0.842550973917785
GSE32863,LUAD,GSM813425,0.117061232250186,0.0380970508792446,0.676198524902078,0.168643191968491,14,LUAD,0.0681214130037949,0.193531364838147,0.166197669639815,0.975992359639241
GSE32863,LUAD,GSM813426,0.676692623342872,0.0324647940590933,0.129205336941481,0.161637245656554,15,LUAD,0.226079365727858,0.0,0.0084434751898416,0.816550252355149
GSE32863,LUAD,GSM813427,0.219313325259969,0.0041745004407778,0.624941817217616,0.151570357081637,16,LUAD,0.124178659484903,2.89173054247313e-17,0.117244600503083,1.03387915919353
GSE32863,LUAD,GSM813428,0.628379589808903,0.0311788084207727,0.187443194563528,0.152998407206796,17,LUAD,0.195994886939815,0.0163531753518423,0.0,0.668086329086056
GSE32863,LUAD,GSM813429,1.82466480246677e-06,0.0082928284027509,0.964420894464152,0.0272844524682948,18,LUAD,0.100664405596759,0.103381187353477,0.220615715340147,0.797324168990893
GSE32863,LUAD,GSM813430,0.620866155887122,0.0740486580358386,0.113204159498916,0.191881026578124,19,LUAD,0.20620036953935,4.05977287620585e-19,1.24101948877661e-19,0.713088471762124
GSE32863,LUAD,GSM813431,4.20380405901011e-08,0.0219591544716318,0.947666661822389,0.0303741416679384,20,LUAD,0.0569983651373805,0.162936867612457,0.244775248781945,0.782875199037781
GSE32863,LUAD,GSM813432,0.506669075447207,0.0123682110926082,0.366481608568725,0.11448110489146,21,LUAD,0.185466958722027,0.0754706470506044,0.075719341525809,0.475686542240665
GSE32863,LUAD,GSM813433,0.144245910694628,0.0074142685665825,0.663946657180302,0.184393163558487,22,LUAD,0.128449291473298,0.189998683743103,0.145799365059172,0.91955296629259
GSE32863,LUAD,GSM813434,0.51873036135471,0.014154883529056,0.230010520426477,0.237104234689757,23,LUAD,0.118240346616435,0.0,0.014413758823879,0.96378935879979
GSE32863,LUAD,GSM813435,6.84412812340993e-09,0.0558566853976864,0.820774372714189,0.123368935043997,24,LUAD,0.0738723108702671,0.213747780292661,0.150272009362071,0.941258706567895
GSE32863,LUAD,GSM813436,0.673835548100358,0.0539784893969842,0.13096998957403,0.141215972928628,25,LUAD,0.189912331958727,0.0,1.90975530756192e-18,0.533903109915106
GSE32863,LUAD,GSM813437,4.25877947464269e-08,0.0093051049770789,0.83863818245357,0.152056669981556,26,LUAD,0.0868504822681288,0.176362799534848,0.168133134735593,0.90704992266757
GSE32863,LUAD,GSM813438,0.445032499508336,0.0273154829036129,0.366828683800188,0.160823333787863,27,LUAD,0.270077256933395,0.0,0.0519874005510557,0.572086484634713
GSE32863,LUAD,GSM813439,1.3089490162392402e-09,0.0172951842265028,0.955446927749225,0.0272578867153233,28,LUAD,0.0720520401431094,0.173698069549846,0.209122712941933,0.800374359389389
GSE32863,LUAD,GSM813440,0.42858830432103,0.0219878026812392,0.413118667948874,0.136305225048856,29,LUAD,0.154973406044922,0.0,0.0,0.823485719757725
GSE32863,LUAD,GSM813441,1.03423584772438e-06,0.0141582714872181,0.897142161567805,0.0886985327091292,30,LUAD,0.0898484134977888,0.157904920924255,0.191188051114373,0.802771563686376
GSE32863,LUAD,GSM813442,0.646829891583281,0.028404704239862,0.208923185440189,0.115842218736668,31,LUAD,0.214527771531847,0.0712226688811636,0.0017045601111533,0.471202262094742
GSE32863,LUAD,GSM813443,4.73407145650431e-08,0.0104711592193156,0.822526314071481,0.167002479368489,32,LUAD,0.0459920373077464,0.184379923103739,0.133630394371486,1.09234906346647
GSE32863,LUAD,GSM813444,0.558778661391844,0.0908544191803347,0.264377871242928,0.0859890481848924,33,LUAD,0.230262294089141,0.0247964977065823,0.089538855584346,0.452608063969619
GSE32863,LUAD,GSM813445,0.291123019083131,0.0077653147957652,0.527599766744879,0.173511899376225,34,LUAD,0.134919630100258,0.0925451382853504,0.0958730719660558,0.93126471459695
GSE32863,LUAD,GSM813446,0.338715584024366,0.0346410109417174,0.475555639470828,0.151087765563088,35,LUAD,0.214361739587981,0.0003548024398305,0.0,0.731356303096148
GSE32863,LUAD,GSM813447,0.0503676965201376,0.0075515225287198,0.775971389584233,0.16610939136691,36,LUAD,0.0902767788922201,0.180630533199932,0.154723099219218,0.872051226541614
GSE32863,LUAD,GSM813448,0.591069530226271,0.0467955692312036,0.201781732183317,0.160353168359208,37,LUAD,0.182520407482399,1.2657189410400601e-17,4.33733722500221e-18,0.91202163028409
GSE32863,LUAD,GSM813449,0.308195211450112,0.0187552126395427,0.519568930396708,0.153480645513637,38,LUAD,0.0901860343472746,0.1520668251764,0.131685466263448,0.84756481321318
GSE32863,LUAD,GSM813450,0.665454137409144,0.119186034041359,0.137518207404256,0.0778416211452411,39,LUAD,0.205951071422427,0.0308522098171741,0.0653753281182102,0.337452082710533
GSE32863,LUAD,GSM813451,0.0760260277747181,0.0159999561662577,0.769910313450827,0.138063702608197,40,LUAD,0.132995225258163,0.198904503333366,0.163557025037675,0.830582828938408
GSE32863,LUAD,GSM813452,0.513716175311094,0.0958183788844589,0.279020672554331,0.111444773250116,41,LUAD,0.198749095350337,0.0,0.0462561149686651,0.664292085436875
GSE32863,LUAD,GSM813453,1.25561704453978e-06,0.0186542937427629,0.960568893201204,0.0207755574389885,42,LUAD,0.0352291535607191,0.241884715343315,0.242215720469818,0.827400658858322
GSE32863,LUAD,GSM813454,0.570181396585427,0.0785253595391344,0.193003355079911,0.158289888795527,43,LUAD,0.181945257823868,0.0231736583343248,0.0293963742551259,0.774293395332091
GSE32863,LUAD,GSM813455,0.395915160651608,0.0035069640618677,0.392087728794958,0.208490146491566,44,LUAD,0.13014432888205,0.0,0.0454634589887124,0.998576108987957
GSE32863,LUAD,GSM813456,0.634995514196906,0.0372327924255091,0.209374413721623,0.118397279655961,45,LUAD,0.195911903287535,3.09007477354812e-18,0.010790979674882,0.455287084902098
GSE32863,LUAD,GSM813457,0.416117628484926,0.0113879875551821,0.384484297288581,0.188010086671312,46,LUAD,0.157282907487975,0.0329493723644566,0.0640785616386604,1.01632135490846
GSE32863,LUAD,GSM813458,0.767585446069149,0.0122645025591299,0.108999843938917,0.111150207432804,47,LUAD,0.242490861018675,0.0,1.53206899646195e-18,0.444257783569554
GSE32863,LUAD,GSM813459,2.3394221043901503e-09,0.0108773236684037,0.949662627932432,0.0394600460597421,48,LUAD,0.0748167798298749,0.229441134280017,0.195820759805324,0.79915878497012
GSE32863,LUAD,GSM813460,0.654356938933569,0.0311259620839662,0.188919437136521,0.125597661845944,49,LUAD,0.152622727231164,0.0,0.0,0.747167732087197
GSE32863,LUAD,GSM813461,8.56742488131132e-08,0.0207395391895019,0.935103099029539,0.04415727610671,50,LUAD,0.0645806095559376,0.206474390913791,0.156811622481594,0.908615183589513
GSE32863,LUAD,GSM813462,0.567966608909647,0.105563249954726,0.221259222668783,0.105210918466844,51,LUAD,0.21098624505984,0.0535222800833274,0.120009258715135,0.496900510130935
GSE32863,LUAD,GSM813463,3.20889153607737e-08,0.0064900521689089,0.838891540524797,0.154618375217379,52,LUAD,0.0994688869068035,0.124292840158583,0.181710930480744,0.89707512921323
GSE32863,LUAD,GSM813464,0.75938103563695,0.0394671665729679,0.0991550689546494,0.101996728835433,53,LUAD,0.252058336252567,0.007001941082374,0.0390150755884051,0.304215347944009
GSE32863,LUAD,GSM813465,9.47931016732538e-07,0.0169605519920677,0.814061167504911,0.168977332572004,54,LUAD,0.0693349241398241,0.226884641820395,0.15946559673239,0.889567056777511
GSE32863,LUAD,GSM813466,0.625437395934525,0.0328701388255116,0.20208129805765,0.139611167182313,55,LUAD,0.162667844980394,0.0683587996183162,0.0286585024700126,0.366919323961967
GSE32863,LUAD,GSM813467,3.63631406316422e-08,0.0192749621595691,0.949531939862629,0.0311930616146609,56,LUAD,0.0593974995622681,0.256449322397177,0.249773827944691,0.798843538822152
GSE32863,LUAD,GSM813468,0.326749911273706,0.10887591443503,0.425156475329624,0.13921769896164,57,LUAD,0.2311761840091,0.0637770442390231,0.131047220608407,0.532173101676477
GSE32863,LUAD,GSM813469,7.928961296300091e-09,0.0106260592880523,0.932808316161119,0.0565656166218671,58,LUAD,0.067286933825732,0.213675939400198,0.181107671689378,0.768496042022563
GSE32863,LUAD,GSM813470,0.523240007180691,0.032290353426275,0.35992892030684,0.084540719086194,59,LUAD,0.20480859474856,0.0195228457160874,0.114197227925873,0.384849411246642
GSE32863,LUAD,GSM813471,4.94529091279e-08,0.0078888615447547,0.962742202291103,0.0293688867112335,60,LUAD,0.042698250440523,0.224122406168003,0.209263684570198,0.907773723261039
GSE32863,LUAD,GSM813472,0.560303631553002,0.0301463432940863,0.231278320255668,0.178271704897244,61,LUAD,0.172167934257157,0.0,0.0,0.768837444377101
GSE32863,LUAD,GSM813473,2.6458317007671e-05,0.0269791119902842,0.790330042894322,0.182664386798386,62,LUAD,0.0488306874886169,0.0805745031023582,0.149039527623694,1.13806763954438
GSE32863,LUAD,GSM813474,0.6482176457015,0.121454983373495,0.123607404196065,0.10671996672894,63,LUAD,0.186236323654939,0.0,0.0085449447667716,0.325608423235522
GSE32863,LUAD,GSM813475,1.59338622235448e-05,0.0237582981673517,0.882723971867429,0.0935017961029958,64,LUAD,0.0458054322376883,0.234989216560801,0.19527562987805,0.764662612814348
GSE32863,LUAD,GSM813476,0.555113718365856,0.0354301312965876,0.290672282310009,0.118783868027547,65,LUAD,0.204452486396339,0.127583898336905,0.0528853229954999,0.285752557940649
GSE32863,LUAD,GSM813477,0.0071929499718648,0.0104874818509385,0.81513997747004,0.167179590707157,66,LUAD,0.0150486258021996,0.206893964461075,0.0997946972815428,1.15890654343633
GSE32863,LUAD,GSM813478,0.501810227742122,0.11935792719898,0.272558920280825,0.106272924778073,67,LUAD,0.245552873545438,0.0279685878373527,0.0839558786076256,0.466365428731977
GSE32863,LUAD,GSM813479,0.181447273364335,0.0110467947094268,0.604813088028919,0.20269284389732,68,LUAD,0.0927859484272889,0.155523875738093,0.150263743938234,0.962657394486193
GSE32863,LUAD,GSM813480,0.677577070533319,0.0454321470131125,0.103746521261406,0.173244261192162,69,LUAD,0.237125263668129,0.0,8.492761627064981e-19,0.630402710102319
GSE32863,LUAD,GSM813481,1.80953624310663e-08,0.0091925517417967,0.961622865840184,0.0291845643226571,70,LUAD,0.0726106480627326,0.129362922095815,0.201174360353731,0.767369848681503
GSE32863,LUAD,GSM813482,0.51219597059474,0.0477052160227384,0.291321158414222,0.1487776549683,71,LUAD,0.139426374230667,9.95731747576868e-18,0.0070293111493646,0.524509651766861
GSE32863,LUAD,GSM813483,2.94506579746943e-08,0.0243694163197732,0.831901968775393,0.143728585454176,72,LUAD,0.0716338178643687,0.092742872698506,0.112901389729499,1.03313488119015
GSE32863,LUAD,GSM813484,0.590063533434334,0.112730303420578,0.159354797660272,0.137851365484816,73,LUAD,0.222041907950849,0.0,0.0473179425926276,0.647373701985581
GSE32863,LUAD,GSM813485,0.038472640067384,0.0051386558677166,0.698474286576601,0.257914417488299,74,LUAD,0.0606723614781187,0.0953915311969001,0.139158430313627,0.862933767012961
GSE32863,LUAD,GSM813486,0.572739967722434,0.15140218290444,0.196531956141097,0.0793258932320294,75,LUAD,0.170810040499786,0.119476098563031,0.11431080693377,0.157767928425064
GSE32863,LUAD,GSM813487,3.1866974765486e-08,0.0444988197226161,0.82233712055341,0.133164027856999,76,LUAD,0.133835003184949,0.139415346470218,0.161473914243323,0.885352438543357
GSE32863,LUAD,GSM813488,0.588690986870906,0.0218805989047033,0.29217052719361,0.0972578870307803,77,LUAD,0.195256199255106,0.0878560762679809,0.0880821531887234,0.581049429146914
GSE32863,LUAD,GSM813489,2.86283849340735e-09,0.0075386063346537,0.839989681751922,0.152471709050585,78,LUAD,0.0796256438123799,0.123729457776183,0.157230253285478,0.973902918198323
GSE32863,LUAD,GSM813490,0.663386464880081,0.0532513864814588,0.15216610515032,0.13119604348814,79,LUAD,0.188635283429397,0.0,0.0,0.504853223235219
GSE32863,LUAD,GSM813491,3.1433231023605104e-09,0.0085611277240683,0.843641289455128,0.147797579677481,80,LUAD,0.070392853743286,0.198041498741051,0.22362638868727,0.781632329920683
GSE32863,LUAD,GSM813492,0.724800321688968,0.0309359237471378,0.122839997953888,0.121423756610006,81,LUAD,0.185860676203942,0.0144300759743657,0.0,0.615384442159398
