"cohort","context","feature","n","events","genes","HR","p","fdr"
"GSE21501","PAAD","JAK_STAT",102,66,9,1.31481830257606,0.0321850106338413,0.290202508514758
"GSE21501","PAAD","SRC_FAK",102,66,5,1.29302520027226,0.0341414715899716,0.290202508514758
"GSE21501","PAAD","TIE_ANGPT_AXIS",102,66,3,0.785007356703149,0.0663421050074842,0.36139472367016
"GSE21501","PAAD","PDGFR_KIT_CSF1R",102,66,5,0.805345024086775,0.0935806292533457,0.36139472367016
"GSE21501","PAAD","VEGF_PDGF_AXIS",102,66,9,1.21608422732121,0.106292565785341,0.36139472367016
"GSE21501","PAAD","EPH_RECEPTORS",102,66,4,1.14831525967882,0.26949783406827,0.704295843710332
"GSE21501","PAAD","WNT_CTNNB1",102,66,4,0.882648801738125,0.290004170939549,0.704295843710332
"GSE21501","PAAD","IGF_INSR_AXIS",102,66,4,1.11836381816775,0.387252265468691,0.735148198020864
"GSE21501","PAAD","RAS_MAPK",102,66,12,1.10507948325587,0.389196104834575,0.735148198020864
"GSE21501","PAAD","TGFB_SMAD",102,66,5,1.1035395369259,0.444892343607204,0.74304052385532
"GSE21501","PAAD","ERBB_RECEPTORS",102,66,4,0.916675700180152,0.480790927200501,0.74304052385532
"GSE21501","PAAD","ERBB_LIGANDS",102,66,6,1.07308806964468,0.593721975222195,0.841106131564777
"GSE21501","PAAD","FGFR_AXIS",102,66,8,1.03200378040939,0.78919808448488,0.940292395629462
"GSE21501","PAAD","HGF_MET_AXIS",102,66,3,1.03015305119095,0.816717442019349,0.940292395629462
"GSE21501","PAAD","TAM_AXL_AXIS",102,66,3,0.985997187747798,0.910726578493969,0.940292395629462
"GSE21501","PAAD","PI3K_AKT",102,66,7,1.01313000574978,0.920086040852299,0.940292395629462
"GSE21501","PAAD","RET_ALK_NTRK",102,66,6,1.00905957034624,0.940292395629462,0.940292395629462
