file,bytes,rows,sha256
00_CHANGELOG.md,2004,,ee4293695f2936292c4979549462848028ffd6def9c8661e01e0def850acff25
00_README.md,8474,,dcb743258db4a5a557117a8c349b561f5926812a92259332c3600e3b3a8339a6
00_VERSION.txt,698,,6a9a238c9b0761575425412e7d3d5d15e867c627e94a6d58d45e3288677fede5
01_cohort_registry/TableS1_accessions.csv,1777,39,4ea1354bff4f4068c0e9630b7acc8b1aa676af2ec6b7b999734192af69425e66
01_cohort_registry/TableS1b_cohort_pubmed_map.csv,1285,31,504bd230092689576077c0346efa16404b57e22a09ac98045d12a2795912be6e
01_cohort_registry/cellxgene_sources.csv,2209,4,dc2cf6cbbe3f8ff73dcc65455184af7ab31748f3d11a723e5ff5770dde17ef9d
01_cohort_registry/cohort_registry.csv,5296,27,0e63d07ddab1d95316492cee773cd851461e4ea4047dbbb5fd3d14d7d9ab7e12
01_cohort_registry/contrast_ontology.csv,2062,26,bbeec5f4ca7788607947f35216073e91947fa81238df14f8a22074e78aeab286
01_cohort_registry/source_versions.csv,1404,3,2bd7b7ff3cf49d81186a894db8c027ee566bdec9c3cef4a6cc6b2c89e0cbab14
02_sample_annotation/sample_annotation_escc_squamous_tcga.csv,7059,96,4036f0870da93c8e2ab81535666f1590cc1cfb5b7c7531585d8dff5491e653af
02_sample_annotation/sample_annotation_geo_cohorts.csv,187038,2754,32615f8c70a4669f66329575376260db76a6ad66ca8d7a4f3e94f79ec1441fe5
03_expression/README_download_pathway.md,1068,,f1be962d2fe1652cb691fa20045b1d1b92b22028b43bbdae005e38c5513fb76d
03_expression/download_and_rebuild_one_series.R,3026,,bf4382d05fce2c447d35be0921600dd27cb01508d3169bb9b74556bc5d9090b9
03_expression/transformation_log.csv,2293,27,5bb3ed71057a053c698599ee3c8371e466ded56da3954daa8c0d4bc0b4880c2d
03_expression/transformation_summary_per_cohort.csv,1310,27,30f07625f5ef49d221bf49b4d56bf91b1fd95736a00009722fb66cf853897d6b
04_modules/module_definitions.csv,4927,99,ea96f2d8444928648d8800044094a445a7af17392c9168a90c0822d9b6946a94
04_modules/module_overlap_matrix.csv,4167,136,9a9b5edee6d55717292d7dd1003af1a689aa191ffdd2a0ad055329a06d90b3fa
04_modules/platform_module_coverage.csv,17071,459,1b725b092f90308bb8f0934612b24c96caed217b7a5e24024d3cc87529c18ebe
04_modules/sample_module_scores_gsva_z.csv,897514,2754,b5ee1bb03a3e7b19fafb1e7d970ce87a4e95ff3d46b894fd79e7d6be2a352cf5
05_composition/alternative_method_marker_proxy.csv,263734,2711,06c61139bebe97ef0d71dcbf3487e9195baa3e52d2ee025085fc17faa4ba33fb
05_composition/composition_scores_per_sample.csv,274053,2711,e83a2a3194644e8efdb35cc0d2b21ff5093a4efc6e37700f56b8398035194dc9
05_composition/xcell_composition_scores.csv,257773,2711,2af8d3fddb537e2a260fdf2d15290c1661943dbbf6d9a0b392cd15d66cd35900
06_single_cell/single_cell_comparisons.csv,46168,240,3928dc479193535c9e8c863d06df5fb322b068ef189248cd9477bdec58213eb6
06_single_cell/single_cell_dataset_audit.csv,316,5,adea6ede92d2d84ffbcbb2b4b946fd8af32a6e8948da7709c71ef7ede156ed25
07_estimates/PROVENANCE.md,1507,,29f3a221f5aa42526b435498ca7113e7c9d4e7cd0c0e3951ca251ae920ba4180
07_estimates/composition_model_summary.csv,20445,170,27e28cffb11bc6cff80a9b9ea499a47e933f70ddf7839e2f0c61b5647427c8eb
07_estimates/driver_eligibility.csv,1916,6,1a2717a98aada8922c0f1873b7b7e466ed7a20ea7eb6764274b04bfe5be21ded
07_estimates/driver_interactions.csv,14070,102,7617b8ed00f90615113f2f544876eae95a43e200b7f5c3a9d68902df26b21752
07_estimates/external_validation_crc.csv,6706,51,7fcb9fef711fe17ac86b3b69f7feef1d55cbcbacee2ae374e207ee60dedd7c24
07_estimates/meta_adhoc_knapp_hartung.csv,32885,170,0674da889a858757c02053b456cf320d8918e1cc56541184b0ea5005d0df1426
07_estimates/meta_dersimonian_laird.csv,33346,170,495cfb80ea2cc70b69f92a8fbcaa8a8d26224e6630daaee17b15d95f919bdbe5
07_estimates/meta_primary_reml_knha.csv,43345,170,e20b37b29791807959029d96a29810bc5922c69f3255f8990fb0eb494bc77d01
07_estimates/meta_primary_with_prediction_intervals.csv,43345,170,e20b37b29791807959029d96a29810bc5922c69f3255f8990fb0eb494bc77d01
07_estimates/meta_rho0.5_sensitivity.csv,33189,170,7d5b1446f118f8d08cbeae19faba8683d545277ea59d23286b6deeca4d90b0af
07_estimates/meta_rho0.7_sensitivity.csv,33262,170,348368b0d592ad7478d72b40526f9550a7308b236845e59e5c6d5af36cf32750
07_estimates/meta_unpaired_only.csv,19041,102,516470b6534fae0a834fde637768ab735b9cba6f28ed55012700203566f57b1f
07_estimates/mutation_denominators_all_contexts.csv,1258,24,56fddc798575643e0753cc833204e33ef7f345f017005222baab55ed6ed32539
07_estimates/not_estimable_pairs.csv,729,8,25bcfdeba3d26f4454f2df7bc3c9cf821ff83b21fb67304b4c29ae9435a1a8a7
07_estimates/per_cohort_effects.csv,164397,442,b8d9d909fdc168c5bee391c38605ffbe037d28ed7e18233c7dbcdaf06ff077e4
07_estimates/per_state_evidence_matrix.csv,44195,170,c972d00d20eb1176267b1e61109e04ae51e208b9d3fc5186e69870ce93212958
07_estimates/per_state_evidence_matrix_v14recomputed.csv,44195,170,c972d00d20eb1176267b1e61109e04ae51e208b9d3fc5186e69870ce93212958
07_estimates/survival_data_dictionary.md,1602,,fa83175969541e3e6f46ff2da5af34b2a068bdab2b463bda4c4d0b39d4b53d78
07_estimates/tcga_escc_squamous_cna_summary.csv,195,3,6a528e1c9f91e54f9d4172fa1396566590119431b2906014428ece50fe97bd50
07_estimates/tcga_escc_squamous_mutation_denominators.csv,171,4,41eab7b4f3751e6fb1459d8a3c5a953f3895f29d39c290d8235bf9d2f1b47c36
07_estimates/tcga_escc_squamous_survival_cox.csv,6071,51,005a4adf4283d808726ee3853b7ff6429053cc4a231c86c7c1bda29c8c974f84
07_estimates/tcga_patient_module_scores.csv,2024771,36703,b2051f6e4b6997feacc602977110bd7bdf848ae7be5ee5dcd90b91ed1c002869
08_qc/checksums_README.md,766,,b53d0b723b4bccc387cf51056cd45523f013409a53f52b44ce79aab4d6186855
08_qc/curation_flow.csv,1890,10,3790c936df58d03287dcc6b8ea8dbe0b36edb0867215599db0348de0799c8dc2
08_qc/exclusion_and_flag_log.csv,1559,9,7ec9924d1280f23fd04f13556a68fac338ac96eb4f3e16db970a358680702e86
08_qc/qc_bulk_score_level_reproducibility.csv,1826,49,5669812ff37a3d546432909c775f79749c5543786b8398687afa7cd82a3e8204
08_qc/qc_cellxgene_identifier_verification.csv,1101,5,a264f6d8de78bc026fe3696e8562bcc1d4e877ec71f5288d7d3919e2bc3bc096
08_qc/qc_common_gene_sensitivity.csv,977,17,8920eff26e257bebe4086d930730a6350d0f434549d477511b351372311a0f18
08_qc/qc_common_gene_sensitivity_per_cohort.csv,28851,390,ad86a15ef36e713347aa3e5deda50b273443bd0fb9bdbac8bd3f0b9828b5e823
08_qc/qc_composition_collinearity.csv,1361,26,cf5fb43366f48b20dfbe10c511ce26d3126187009ecde6ef6924d3d446fc76c5
08_qc/qc_composition_join_audit.csv,1233,26,13019bdd8e716318f9ec695b6e75966e12465ac51fd371db9bdd0962cbe1d17d
08_qc/qc_composition_method_agreement.csv,153,4,adec1c83f3d9e46131248907550f11709e8ad4dae03e59aaa1a7bf6f43abb491
08_qc/qc_composition_recompute_verification.csv,453,12,67e91c84091473efa1ee5246a6a0a75869975288cd1d686eb15a4084e5b99fb9
08_qc/qc_coverage_threshold_sensitivity.csv,91287,607,5bf089aaf1866f425c9bdb95201b357d111c3e16adc5e8d028d40189c5084d4d
08_qc/qc_cox_proportional_hazards.csv,1130,17,42b2b83e267637fb294a42e58b54b227023b566a9702de183e93e8a214275346
08_qc/qc_cross_cohort_consistency.csv,11220,170,6209418dc7251925126f51bea5e1037213e0e6d3643d99077bdac8be982d6daa
08_qc/qc_expression_matrix_per_cohort.csv,2435,27,69a19aae7b60535322d76cab62460d0682bfd7acfc24d8a1938d0be4ce68a885
08_qc/qc_module_score_and_effect_verification.csv,3148,49,9c9bd6e77d2ac28f8391d2f14d5a69ec933410d5a795429752d1473e0d3c048c
08_qc/qc_module_vs_xcell_signature_overlap.csv,3147,17,7bd3e09f56d5fb1d45cb4fda00a0ce6611b7f64357a695e2c66efb42a72c56b8
08_qc/qc_study_dedup_sensitivity.csv,66,1,434e8fd27338c362f27d1864278689fcbde436689004cf30e77200f362dcae4c
08_qc/qc_study_level_overlap_audit.csv,1356,26,04fea9279d5c30ea874a458db7b92a9ec9fe1c7da6c83e1748bad81cb5aea960
08_qc/qc_tcga_cox_reproducibility.csv,4409,68,e68cd8e3113d33630d50619e78c04b3847fbae9a353f82a1b941d650183beda3
08_qc/qc_tcga_module_score_rebuild.csv,125,3,7b31c469acf8795a421e2e16d3e39e1c0ed586e1239b6e7eccad07505c2ce411
08_qc/qc_vif_by_predictor.csv,1595,26,59ab68993772e9cc0b161d49ab10c519ff2566e7d6f735ca1614dee486d1a27a
08_qc/sample_dedup_patient_audit.csv,1776,27,829768d514cde4761fdbc9d8a78e9285cfa5790f35ccf2ab63bc21751e998a3f
08_qc/sample_ids_all_cohorts.csv,106215,2754,e3bb9acac3f13c0da36dd405c3ebeba0a2a3c3cb04e5c575d01122ed08ffaf1b
09_reuse_examples/README_examples.md,1688,,2e7587376f97f908fb21e350ef16d3631eac150b73bc87bf7baa15fc18c9b386
09_reuse_examples/example1_replace_module_gene_set.R,1697,,ca99d9e4aa96a4c977744653723469226fdebf9460e5b6a3eff2e2d786e1dbaf
09_reuse_examples/example2_recompute_composition_scheme.R,1091,,e4cfe206e639bc264b622bdac1f9cb3220d9d25b85e98fc6320bb4d1b51e7285
09_reuse_examples/example3_external_cohort_rebuild.R,5512,,f1d659cbd505012a8f14f69f83a440658f099035054c457b59218233d9f0921a
09_reuse_examples/example3_external_cohort_rebuild.csv,2216,17,5b858e18edc5e11949a948224da6ae673a8531181888463cf4db931196f1c9f1
09_reuse_examples/example3_external_cohort_summary.txt,191,,21200f31c7aa8761facb307d820810daa43159ee8cae4005ffc33b18659a7988
09_reuse_examples/example_input/demo_expression_matrix.csv,192565,1298,b836cb6abe6e488212a2e955feb674172612b7d2676844823a742c6e6d071cc4
09_reuse_examples/example_input/demo_sample_metadata.csv,448,20,42f8851d15a1c1aea348de02dacefa8f528079afe7d64f93ca9e62422695504f
09_reuse_examples/expected_output/example1_module_scores.csv,1032,20,e1e4065ac96c675562d32b1360be3eb9472cc24aed0d3ac35648d8aa18dd66ab
09_reuse_examples/expected_output/example2_composition_ratio.csv,16339,170,cdd8b8a78771902aba950a35586acd877ee61f5168ce795a4448e3ab3b40f472
10_environment/environment.txt,288,,538432a41e1d5da9055437a765f79b35343c2526ae17b28a18a2fe54ffdcb53b
10_environment/run_order.md,542,,5b32db2d4596a8007d31952e11388f5b53096297ebdae515c2bb682aa7719aa8
11_code/22_v12_sc_reanalysis.py,13432,,2709058ae5cc2c3a6a7b5a209738376deaa3c2ba60819e95faed14cd9de16f79
11_code/40_v12_common_gene_sensitivity.R,4079,,5206ca05b49343361ae691358afe8e2605ec7dc95903058af4e9d95acd8ceace
11_code/41_v12_effects_meta.R,7047,,81153c1bda6af517cbd30da6e163fb9604aba6aec185e803866deb96d84b1c37
11_code/42_v12_audit_ph_collinearity.R,3860,,66cc1f2c734339718f16570fb0147e8ec077587f3411d8515de51eb4b45a7a1b
11_code/43_v12_composition_keys.R,3552,,03409ad06c0de57daf8dbb442a852e7e440c1247c337daa492377a3e0caff949
11_code/60_v14_figures.R,11464,,4438996f9d83f97386f03e57ecb42ee2729c1b25737a2b75739fc56343c833c4
11_code/64_v14_figure_qa_final.py,4094,,5868ed752d52d6abc18dcc8755286411334bf0682149300a6e438e8ae46aff47
11_code/65_v14_analysis_additions.py,8530,,e9bd2fc3586cc131de441a4ded448791e65e2561dba3d035f8c5a90daf18b11d
11_code/66_v14_marker_proxy_qc.R,5469,,64d281114f11cce2615328c84d17a441c1a6b870db76a462f6f4d1d2b9e384cb
11_code/70_v14_manuscript.py,28439,,4e0db3b7a9c67c59ab7ee82d833b259a8e7514ddb8ce0cb20463b37df32a21e7
11_code/71_v14_tables_legends.py,19793,,3b651bd05dc2a4758d88798828c19d94d5bec077fcdcab0dcd2872006ac3e7cd
11_code/76_v14_external_reuse_example.R,5512,,f1d659cbd505012a8f14f69f83a440658f099035054c457b59218233d9f0921a
11_code/77_v14_figure_review.py,5485,,9fd877964e8efcae310d6944ef74b5e3e8004987f7fb4059e3d4e114b6b956c5
11_code/80_v13_fix_insertions_and_gaps.py,3309,,80081d72c9a253827146dd624aa9c58a65c5a86266399070a59b5c66086d3a46
11_code/README_code.md,847,,89b1fdea752f028d2f99d29d53f2d6799e474b6e572fdb0b45e05528659c7e95
08_qc/file_inventory_and_checksums.csv,,97,self-reference: hash recorded in checksums_sha256.txt
08_qc/checksums_sha256.txt,,,self-reference
