"accession","disease","module","smd_full"
"GSE32863","LUAD","EPH_RECEPTORS",1.3707098471636
"GSE32863","LUAD","ERBB_LIGANDS",0.0481489109704188
"GSE32863","LUAD","ERBB_RECEPTORS",1.35052813374538
"GSE32863","LUAD","FGFR_AXIS",-1.57148347935568
"GSE32863","LUAD","HGF_MET_AXIS",0.958928764903998
"GSE32863","LUAD","IGF_INSR_AXIS",-0.0676781634975738
"GSE32863","LUAD","JAK_STAT",-0.700857434181619
"GSE32863","LUAD","PDGFR_KIT_CSF1R",-1.29159668114865
"GSE32863","LUAD","PI3K_AKT",1.01044032602312
"GSE32863","LUAD","RAS_MAPK",0.392777374588435
"GSE32863","LUAD","RET_ALK_NTRK",-0.72638993413285
"GSE32863","LUAD","SRC_FAK",0.7252549774852
"GSE32863","LUAD","TAM_AXL_AXIS",-0.427354058803339
"GSE32863","LUAD","TGFB_SMAD",-0.644088755623601
"GSE32863","LUAD","TIE_ANGPT_AXIS",-2.11816253597762
"GSE32863","LUAD","VEGF_PDGF_AXIS",-0.755804426947935
"GSE32863","LUAD","WNT_CTNNB1",-0.932652905603688
"GSE19804","LUAD","EPH_RECEPTORS",0.872994714469526
"GSE19804","LUAD","ERBB_LIGANDS",-0.548807765933355
"GSE19804","LUAD","ERBB_RECEPTORS",0.565213464017748
"GSE19804","LUAD","FGFR_AXIS",-1.43039252921012
"GSE19804","LUAD","HGF_MET_AXIS",0.461698196617791
"GSE19804","LUAD","IGF_INSR_AXIS",-0.303264885761347
"GSE19804","LUAD","JAK_STAT",-0.831998888591913
"GSE19804","LUAD","PDGFR_KIT_CSF1R",-0.448555207498076
"GSE19804","LUAD","PI3K_AKT",0.30308233500967
"GSE19804","LUAD","RAS_MAPK",-0.219261820784687
"GSE19804","LUAD","RET_ALK_NTRK",-0.084509157863853
"GSE19804","LUAD","SRC_FAK",-0.281941248140029
"GSE19804","LUAD","TAM_AXL_AXIS",-0.118649326212863
"GSE19804","LUAD","TGFB_SMAD",-0.793747557431803
"GSE19804","LUAD","TIE_ANGPT_AXIS",-1.54043962715567
"GSE19804","LUAD","VEGF_PDGF_AXIS",-1.37666553598183
"GSE19804","LUAD","WNT_CTNNB1",-0.765804679910466
"GSE10072","LUAD","EPH_RECEPTORS",0.995679365352848
"GSE10072","LUAD","ERBB_LIGANDS",0.336386428536881
"GSE10072","LUAD","ERBB_RECEPTORS",0.576196474207166
"GSE10072","LUAD","FGFR_AXIS",-1.9284566772121
"GSE10072","LUAD","HGF_MET_AXIS",0.657262466192128
"GSE10072","LUAD","IGF_INSR_AXIS",-0.358126262013517
"GSE10072","LUAD","JAK_STAT",-0.864395479114384
"GSE10072","LUAD","PDGFR_KIT_CSF1R",-0.882586157956629
"GSE10072","LUAD","PI3K_AKT",0.528901203378512
"GSE10072","LUAD","RAS_MAPK",0.369800768310779
"GSE10072","LUAD","RET_ALK_NTRK",-0.769876011015158
"GSE10072","LUAD","SRC_FAK",-0.499955399049793
"GSE10072","LUAD","TAM_AXL_AXIS",-0.241521789403501
"GSE10072","LUAD","TGFB_SMAD",-0.569058333093399
"GSE10072","LUAD","TIE_ANGPT_AXIS",-2.34546318430507
"GSE10072","LUAD","VEGF_PDGF_AXIS",-0.815327481702219
