"accession","disease","module","left_out","n_genes","smd_loo"
"GSE32863","LUAD","EPH_RECEPTORS","EPHA1",3,1.06445779747923
"GSE32863","LUAD","EPH_RECEPTORS","EPHA2",3,1.43604546219857
"GSE32863","LUAD","EPH_RECEPTORS","EPHB2",3,0.993268294415839
"GSE32863","LUAD","EPH_RECEPTORS","EPHB4",3,1.50387047772841
"GSE32863","LUAD","ERBB_LIGANDS","EGF",5,-0.258075171956931
"GSE32863","LUAD","ERBB_LIGANDS","TGFA",5,-0.37271558367076
"GSE32863","LUAD","ERBB_LIGANDS","AREG",5,-0.0144998176819169
"GSE32863","LUAD","ERBB_LIGANDS","EREG",5,-0.051183720399848
"GSE32863","LUAD","ERBB_LIGANDS","HBEGF",5,0.599883741868443
"GSE32863","LUAD","ERBB_LIGANDS","NRG1",5,0.335903620508111
"GSE32863","LUAD","ERBB_RECEPTORS","EGFR",3,1.15307162672546
"GSE32863","LUAD","ERBB_RECEPTORS","ERBB2",3,0.962487526882671
"GSE32863","LUAD","ERBB_RECEPTORS","ERBB3",3,1.04949761270576
"GSE32863","LUAD","ERBB_RECEPTORS","ERBB4",3,1.80599275975665
"GSE32863","LUAD","FGFR_AXIS","FGFR1",6,-1.57133197957597
"GSE32863","LUAD","FGFR_AXIS","FGFR3",6,-1.73583235964918
"GSE32863","LUAD","FGFR_AXIS","FGFR4",6,-1.13202638869379
"GSE32863","LUAD","FGFR_AXIS","FGF1",6,-1.52845683795671
"GSE32863","LUAD","FGFR_AXIS","FGF2",6,-1.26804132845511
"GSE32863","LUAD","FGFR_AXIS","FGF7",6,-1.58212108121681
"GSE32863","LUAD","FGFR_AXIS","FGF10",6,-1.50156632539635
"GSE32863","LUAD","HGF_MET_AXIS","MET",2,0.85727833780837
"GSE32863","LUAD","HGF_MET_AXIS","MST1R",2,0.366588083295261
"GSE32863","LUAD","HGF_MET_AXIS","HGF",2,1.31354736226507
"GSE32863","LUAD","IGF_INSR_AXIS","IGF1R",3,-0.173921315369373
"GSE32863","LUAD","IGF_INSR_AXIS","INSR",3,-0.139999574808083
"GSE32863","LUAD","IGF_INSR_AXIS","IGF1",3,0.243195347893298
"GSE32863","LUAD","IGF_INSR_AXIS","IGF2",3,-0.189857082046052
"GSE32863","LUAD","JAK_STAT","JAK1",8,-0.444199160384539
"GSE32863","LUAD","JAK_STAT","JAK2",8,-0.518020385257409
"GSE32863","LUAD","JAK_STAT","JAK3",8,-0.787633945189836
"GSE32863","LUAD","JAK_STAT","TYK2",8,-0.853641039288488
"GSE32863","LUAD","JAK_STAT","STAT1",8,-1.0374829760465
"GSE32863","LUAD","JAK_STAT","STAT3",8,-0.686931440795499
"GSE32863","LUAD","JAK_STAT","STAT5A",8,-0.602444825813816
"GSE32863","LUAD","JAK_STAT","STAT5B",8,-0.535566710452483
"GSE32863","LUAD","JAK_STAT","STAT6",8,-0.612921193589493
"GSE32863","LUAD","PDGFR_KIT_CSF1R","PDGFRA",4,-1.04523993796904
"GSE32863","LUAD","PDGFR_KIT_CSF1R","PDGFRB",4,-1.37613863168652
"GSE32863","LUAD","PDGFR_KIT_CSF1R","KIT",4,-1.06237254337185
"GSE32863","LUAD","PDGFR_KIT_CSF1R","CSF1R",4,-1.07001170469042
"GSE32863","LUAD","PDGFR_KIT_CSF1R","FLT3",4,-1.41899395329259
"GSE32863","LUAD","PI3K_AKT","PIK3CA",8,1.11731281258768
"GSE32863","LUAD","PI3K_AKT","PIK3CB",8,1.03259074614809
"GSE32863","LUAD","PI3K_AKT","PIK3CD",8,1.02220297366742
"GSE32863","LUAD","PI3K_AKT","AKT1",8,0.984345273002425
"GSE32863","LUAD","PI3K_AKT","AKT2",8,0.966825876927678
"GSE32863","LUAD","PI3K_AKT","PDPK1",8,1.13711326693893
"GSE32863","LUAD","PI3K_AKT","MTOR",8,0.821341060366065
"GSE32863","LUAD","PI3K_AKT","RPTOR",8,0.842434714114499
"GSE32863","LUAD","PI3K_AKT","RPS6KB1",8,0.771693595563581
"GSE32863","LUAD","RAS_MAPK","KRAS",11,0.284588964077064
"GSE32863","LUAD","RAS_MAPK","NRAS",11,0.355173243453572
"GSE32863","LUAD","RAS_MAPK","HRAS",11,0.266373977055024
"GSE32863","LUAD","RAS_MAPK","BRAF",11,0.328007592080007
"GSE32863","LUAD","RAS_MAPK","RAF1",11,0.440285880743078
"GSE32863","LUAD","RAS_MAPK","MAP2K1",11,0.561270882372207
"GSE32863","LUAD","RAS_MAPK","MAP2K2",11,0.21755768964109
"GSE32863","LUAD","RAS_MAPK","MAPK1",11,0.717201129523665
"GSE32863","LUAD","RAS_MAPK","MAPK3",11,0.42739998030483
"GSE32863","LUAD","RAS_MAPK","DUSP6",11,0.301105563152035
"GSE32863","LUAD","RAS_MAPK","ETV4",11,0.0493768162581744
"GSE32863","LUAD","RAS_MAPK","ETV5",11,0.655197096653018
"GSE32863","LUAD","RET_ALK_NTRK","RET",5,-0.885809880907162
"GSE32863","LUAD","RET_ALK_NTRK","ALK",5,-0.965477471920517
"GSE32863","LUAD","RET_ALK_NTRK","ROS1",5,-0.538553900226756
"GSE32863","LUAD","RET_ALK_NTRK","NTRK1",5,-0.903368039483722
"GSE32863","LUAD","RET_ALK_NTRK","NTRK2",5,-0.551780985849747
"GSE32863","LUAD","RET_ALK_NTRK","NTRK3",5,-0.297919779551553
"GSE32863","LUAD","SRC_FAK","SRC",4,0.255264370391087
"GSE32863","LUAD","SRC_FAK","FYN",4,1.0725104565117
"GSE32863","LUAD","SRC_FAK","YES1",4,0.692789494665177
"GSE32863","LUAD","SRC_FAK","PTK2",4,0.506976432320494
"GSE32863","LUAD","SRC_FAK","PTK2B",4,0.750604835152537
"GSE32863","LUAD","TAM_AXL_AXIS","AXL",2,0.15229428859587
"GSE32863","LUAD","TAM_AXL_AXIS","TYRO3",2,-0.72072191057647
"GSE32863","LUAD","TAM_AXL_AXIS","MERTK",2,-0.463428347285468
"GSE32863","LUAD","TGFB_SMAD","TGFB1",4,-0.650517365624219
"GSE32863","LUAD","TGFB_SMAD","TGFBR1",4,-0.829648109975434
"GSE32863","LUAD","TGFB_SMAD","TGFBR2",4,-0.124471131785075
"GSE32863","LUAD","TGFB_SMAD","SMAD2",4,-0.462538214565844
"GSE32863","LUAD","TGFB_SMAD","SMAD3",4,-0.827442296783191
"GSE32863","LUAD","TIE_ANGPT_AXIS","TEK",2,-1.29970254220015
"GSE32863","LUAD","TIE_ANGPT_AXIS","ANGPT1",2,-1.4488606035111
"GSE32863","LUAD","TIE_ANGPT_AXIS","ANGPT2",2,-3.10835502346592
"GSE32863","LUAD","VEGF_PDGF_AXIS","FLT1",8,-0.685073951365426
"GSE32863","LUAD","VEGF_PDGF_AXIS","KDR",8,-0.747768392287759
"GSE32863","LUAD","VEGF_PDGF_AXIS","FLT4",8,-0.669486264067332
"GSE32863","LUAD","VEGF_PDGF_AXIS","VEGFA",8,-0.884547345125996
"GSE32863","LUAD","VEGF_PDGF_AXIS","VEGFB",8,-0.746547956623364
"GSE32863","LUAD","VEGF_PDGF_AXIS","VEGFC",8,-0.52319004659815
"GSE32863","LUAD","VEGF_PDGF_AXIS","PGF",8,-0.949600951089464
"GSE32863","LUAD","VEGF_PDGF_AXIS","PDGFA",8,-0.799891591904904
"GSE32863","LUAD","VEGF_PDGF_AXIS","PDGFB",8,-0.598291064986561
"GSE32863","LUAD","WNT_CTNNB1","CTNNB1",3,-1.06095436305341
"GSE32863","LUAD","WNT_CTNNB1","AXIN2",3,-0.339652686680754
"GSE32863","LUAD","WNT_CTNNB1","MYC",3,-0.676761544141254
"GSE32863","LUAD","WNT_CTNNB1","CCND1",3,-1.15063568731847
"GSE19804","LUAD","EPH_RECEPTORS","EPHA1",3,0.538141541184819
"GSE19804","LUAD","EPH_RECEPTORS","EPHA2",3,0.992061224333231
"GSE19804","LUAD","EPH_RECEPTORS","EPHB2",3,0.510432575883893
"GSE19804","LUAD","EPH_RECEPTORS","EPHB4",3,1.04904847253303
"GSE19804","LUAD","ERBB_LIGANDS","EGF",5,-0.938418586937487
"GSE19804","LUAD","ERBB_LIGANDS","TGFA",5,-0.865281380313862
"GSE19804","LUAD","ERBB_LIGANDS","AREG",5,-0.332713617027383
"GSE19804","LUAD","ERBB_LIGANDS","EREG",5,-0.556507340822626
"GSE19804","LUAD","ERBB_LIGANDS","HBEGF",5,-0.176941511575328
"GSE19804","LUAD","ERBB_LIGANDS","NRG1",5,-0.218116668483956
"GSE19804","LUAD","ERBB_RECEPTORS","EGFR",3,0.329996911443191
"GSE19804","LUAD","ERBB_RECEPTORS","ERBB2",3,0.435996412517828
"GSE19804","LUAD","ERBB_RECEPTORS","ERBB3",3,0.512260813719344
"GSE19804","LUAD","ERBB_RECEPTORS","ERBB4",3,0.851232757416991
"GSE19804","LUAD","FGFR_AXIS","FGFR1",7,-1.35164553858872
"GSE19804","LUAD","FGFR_AXIS","FGFR2",7,-1.37345542153981
"GSE19804","LUAD","FGFR_AXIS","FGFR3",7,-1.52794847290722
"GSE19804","LUAD","FGFR_AXIS","FGFR4",7,-1.18453928319435
"GSE19804","LUAD","FGFR_AXIS","FGF1",7,-1.55605585360124
"GSE19804","LUAD","FGFR_AXIS","FGF2",7,-1.17936240151007
"GSE19804","LUAD","FGFR_AXIS","FGF7",7,-1.451110216075
"GSE19804","LUAD","FGFR_AXIS","FGF10",7,-1.39205666738968
"GSE19804","LUAD","HGF_MET_AXIS","MET",2,0.261624119173408
"GSE19804","LUAD","HGF_MET_AXIS","MST1R",2,-0.189817600278295
"GSE19804","LUAD","HGF_MET_AXIS","HGF",2,0.953511695975083
"GSE19804","LUAD","IGF_INSR_AXIS","IGF1R",2,-0.0699583724632225
"GSE19804","LUAD","IGF_INSR_AXIS","INSR",2,-0.429836966098375
"GSE19804","LUAD","IGF_INSR_AXIS","IGF1",2,-0.302383789135799
"GSE19804","LUAD","JAK_STAT","JAK1",8,-0.807464172099362
"GSE19804","LUAD","JAK_STAT","JAK2",8,-0.693603089160746
"GSE19804","LUAD","JAK_STAT","JAK3",8,-1.0199474861156
"GSE19804","LUAD","JAK_STAT","TYK2",8,-0.944415076844647
"GSE19804","LUAD","JAK_STAT","STAT1",8,-1.03435983722375
"GSE19804","LUAD","JAK_STAT","STAT3",8,-0.733429404410736
"GSE19804","LUAD","JAK_STAT","STAT5A",8,-0.764907081521529
"GSE19804","LUAD","JAK_STAT","STAT5B",8,-0.639089930389748
"GSE19804","LUAD","JAK_STAT","STAT6",8,-0.684225759855527
"GSE19804","LUAD","PDGFR_KIT_CSF1R","PDGFRA",4,-0.418779683406608
"GSE19804","LUAD","PDGFR_KIT_CSF1R","PDGFRB",4,-0.450681647221416
"GSE19804","LUAD","PDGFR_KIT_CSF1R","KIT",4,-0.22508348922793
"GSE19804","LUAD","PDGFR_KIT_CSF1R","CSF1R",4,-0.557371963769264
"GSE19804","LUAD","PDGFR_KIT_CSF1R","FLT3",4,-0.501278302941262
"GSE19804","LUAD","PI3K_AKT","PIK3CA",8,0.517695478876972
"GSE19804","LUAD","PI3K_AKT","PIK3CB",8,0.0608155657576499
"GSE19804","LUAD","PI3K_AKT","PIK3CD",8,0.513088139969441
"GSE19804","LUAD","PI3K_AKT","AKT1",8,0.128348568506987
"GSE19804","LUAD","PI3K_AKT","AKT2",8,0.323739050588947
"GSE19804","LUAD","PI3K_AKT","PDPK1",8,0.407113049077417
"GSE19804","LUAD","PI3K_AKT","MTOR",8,-0.0130223957055506
"GSE19804","LUAD","PI3K_AKT","RPTOR",8,0.325588531624644
"GSE19804","LUAD","PI3K_AKT","RPS6KB1",8,0.243138845585598
"GSE19804","LUAD","RAS_MAPK","KRAS",11,-0.220194363801278
"GSE19804","LUAD","RAS_MAPK","NRAS",11,-0.293325760491246
"GSE19804","LUAD","RAS_MAPK","HRAS",11,-0.22095013923329
"GSE19804","LUAD","RAS_MAPK","BRAF",11,-0.208623933055327
"GSE19804","LUAD","RAS_MAPK","RAF1",11,-0.0840665185138587
"GSE19804","LUAD","RAS_MAPK","MAP2K1",11,-0.144214588479438
"GSE19804","LUAD","RAS_MAPK","MAP2K2",11,-0.339870275454291
"GSE19804","LUAD","RAS_MAPK","MAPK1",11,-0.0571281274134423
"GSE19804","LUAD","RAS_MAPK","MAPK3",11,-0.107604462623228
"GSE19804","LUAD","RAS_MAPK","DUSP6",11,-0.130578788813855
"GSE19804","LUAD","RAS_MAPK","ETV4",11,-0.646597351144607
"GSE19804","LUAD","RAS_MAPK","ETV5",11,-0.0891301580696605
"GSE19804","LUAD","RET_ALK_NTRK","RET",5,-0.286047968401861
"GSE19804","LUAD","RET_ALK_NTRK","ALK",5,-0.293736411545251
"GSE19804","LUAD","RET_ALK_NTRK","ROS1",5,-0.200404262204177
"GSE19804","LUAD","RET_ALK_NTRK","NTRK1",5,-0.123235658413064
"GSE19804","LUAD","RET_ALK_NTRK","NTRK2",5,0.110522924420061
"GSE19804","LUAD","RET_ALK_NTRK","NTRK3",5,0.337668918675325
"GSE19804","LUAD","SRC_FAK","SRC",4,-0.532108721890893
"GSE19804","LUAD","SRC_FAK","FYN",4,0.395993146646747
"GSE19804","LUAD","SRC_FAK","YES1",4,-0.185478743685386
"GSE19804","LUAD","SRC_FAK","PTK2",4,-0.765494333669536
"GSE19804","LUAD","SRC_FAK","PTK2B",4,-0.127821116813843
"GSE19804","LUAD","TAM_AXL_AXIS","AXL",2,0.369786642091672
"GSE19804","LUAD","TAM_AXL_AXIS","TYRO3",2,-0.19290781308803
"GSE19804","LUAD","TAM_AXL_AXIS","MERTK",2,-0.386979988397611
"GSE19804","LUAD","TGFB_SMAD","TGFB1",4,-0.779383691842357
"GSE19804","LUAD","TGFB_SMAD","TGFBR1",4,-0.953392797293608
"GSE19804","LUAD","TGFB_SMAD","TGFBR2",4,-0.491088556708343
