"module","n_genes","n_cohorts","n_loo_rows","r_overall","r_min","r_median","most_influential"
"EPH_RECEPTORS",3,26,103,0.928144991574295,0.904273504273504,0.942350427350427,"EPHA2"
"ERBB_LIGANDS",5,26,154,0.923466936787733,0.892649572649573,0.924659977703456,"EREG"
"ERBB_RECEPTORS",3,26,103,0.907378625933125,0.861196581196581,0.912606837606838,"ERBB2"
"FGFR_AXIS",7,26,195,0.931374925028721,0.913846153846154,0.938263089567437,"FGFR1"
"HGF_MET_AXIS",2,25,75,0.822405902257065,0.763846153846154,0.789230769230769,"MET"
"IGF_INSR_AXIS",3,26,86,0.845353742477915,0.777777777777778,0.846025641025641,"IGF1"
"JAK_STAT",8,26,226,0.979246674433201,0.973043478260869,0.982222222222222,"STAT5A"
"PDGFR_KIT_CSF1R",4,26,124,0.954469260232601,0.908376068376068,0.968379446640316,"KIT"
"PI3K_AKT",8,26,227,0.861685967139594,0.774782608695652,0.876923076923077,"PDPK1"
"RAS_MAPK",11,26,291,0.957134453434925,0.942564102564103,0.961446706887883,"ETV4"
"RET_ALK_NTRK",5,22,131,0.955359072022382,0.941558441558442,0.958215697346132,"NTRK1"
"SRC_FAK",4,26,127,0.849955221831374,0.648695652173913,0.886495726495726,"FYN"
"TAM_AXL_AXIS",2,23,69,0.653709961702544,0.511857707509881,0.641304347826087,"TYRO3"
"TGFB_SMAD",4,26,128,0.94888844480853,0.938461538461538,0.966923076923077,"TGFBR2"
"TIE_ANGPT_AXIS",2,26,78,0.742113615550865,0.730598290598291,0.79008547008547,"TEK"
"VEGF_PDGF_AXIS",8,26,230,0.975658396558368,0.951538461538462,0.980769230769231,"PDGFA"
"WNT_CTNNB1",3,26,100,0.938870843142651,0.934500282326369,0.940854700854701,"AXIN2"
