disease,feature,k,est,se,p,ci_lo,ci_hi,I2,tau2,measures,cohorts,fdr,pi_low,pi_high,pi_note
Asthma,EPH_RECEPTORS,3,0.149957153913401,0.101046196863721,0.27606598106283,-0.284809540853089,0.584723848679891,0,0,SMDH 3,GSE4302;GSE43696;GSE67472,0.391093473172342,-0.2848,0.5848,95% prediction interval; uninformative when k is small
COPD,EPH_RECEPTORS,2,0.102986615747994,0.289395654708729,0.782344329430561,-3.57413382274044,3.78010705423643,84.2983397039931,0.141501079298368,SMDH 2,GSE47460;GSE76925,0.782344329430561,-5.9274,6.1333,95% prediction interval; uninformative when k is small
CRC,EPH_RECEPTORS,3,2.25484763862376,0.204982163650799,0.00816308832136219,1.3728805726417,3.13681470460583,52.9723162755966,0.0713754024636395,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.037438688224231,0.8059,3.7038,95% prediction interval; uninformative when k is small
ESCC,EPH_RECEPTORS,2,-0.388996239834088,0.264950374325972,0.380658710399866,-3.75550994094601,2.97751746127783,39.8717613144213,0.0648222526985684,SMCRPH 2,GSE20347;GSE23400,0.556341190807378,-5.0578,4.2798,95% prediction interval; uninformative when k is small
HCC,EPH_RECEPTORS,2,-0.186920782928567,0.0860390082433989,0.274627294887603,-1.28015003696662,0.906308471109483,0,0,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.472001393376343,-1.2801,0.9063,95% prediction interval; uninformative when k is small
IBD,EPH_RECEPTORS,3,-0.100069979219483,0.300244015364328,0.770608934586456,-1.39191571151775,1.19177575307878,70.1627333555625,0.204877209281255,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.770608934586456,-2.4373,2.2372,95% prediction interval; uninformative when k is small
LUAD,EPH_RECEPTORS,3,1.37654015831525,0.340454789815879,0.0560746814873683,-0.088318572442319,2.84139888907282,87.7894965181047,0.316652021601747,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.114048372220049,-1.4535,4.2066,95% prediction interval; uninformative when k is small
NAFLD,EPH_RECEPTORS,2,-0.14089221205073,0.640625490265049,0.862182824115549,-8.28081085057074,7.99902642646928,88.0370743993521,0.7236074369339,SMDH 2,GSE33814;GSE66676,0.919661679056586,-13.6715,13.3897,95% prediction interval; uninformative when k is small
PAAD,EPH_RECEPTORS,3,0.978803194046276,0.4092225639014,0.139206152690811,-0.781939387599159,2.73954577569171,88.7772848273421,0.443113884585123,SMCRPH 3,GSE15471;GSE28735;GSE62452,0.278412305381622,-2.3835,4.3411,95% prediction interval; uninformative when k is small
STAD,EPH_RECEPTORS,3,1.56719726693813,0.197100614401646,0.0154515169280368,0.719141770347594,2.41525276352867,53.8398777169,0.0706678065803405,SMCRPH 3,GSE13911;GSE27342;GSE63089,0.123979490274899,0.1432,2.9912,95% prediction interval; uninformative when k is small
Asthma,ERBB_LIGANDS,3,-0.248715662477112,0.107698122116867,0.147199469334186,-0.71210328159214,0.214671956637917,0,0,SMDH 3,GSE4302;GSE43696;GSE67472,0.35748442552588,-0.7121,0.2147,95% prediction interval; uninformative when k is small
COPD,ERBB_LIGANDS,2,-0.143883887129669,0.141324992559693,0.494288399535055,-1.9395881769315,1.65182040267216,36.3837391673849,0.0152386495833821,SMDH 2,GSE47460;GSE76925,0.647626107011489,-2.5281,2.2404,95% prediction interval; uninformative when k is small
CRC,ERBB_LIGANDS,3,-0.402298938241558,0.101798005167849,0.058470231820764,-0.840300403060055,0.0357025265769381,13.2523993732697,0.00605808594217818,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.0993993940952988,-0.9537,0.1491,95% prediction interval; uninformative when k is small
ESCC,ERBB_LIGANDS,2,-0.502518197896739,0.0162693642713484,0.0206037959941232,-0.709240071255898,-0.29579632453758,0,0,SMCRPH 2,GSE20347;GSE23400,0.350264531900094,-0.7092,-0.2958,95% prediction interval; uninformative when k is small
HCC,ERBB_LIGANDS,2,-0.833441932511759,0.590121688421186,0.392228280064468,-8.33164892484844,6.66476505982492,80.7359449076183,0.56878482698814,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.472001393376343,-13.0009,11.334,95% prediction interval; uninformative when k is small
IBD,ERBB_LIGANDS,3,0.615046621050885,0.42429728741506,0.284218920930561,-1.21055726087081,2.44065050297258,88.1152214141397,0.474421969061795,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.439247423256322,-2.866,4.0961,95% prediction interval; uninformative when k is small
LUAD,ERBB_LIGANDS,3,-0.169213687834068,0.301512941179636,0.631143417243362,-1.46651916725542,1.12809179158728,86.1388050951,0.232569123320647,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.71529587287581,-2.6166,2.2781,95% prediction interval; uninformative when k is small
NAFLD,ERBB_LIGANDS,2,0.125596579190446,0.183590924437524,0.618039308987194,-2.20714729441631,2.4583404527972,0,0,SMDH 2,GSE33814;GSE66676,0.919661679056586,-2.2071,2.4583,95% prediction interval; uninformative when k is small
PAAD,ERBB_LIGANDS,3,0.500782697328845,0.0426141317016335,0.00716345412630466,0.317428887236908,0.684136507420781,0,0,SMCRPH 3,GSE15471;GSE28735;GSE62452,0.0518488837533961,0.3174,0.6842,95% prediction interval; uninformative when k is small
STAD,ERBB_LIGANDS,3,-0.311666291838608,0.337644944268488,0.453422312595659,-1.76443523298153,1.14110264930431,87.5596928996942,0.282396382891084,SMCRPH 3,GSE13911;GSE27342;GSE63089,0.487362733211594,-3.0208,2.3975,95% prediction interval; uninformative when k is small
Asthma,ERBB_RECEPTORS,3,-0.441141421988087,0.109574564457229,0.05651725483678,-0.912602720861091,0.0303198768849164,0,0,SMDH 3,GSE4302;GSE43696;GSE67472,0.238988416282864,-0.9126,0.0304,95% prediction interval; uninformative when k is small
COPD,ERBB_RECEPTORS,2,-0.225703474427274,0.306585673247423,0.596001036033779,-4.12124380788699,3.66983685903245,86.0458977519654,0.162054795375588,SMDH 2,GSE47460;GSE76925,0.647626107011489,-6.6551,6.2037,95% prediction interval; uninformative when k is small
CRC,ERBB_RECEPTORS,3,-0.0867944633426476,0.449710807419628,0.864781343818,-2.02174389648455,1.84815496979925,91.3532931679881,0.564363393013598,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.864781343818,-3.8543,3.6807,95% prediction interval; uninformative when k is small
ESCC,ERBB_RECEPTORS,2,-0.923873043282417,0.217001515013665,0.146868505716177,-3.68113872110613,1.8333926345413,27.087359494123,0.0317927373731946,SMCRPH 2,GSE20347;GSE23400,0.39935853372914,-4.4925,2.6447,95% prediction interval; uninformative when k is small
HCC,ERBB_RECEPTORS,2,-0.528332352667163,0.0550840513996153,0.0661351790414989,-1.22824158744865,0.17157688211432,0,0,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.472001393376343,-1.2282,0.1716,95% prediction interval; uninformative when k is small
IBD,ERBB_RECEPTORS,3,-1.49362404801439,0.0116717658956777,6.10591513492859e-05,-1.54384360340642,-1.44340449262235,0,0,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.00103800557293786,-1.5438,-1.4434,95% prediction interval; uninformative when k is small
LUAD,ERBB_RECEPTORS,3,0.985669803446403,0.439030645219391,0.153874072552124,-0.903326600650478,2.87466620754328,91.5675072873248,0.525862139889046,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.217988269448843,-2.662,4.6334,95% prediction interval; uninformative when k is small
