"accession","disease","role","feature","smd","p_value","fdr"
"GSE32863","LUAD","discovery","EPH_RECEPTORS",0.283249078903865,0.0368538936001544,0.626516191202625
"GSE32863","LUAD","discovery","ERBB_LIGANDS",0.0143073445776347,0.914367442279248,0.964329309103001
"GSE32863","LUAD","discovery","ERBB_RECEPTORS",0.0910728823097871,0.494552132013467,0.937668502726516
"GSE32863","LUAD","discovery","FGFR_AXIS",-0.0582328858708048,0.661883648983423,0.937668502726516
"GSE32863","LUAD","discovery","HGF_MET_AXIS",0.0935795786033135,0.48280018317254,0.937668502726516
"GSE32863","LUAD","discovery","IGF_INSR_AXIS",0.0707120635214225,0.595548295541738,0.937668502726516
"GSE32863","LUAD","discovery","JAK_STAT",0.0735469935100215,0.580923059777565,0.937668502726516
"GSE32863","LUAD","discovery","PDGFR_KIT_CSF1R",0.0627830989537209,0.637341432055461,0.937668502726516
"GSE32863","LUAD","discovery","PI3K_AKT",0.170163341569158,0.204184218432035,0.937668502726516
"GSE32863","LUAD","discovery","RAS_MAPK",0.0185203887329783,0.889299266993624,0.964329309103001
"GSE32863","LUAD","discovery","RET_ALK_NTRK",-0.101735007464359,0.445665080468622,0.937668502726516
"GSE32863","LUAD","discovery","SRC_FAK",0.149553551941057,0.263667383133624,0.937668502726516
"GSE32863","LUAD","discovery","TAM_AXL_AXIS",0.0916422787873009,0.49186896011927,0.937668502726516
"GSE32863","LUAD","discovery","TGFB_SMAD",-0.0462423076153119,0.728307263899298,0.952401806637544
"GSE32863","LUAD","discovery","TIE_ANGPT_AXIS",-0.0130098439547107,0.922106614354459,0.964329309103001
"GSE32863","LUAD","discovery","VEGF_PDGF_AXIS",0.0759195463322561,0.568817439214259,0.937668502726516
"GSE32863","LUAD","discovery","WNT_CTNNB1",0.00595006070205446,0.964329309103001,0.964329309103001
"GSE19804","LUAD","validation","EPH_RECEPTORS",0.0257732918629795,0.84244935300544,0.997603603778374
"GSE19804","LUAD","validation","ERBB_LIGANDS",0.000389389065560586,0.997603603778374,0.997603603778374
"GSE19804","LUAD","validation","ERBB_RECEPTORS",-0.0909922542015175,0.483693570283991,0.913643410536427
"GSE19804","LUAD","validation","FGFR_AXIS",-0.137196114190337,0.292241039750703,0.793548309731919
"GSE19804","LUAD","validation","HGF_MET_AXIS",0.232562213183318,0.0767472382889358,0.434901016970636
"GSE19804","LUAD","validation","IGF_INSR_AXIS",0.23709801448608,0.0713150324195975,0.434901016970636
"GSE19804","LUAD","validation","JAK_STAT",-0.107651292978998,0.407721372558518,0.86640791668685
"GSE19804","LUAD","validation","PDGFR_KIT_CSF1R",0.270655254011516,0.040336202113103,0.434901016970636
"GSE19804","LUAD","validation","PI3K_AKT",0.07785553088524,0.548775866016113,0.932918972227393
"GSE19804","LUAD","validation","RAS_MAPK",-0.00312254110926323,0.980784988537108,0.997603603778374
"GSE19804","LUAD","validation","RET_ALK_NTRK",-0.035959828227984,0.781569012612242,0.997603603778374
"GSE19804","LUAD","validation","SRC_FAK",0.0510754574350012,0.693805872632881,0.997603603778374
"GSE19804","LUAD","validation","TAM_AXL_AXIS",0.12766516531979,0.326755186360202,0.793548309731919
"GSE19804","LUAD","validation","TGFB_SMAD",0.00102611990886899,0.993685063213686,0.997603603778374
"GSE19804","LUAD","validation","TIE_ANGPT_AXIS",0.185664907212744,0.155673731491006,0.529290687069419
"GSE19804","LUAD","validation","VEGF_PDGF_AXIS",0.0446035473442379,0.73094916020329,0.997603603778374
"GSE19804","LUAD","validation","WNT_CTNNB1",-0.206790312881105,0.114542990565768,0.486807709904514
"GSE10072","LUAD","validation","EPH_RECEPTORS",0.114499907989685,0.515401621673817,0.928387286471255
"GSE10072","LUAD","validation","ERBB_LIGANDS",0.0401260971540999,0.819165252768755,0.928387286471255
"GSE10072","LUAD","validation","ERBB_RECEPTORS",-0.153918033402796,0.383188019392974,0.928387286471255
"GSE10072","LUAD","validation","FGFR_AXIS",-0.240184231767749,0.177228058831531,0.928387286471255
"GSE10072","LUAD","validation","HGF_MET_AXIS",0.0982942732208514,0.57624383086269,0.928387286471255
"GSE10072","LUAD","validation","IGF_INSR_AXIS",0.0639405048609759,0.715805731825954,0.928387286471255
"GSE10072","LUAD","validation","JAK_STAT",0.0523956439595155,0.765369178953314,0.928387286471255
"GSE10072","LUAD","validation","PDGFR_KIT_CSF1R",0.188110470671654,0.287946737104153,0.928387286471255
"GSE10072","LUAD","validation","PI3K_AKT",0.107324956323546,0.541903204736548,0.928387286471255
"GSE10072","LUAD","validation","RAS_MAPK",0.141631458887685,0.421880911546598,0.928387286471255
"GSE10072","LUAD","validation","RET_ALK_NTRK",-0.252882223165077,0.156043888985416,0.928387286471255
"GSE10072","LUAD","validation","SRC_FAK",0.128975223098022,0.464152783572746,0.928387286471255
"GSE10072","LUAD","validation","TAM_AXL_AXIS",0.00238238675388742,0.989165647974758,0.989165647974758
"GSE10072","LUAD","validation","TGFB_SMAD",-0.132168981582478,0.453258217777871,0.928387286471255
"GSE10072","LUAD","validation","TIE_ANGPT_AXIS",0.0897331306234427,0.609762474190943,0.928387286471255
"GSE10072","LUAD","validation","VEGF_PDGF_AXIS",0.0646046777475328,0.712989791616994,0.928387286471255
"GSE10072","LUAD","validation","WNT_CTNNB1",0.0114061373674168,0.948165025182849,0.989165647974758
"GSE44076","CRC","discovery","EPH_RECEPTORS",1.07754332103254,4.89297927804163e-18,4.15903238633538e-17
"GSE44076","CRC","discovery","ERBB_LIGANDS",-0.389881395997227,0.000204687930443498,0.000347969481753946
"GSE44076","CRC","discovery","ERBB_RECEPTORS",-0.563692701612028,2.176138909698e-07,6.165726910811e-07
"GSE44076","CRC","discovery","FGFR_AXIS",-0.83230186492039,8.29731363850074e-13,4.70181106181709e-12
"GSE44076","CRC","discovery","HGF_MET_AXIS",0.402861162235421,0.0001292006895346,0.000244045746898689
"GSE44076","CRC","discovery","IGF_INSR_AXIS",-0.441780058365009,3.07853299087596e-05,7.47643726355591e-05
"GSE44076","CRC","discovery","JAK_STAT",0.36252630756949,0.000522964730689495,0.000808218220156492
"GSE44076","CRC","discovery","PDGFR_KIT_CSF1R",-0.160525714663732,0.115286771050262,0.139991079132461
"GSE44076","CRC","discovery","PI3K_AKT",-0.0922005004369818,0.363643147851397,0.386370844592109
"GSE44076","CRC","discovery","RAS_MAPK",-0.417048750330965,7.73078251071709e-05,0.000164279128352738
"GSE44076","CRC","discovery","RET_ALK_NTRK",-0.655008062725964,3.74001734807561e-09,1.27160589834571e-08
"GSE44076","CRC","discovery","SRC_FAK",-0.126627274016452,0.213020011641156,0.241422679859977
"GSE44076","CRC","discovery","TAM_AXL_AXIS",0.297185401626078,0.00407892930759743,0.00577848318576303
"GSE44076","CRC","discovery","TGFB_SMAD",0.0581663851891754,0.566071857917893,0.566071857917893
"GSE44076","CRC","discovery","TIE_ANGPT_AXIS",0.236722602627255,0.0211484351859975,0.0276556460124583
"GSE44076","CRC","discovery","VEGF_PDGF_AXIS",0.708093384301175,3.187292058056e-10,1.3545991246738e-09
"GSE44076","CRC","discovery","WNT_CTNNB1",1.29279047101048,1.49399209341662e-22,2.53978655880825e-21
"GSE41258","CRC","validation","EPH_RECEPTORS",0.930235757415744,3.96493232747477e-12,2.24679498556904e-11
"GSE41258","CRC","validation","ERBB_LIGANDS",-0.434134370895101,0.00251372964282229,0.00534115523159206
"GSE41258","CRC","validation","ERBB_RECEPTORS",-0.0643090184941967,0.680737970570488,0.680737970570488
