"feature","estimate","ci_low","ci_high","p_value","fdr","smd","accession","disease","role"
"EPH_RECEPTORS",0.688105152308929,0.570958573817513,0.805251730800344,3.69074068359964e-22,3.13712958105969e-21,1.54805835982656,"GSE32863","LUAD","discovery"
"ERBB_LIGANDS",-0.0307081152133874,-0.146063452451931,0.0846472220251564,0.599470165952021,0.599470165952021,-0.0684044897865833,"GSE32863","LUAD","discovery"
"ERBB_RECEPTORS",0.650291573933638,0.52553438211717,0.775048765750106,2.30435063004164e-18,9.79349017767697e-18,1.25519030675384,"GSE32863","LUAD","discovery"
"FGFR_AXIS",-0.582860086792764,-0.694269362054798,-0.471450811530731,6.57770936355888e-19,3.72736863935003e-18,-1.50826865568403,"GSE32863","LUAD","discovery"
"HGF_MET_AXIS",0.464903637067248,0.343554342044654,0.586252932089842,4.73491332318425e-12,1.3415587749022e-11,1.01523265774752,"GSE32863","LUAD","discovery"
"IGF_INSR_AXIS",-0.13324789976037,-0.26657460021523,7.88006944903719e-05,0.0501334588876039,0.0568179200726177,-0.234022247279009,"GSE32863","LUAD","discovery"
"JAK_STAT",-0.301667900713871,-0.413458571380484,-0.189877230047257,3.81601432353696e-07,5.89747668182985e-07,-0.768650420312353,"GSE32863","LUAD","discovery"
"PDGFR_KIT_CSF1R",-0.574124353792494,-0.691303191815601,-0.456945515769387,3.05973242124339e-17,1.04030902322275e-16,-1.23048418271529,"GSE32863","LUAD","discovery"
"PI3K_AKT",0.368391865733094,0.265472232652484,0.471311498813704,6.8302508771893e-11,1.45142831140273e-10,0.9875978142941,"GSE32863","LUAD","discovery"
"RAS_MAPK",0.062686596576389,-0.033931491530937,0.159304684683715,0.201674860812483,0.214279539613264,0.201811160843705,"GSE32863","LUAD","discovery"
"RET_ALK_NTRK",-0.425330070033383,-0.541913468628935,-0.30874667143783,3.31482749337844e-11,8.05029534106191e-11,-0.98587543443825,"GSE32863","LUAD","discovery"
"SRC_FAK",0.272305521208673,0.148886089066481,0.395724953350865,2.50243661604273e-05,3.27241711328665e-05,0.563184019570407,"GSE32863","LUAD","discovery"
"TAM_AXL_AXIS",-0.185445039645099,-0.326365240326231,-0.0445248389639676,0.0103240373353191,0.0125363310500303,-0.317295944226194,"GSE32863","LUAD","discovery"
"TGFB_SMAD",-0.287146736306616,-0.407189726164909,-0.167103746448323,5.50124036508667e-06,7.79342385053945e-06,-0.617621601180934,"GSE32863","LUAD","discovery"
"TIE_ANGPT_AXIS",-0.894718439727122,-1.01016452134798,-0.779272358106267,1.52174305502852e-31,2.58696319354848e-30,-2.04993489042865,"GSE32863","LUAD","discovery"
"VEGF_PDGF_AXIS",-0.361189946622304,-0.478194547592194,-0.244185345652414,9.93136552847325e-09,1.68833213984045e-08,-0.854972956377804,"GSE32863","LUAD","discovery"
"WNT_CTNNB1",-0.373124988768086,-0.483422026639963,-0.262827950896209,5.19499707700488e-10,9.81277225656477e-10,-0.907237442779781,"GSE32863","LUAD","discovery"
"EPH_RECEPTORS",0.301023481277002,0.192814784029829,0.409232178524175,8.25843136324329e-08,2.00561904535908e-07,0.727746373927819,"GSE19804","LUAD","validation"
"ERBB_LIGANDS",-0.278125095815454,-0.387686423248245,-0.168563768382663,9.20604614992636e-07,1.95628480685935e-06,-0.680886471814927,"GSE19804","LUAD","validation"
"ERBB_RECEPTORS",0.228974428627064,0.0976260310300662,0.360322826224062,0.000760022078742658,0.00107669794488543,0.398157941871762,"GSE19804","LUAD","validation"
"FGFR_AXIS",-0.604920982243177,-0.720278955935939,-0.489563008550415,4.22034032697068e-22,3.58728927792507e-21,-1.4753242178419,"GSE19804","LUAD","validation"
"HGF_MET_AXIS",0.139220443745722,0.0258254473349459,0.252615440156498,0.0162516631359904,0.0184185515541225,0.312100304615286,"GSE19804","LUAD","validation"
"IGF_INSR_AXIS",-0.222076902604801,-0.34373237525133,-0.100421429958272,0.000395015128055684,0.000610477925176966,-0.421745849252184,"GSE19804","LUAD","validation"
"JAK_STAT",-0.367209393555244,-0.474088109455971,-0.260330677654517,5.47022225903963e-11,1.54989630672790e-10,-0.947998047009046,"GSE19804","LUAD","validation"
"PDGFR_KIT_CSF1R",-0.272169463495187,-0.398561308014555,-0.145777618975818,3.89756825644528e-05,6.62586603595698e-05,-0.496478998077324,"GSE19804","LUAD","validation"
"PI3K_AKT",-0.00881753353453453,-0.0853945438555681,0.067759476786499,0.821001487794397,0.821001487794397,-0.0306262476200823,"GSE19804","LUAD","validation"
"RAS_MAPK",-0.181056442745523,-0.26537580152454,-0.0967370839665059,3.04190960066671e-05,5.74582924570379e-05,-0.542058216879836,"GSE19804","LUAD","validation"
"RET_ALK_NTRK",-0.142492517955481,-0.251340372898246,-0.033644663012715,0.0104341302006509,0.0126700152436476,-0.336449930329257,"GSE19804","LUAD","validation"
