module,db,pathway,pw_size,overlap,jaccard,fdr_hyper,overlap_genes
ERBB_RECEPTORS,HALLMARK,HALLMARK_APOPTOSIS,161,2,0.012,0.0012462369586242208,ERBB2;ERBB3
ERBB_RECEPTORS,Reactome,ERBB2 Activates PTK6 Signaling,13,4,0.308,2.295084863799023e-11,EGFR;ERBB2;ERBB3;ERBB4
ERBB_RECEPTORS,Reactome,ERBB2 Regulates Cell Motility,15,4,0.267,2.295084863799023e-11,EGFR;ERBB2;ERBB3;ERBB4
ERBB_RECEPTORS,Reactome,PI3K events in ERBB2 signaling,16,4,0.25,2.295084863799023e-11,EGFR;ERBB2;ERBB3;ERBB4
ERBB_LIGANDS,HALLMARK,HALLMARK_INFLAMMATORY_RESPONSE,200,2,0.01,0.00395068903148666,EREG;HBEGF
ERBB_LIGANDS,HALLMARK,HALLMARK_KRAS_SIGNALING_UP,200,2,0.01,0.00395068903148666,EREG;HBEGF
ERBB_LIGANDS,HALLMARK,HALLMARK_P53_PATHWAY,200,2,0.01,0.00395068903148666,HBEGF;TGFA
ERBB_LIGANDS,Reactome,Inhibition of Signaling by Overexpressed EGFR,8,5,0.556,4.211206031457905e-15,AREG;EGF;EREG;HBEGF;TGFA
ERBB_LIGANDS,Reactome,Signaling by Overexpressed Wild-Type EGFR in Cancer,8,5,0.556,4.211206031457905e-15,AREG;EGF;EREG;HBEGF;TGFA
ERBB_LIGANDS,Reactome,EGFR interacts with phospholipase C-gamma,9,5,0.5,6.316394346155675e-15,AREG;EGF;EREG;HBEGF;TGFA
RAS_MAPK,HALLMARK,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,3,0.026,0.00016581063657999636,HRAS;MAPK1;RAF1
RAS_MAPK,HALLMARK,HALLMARK_KRAS_SIGNALING_UP,200,3,0.014,0.000969475511014518,DUSP6;ETV4;ETV5
RAS_MAPK,HALLMARK,HALLMARK_COMPLEMENT,200,2,0.01,0.016039212031896496,DUSP6;RAF1
RAS_MAPK,Reactome,Negative regulation of MAPK pathway,43,10,0.222,1.1378327419726147e-21,BRAF;DUSP6;HRAS;KRAS;MAP2K1;MAP2K2;MAPK1;MAPK3;NRAS;RAF1
RAS_MAPK,Reactome,Signaling by high-kinase activity BRAF mutants,36,9,0.231,1.180612363983737e-19,BRAF;HRAS;KRAS;MAP2K1;MAP2K2;MAPK1;MAPK3;NRAS;RAF1
RAS_MAPK,Reactome,MAP2K and MAPK activation,40,9,0.209,2.1944173408872624e-19,BRAF;HRAS;KRAS;MAP2K1;MAP2K2;MAPK1;MAPK3;NRAS;RAF1
PI3K_AKT,HALLMARK,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,2,0.018,0.0030728741669610988,AKT1;RPTOR
PI3K_AKT,HALLMARK,HALLMARK_APICAL_JUNCTION,200,2,0.01,0.009333194215109723,AKT2;PIK3CB
PI3K_AKT,Reactome,CD28 dependent PI3K/Akt signaling,29,7,0.226,8.75171642204573e-16,AKT1;AKT2;MTOR;PDPK1;PIK3CA;PIK3CB;PIK3CD
PI3K_AKT,Reactome,Co-stimulation by CD28,50,7,0.135,2.7922807382065836e-14,AKT1;AKT2;MTOR;PDPK1;PIK3CA;PIK3CB;PIK3CD
PI3K_AKT,Reactome,PI3K/AKT Signaling in Cancer,113,7,0.061,7.135009363648259e-12,AKT1;AKT2;MTOR;PDPK1;PIK3CA;PIK3CB;PIK3CD
FGFR_AXIS,Reactome,PI3K Cascade,44,8,0.182,7.8643884245645355e-19,FGF1;FGF10;FGF2;FGF7;FGFR1;FGFR2;FGFR3;FGFR4
FGFR_AXIS,Reactome,IRS-mediated signalling,48,8,0.167,7.8643884245645355e-19,FGF1;FGF10;FGF2;FGF7;FGFR1;FGFR2;FGFR3;FGFR4
FGFR_AXIS,Reactome,IRS-related events triggered by IGF1R,52,8,0.154,7.8643884245645355e-19,FGF1;FGF10;FGF2;FGF7;FGFR1;FGFR2;FGFR3;FGFR4
VEGF_PDGF_AXIS,HALLMARK,HALLMARK_ANGIOGENESIS,36,2,0.047,0.0007477005158014939,PDGFA;VEGFA
VEGF_PDGF_AXIS,HALLMARK,HALLMARK_HYPOXIA,200,3,0.015,0.000753206974990939,PDGFB;PGF;VEGFA
VEGF_PDGF_AXIS,HALLMARK,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,2,0.01,0.010323078450045603,VEGFA;VEGFC
VEGF_PDGF_AXIS,Reactome,VEGF binds to VEGFR leading to receptor dimerization,8,7,0.7,4.771489531003168e-22,FLT1;FLT4;KDR;PGF;VEGFA;VEGFB;VEGFC
VEGF_PDGF_AXIS,Reactome,VEGF ligand-receptor interactions,8,7,0.7,4.771489531003168e-22,FLT1;FLT4;KDR;PGF;VEGFA;VEGFB;VEGFC
