"feature","subtype","n","events","HR","p"
"ERBB_LIGANDS","Basal",81,43,1.21518365108309,0.176928984376383
"ERBB_LIGANDS","Classical",97,50,1.17800980654112,0.0749065001488104
"ERBB_LIGANDS","interaction",178,93,1.01272356341939,0.940485676740472
"TGFB_SMAD","Basal",81,43,1.07625107265904,0.685003984728954
"TGFB_SMAD","Classical",97,50,1.26414904321646,0.041650746079778
"TGFB_SMAD","interaction",178,93,0.869219173228186,0.512158786736753
"PI3K_AKT","Basal",81,43,1.0462043172875,0.814381754311396
"PI3K_AKT","Classical",97,50,1.04692033869296,0.705385751031501
"PI3K_AKT","interaction",178,93,1.02982095233896,0.895943993341136
"RAS_MAPK","Basal",81,43,1.11732449006939,0.523600157195214
"RAS_MAPK","Classical",97,50,1.11648539714317,0.374060234239361
"RAS_MAPK","interaction",178,93,1.00348918513492,0.98682885221178
"JAK_STAT","Basal",81,43,0.924847553659897,0.702457348871376
"JAK_STAT","Classical",97,50,1.06808142547914,0.600755170627694
"JAK_STAT","interaction",178,93,0.889180478100393,0.62620753115793
