"accession","module","n_samples","spearman","pearson","max_abs_z_diff"
"GSE13911","EPH_RECEPTORS",69,1,1,0
"GSE13911","ERBB_LIGANDS",69,1,1,0
"GSE13911","ERBB_RECEPTORS",69,1,1,0
"GSE13911","FGFR_AXIS",69,1,1,0
"GSE13911","HGF_MET_AXIS",69,1,1,0
"GSE13911","IGF_INSR_AXIS",69,1,1,0
"GSE13911","JAK_STAT",69,1,1,0
"GSE13911","PDGFR_KIT_CSF1R",69,1,1,0
"GSE13911","PI3K_AKT",69,1,1,0
"GSE13911","RAS_MAPK",69,1,1,0
"GSE13911","RET_ALK_NTRK",69,1,1,0
"GSE13911","SRC_FAK",69,1,1,0
"GSE13911","TAM_AXL_AXIS",69,1,1,0
"GSE13911","TGFB_SMAD",69,1,1,0
"GSE13911","TIE_ANGPT_AXIS",69,1,1,0
"GSE13911","VEGF_PDGF_AXIS",69,1,1,0
"GSE13911","WNT_CTNNB1",69,1,1,0
"GSE44076","EPH_RECEPTORS",196,1,1,0
"GSE44076","ERBB_LIGANDS",196,1,1,0
"GSE44076","ERBB_RECEPTORS",196,1,1,0
"GSE44076","FGFR_AXIS",196,1,1,0
"GSE44076","HGF_MET_AXIS",196,1,1,0
"GSE44076","IGF_INSR_AXIS",196,1,1,0
"GSE44076","JAK_STAT",196,1,1,0
"GSE44076","PDGFR_KIT_CSF1R",196,1,1,0
"GSE44076","PI3K_AKT",196,1,1,0
"GSE44076","RAS_MAPK",196,1,1,0
"GSE44076","RET_ALK_NTRK",196,1,1,0
"GSE44076","SRC_FAK",196,1,1,0
"GSE44076","TAM_AXL_AXIS",196,1,1,0
"GSE44076","TGFB_SMAD",196,1,1,0
"GSE44076","TIE_ANGPT_AXIS",196,1,1,0
"GSE44076","VEGF_PDGF_AXIS",196,1,1,0
"GSE44076","WNT_CTNNB1",196,1,1,0
"GSE47460","EPH_RECEPTORS",236,1,1,0
"GSE47460","ERBB_LIGANDS",236,1,1,0
"GSE47460","ERBB_RECEPTORS",236,1,1,0
"GSE47460","FGFR_AXIS",236,1,1,0
"GSE47460","IGF_INSR_AXIS",236,1,1,0
"GSE47460","JAK_STAT",236,1,1,0
"GSE47460","PDGFR_KIT_CSF1R",236,1,1,0
"GSE47460","PI3K_AKT",236,1,1,0
"GSE47460","RAS_MAPK",236,1,1,0
"GSE47460","RET_ALK_NTRK",236,1,1,0
"GSE47460","SRC_FAK",236,1,1,0
"GSE47460","TGFB_SMAD",236,1,1,0
"GSE47460","TIE_ANGPT_AXIS",236,1,1,0
"GSE47460","VEGF_PDGF_AXIS",236,1,1,0
"GSE47460","WNT_CTNNB1",236,1,1,0
