"disease","feature","k","est","p","fdr","scenario"
"Asthma","EPH_RECEPTORS",3,0.149957153913401,0.27606598106283,0.391093473172343,"all cohorts"
"COPD","EPH_RECEPTORS",2,0.102986615747994,0.782344329430561,0.782344329430561,"all cohorts"
"CRC","EPH_RECEPTORS",3,2.25484763862376,0.00816308832136224,0.0374386882242313,"all cohorts"
"ESCC","EPH_RECEPTORS",2,-0.388996239834087,0.380658710399866,0.556341190807378,"all cohorts"
"HCC","EPH_RECEPTORS",2,-0.186920782928567,0.274627294887602,0.472001393376343,"all cohorts"
"IBD","EPH_RECEPTORS",3,-0.100069979219483,0.770608934586456,0.770608934586456,"all cohorts"
"LUAD","EPH_RECEPTORS",3,1.37654015831525,0.0560746814873682,0.114048372220049,"all cohorts"
"NAFLD","EPH_RECEPTORS",2,-0.14089221205073,0.862182824115549,0.919661679056586,"all cohorts"
"PAAD","EPH_RECEPTORS",3,0.978803194046275,0.139206152690811,0.278412305381622,"all cohorts"
"STAD","EPH_RECEPTORS",3,1.56719726693813,0.0154515169280368,0.1239794902749,"all cohorts"
"Asthma","ERBB_LIGANDS",3,-0.248715662477111,0.147199469334186,0.357484425525881,"all cohorts"
"COPD","ERBB_LIGANDS",2,-0.143883887129669,0.494288399535055,0.647626107011489,"all cohorts"
"CRC","ERBB_LIGANDS",3,-0.402298938241559,0.0584702318207639,0.0993993940952986,"all cohorts"
"ESCC","ERBB_LIGANDS",2,-0.502518197896739,0.0206037959941235,0.350264531900099,"all cohorts"
"HCC","ERBB_LIGANDS",2,-0.833441932511757,0.392228280064468,0.472001393376343,"all cohorts"
"IBD","ERBB_LIGANDS",3,0.615046621050884,0.284218920930561,0.439247423256321,"all cohorts"
"LUAD","ERBB_LIGANDS",3,-0.169213687834068,0.631143417243362,0.71529587287581,"all cohorts"
"NAFLD","ERBB_LIGANDS",2,0.125596579190446,0.618039308987193,0.919661679056586,"all cohorts"
"PAAD","ERBB_LIGANDS",3,0.500782697328845,0.00716345412630461,0.0518488837533965,"all cohorts"
