context,module,k,cohorts_positive,cohorts_negative,median_effect,direction_consistent,pattern,positive_cohorts,negative_cohorts,range_of_effects
Asthma,EPH_RECEPTORS,3,3,0,0.124,TRUE,all positive,GSE4302;GSE43696;GSE67472,,0.03 to 0.37
Asthma,ERBB_LIGANDS,3,0,3,-0.285,TRUE,all negative,,GSE4302;GSE43696;GSE67472,-0.41 to -0.00
Asthma,ERBB_RECEPTORS,3,0,3,-0.532,TRUE,all negative,,GSE4302;GSE43696;GSE67472,-0.55 to -0.20
Asthma,FGFR_AXIS,3,1,2,-0.047,FALSE,1 positive / 2 negative,GSE4302,GSE43696;GSE67472,-0.53 to 0.16
Asthma,HGF_MET_AXIS,3,0,3,-0.248,TRUE,all negative,,GSE4302;GSE43696;GSE67472,-0.54 to -0.02
Asthma,IGF_INSR_AXIS,3,0,3,-0.886,TRUE,all negative,,GSE4302;GSE43696;GSE67472,-1.15 to -0.37
Asthma,JAK_STAT,3,0,3,-0.148,TRUE,all negative,,GSE4302;GSE43696;GSE67472,-0.40 to -0.05
Asthma,PDGFR_KIT_CSF1R,3,3,0,0.25,TRUE,all positive,GSE4302;GSE43696;GSE67472,,0.20 to 0.54
Asthma,PI3K_AKT,3,3,0,0.317,TRUE,all positive,GSE4302;GSE43696;GSE67472,,0.21 to 0.35
Asthma,RAS_MAPK,3,3,0,0.281,TRUE,all positive,GSE4302;GSE43696;GSE67472,,0.16 to 0.43
Asthma,RET_ALK_NTRK,3,1,2,-0.105,FALSE,1 positive / 2 negative,GSE43696,GSE4302;GSE67472,-0.21 to 0.59
Asthma,SRC_FAK,3,2,1,0.298,FALSE,2 positive / 1 negative,GSE4302;GSE67472,GSE43696,-0.13 to 0.35
Asthma,TAM_AXL_AXIS,3,3,0,0.239,TRUE,all positive,GSE4302;GSE43696;GSE67472,,0.05 to 0.45
Asthma,TGFB_SMAD,3,1,2,-0.057,FALSE,1 positive / 2 negative,GSE67472,GSE4302;GSE43696,-0.49 to 0.05
Asthma,TIE_ANGPT_AXIS,3,1,2,-0.292,FALSE,1 positive / 2 negative,GSE43696,GSE4302;GSE67472,-0.61 to 0.28
Asthma,VEGF_PDGF_AXIS,3,0,3,-0.361,TRUE,all negative,,GSE4302;GSE43696;GSE67472,-0.57 to -0.00
Asthma,WNT_CTNNB1,3,0,3,-0.54,TRUE,all negative,,GSE4302;GSE43696;GSE67472,-0.73 to -0.40
COPD,EPH_RECEPTORS,2,1,1,0.116,FALSE,1 positive / 1 negative,GSE76925,GSE47460,-0.17 to 0.41
COPD,ERBB_LIGANDS,2,0,2,-0.175,TRUE,all negative,,GSE47460;GSE76925,-0.32 to -0.03
COPD,ERBB_RECEPTORS,2,1,1,-0.213,FALSE,1 positive / 1 negative,GSE76925,GSE47460,-0.52 to 0.09
COPD,FGFR_AXIS,2,1,1,-0.212,FALSE,1 positive / 1 negative,GSE47460,GSE76925,-0.44 to 0.01
COPD,IGF_INSR_AXIS,2,1,1,-0.223,FALSE,1 positive / 1 negative,GSE47460,GSE76925,-0.52 to 0.07
COPD,JAK_STAT,2,2,0,0.3,TRUE,all positive,GSE47460;GSE76925,,0.24 to 0.36
COPD,PDGFR_KIT_CSF1R,2,2,0,0.358,TRUE,all positive,GSE47460;GSE76925,,0.12 to 0.60
COPD,PI3K_AKT,2,2,0,0.088,TRUE,all positive,GSE47460;GSE76925,,0.07 to 0.11
COPD,RAS_MAPK,2,0,2,-0.206,TRUE,all negative,,GSE47460;GSE76925,-0.32 to -0.10
COPD,RET_ALK_NTRK,2,2,0,0.677,TRUE,all positive,GSE47460;GSE76925,,0.59 to 0.76
COPD,SRC_FAK,2,0,2,-0.276,TRUE,all negative,,GSE47460;GSE76925,-0.28 to -0.27
COPD,TGFB_SMAD,2,0,2,-0.176,TRUE,all negative,,GSE47460;GSE76925,-0.24 to -0.11
COPD,TIE_ANGPT_AXIS,2,1,1,0.078,FALSE,1 positive / 1 negative,GSE47460,GSE76925,-0.00 to 0.16
COPD,VEGF_PDGF_AXIS,2,0,2,-0.395,TRUE,all negative,,GSE47460;GSE76925,-0.42 to -0.37
COPD,WNT_CTNNB1,2,0,2,-0.55,TRUE,all negative,,GSE47460;GSE76925,-0.71 to -0.39
CRC,EPH_RECEPTORS,3,3,0,2.121,TRUE,all positive,GSE23878;GSE41258;GSE44076,,1.89 to 2.58
CRC,ERBB_LIGANDS,3,0,3,-0.361,TRUE,all negative,,GSE23878;GSE41258;GSE44076,-0.52 to -0.19
CRC,ERBB_RECEPTORS,3,2,1,0.189,FALSE,2 positive / 1 negative,GSE23878;GSE41258,GSE44076,-0.93 to 0.55
CRC,FGFR_AXIS,3,0,3,-1.668,TRUE,all negative,,GSE23878;GSE41258;GSE44076,-1.95 to -1.18
CRC,HGF_MET_AXIS,3,3,0,1.016,TRUE,all positive,GSE23878;GSE41258;GSE44076,,0.49 to 1.23
CRC,IGF_INSR_AXIS,3,0,3,-0.772,TRUE,all negative,,GSE23878;GSE41258;GSE44076,-1.07 to -0.70
CRC,JAK_STAT,3,0,3,-0.063,TRUE,all negative,,GSE23878;GSE41258;GSE44076,-0.07 to -0.00
CRC,PDGFR_KIT_CSF1R,3,0,3,-1.038,TRUE,all negative,,GSE23878;GSE41258;GSE44076,-1.09 to -1.01
