"accession","context","n_samples","n_genes","missing_fraction","sample_mean_median","sample_mean_mad","outlier_samples_3mad","outlier_flag","gene_sd_zero"
"GSE32863","LUAD",114,19405,0,7.987,0.01,2,"GSM813497;GSM813521",0
"GSE19804","LUAD",120,20843,0,6.64,0.027,2,"GSM494571;GSM494572",0
"GSE10072","LUAD",66,12501,0,7.565,0.012,1,"GSM254678",0
"GSE44076","CRC",196,19433,0,4.461,0.014,2,"GSM1077736;GSM1077762",0
"GSE41258","CRC",235,12501,0,5.865,0.008,2,"GSM1012627;GSM1012628",0
"GSE23878","CRC",59,20843,0,4.985,0.082,3,"GSM588836;GSM588857;GSM588858",0
"GSE75214","IBD",97,19034,0,7.144,0.02,0,"",0
"GSE87473","IBD",127,21113,0,6.341,0.037,21,"GSM2332079;GSM2332080;GSM2332081;GSM2332082;GSM2332083;GSM2332084;GSM2332085;GSM2332086;GSM2332087;GSM2332088;GSM2332089;GSM2332090;GSM2332091;GSM2332092;GSM2332093;GSM2332094;GSM2332095;GSM2332096;GSM2332097;GSM2332099;GSM2332176",0
"GSE179285","IBD",53,19526,0,1.137,0.011,2,"GSM5413227;GSM5413250",0
"GSE16879","IBD",43,20843,0,5.592,0.16,0,"",0
"GSE4302","Asthma",70,20843,0,6.547,0.032,1,"GSM98207",0
"GSE43696","Asthma",108,19526,0,6.929,0.024,8,"GSM1068459;GSM1068461;GSM1068480;GSM1068482;GSM1068486;GSM1068546;GSM1068549;GSM1068558",0
"GSE67472","Asthma",105,18396,0,6.459,0.014,3,"GSM1647645;GSM1647655;GSM1647686",0
"GSE27342","STAD",160,17525,0,5.761,0.243,16,"GSM675906;GSM675918;GSM675947;GSM675959;GSM675961;GSM675966;GSM675972;GSM675983;GSM676018;GSM676019;GSM676020;GSM676021;GSM676025;GSM676039;GSM676040;GSM676043",0
"GSE63089","STAD",90,14023,0,5.077,0.369,11,"GSM1540871;GSM1540872;GSM1540873;GSM1540874;GSM1540875;GSM1540876;GSM1540877;GSM1540878;GSM1540879;GSM1540880;GSM1540925",0
"GSE13911","STAD",69,20843,0,7.484,0.163,0,"",0
"GSE15471","PAAD",72,20843,0,5.729,0.018,2,"GSM388083;GSM388111",0
"GSE28735","PAAD",90,18990,0,4.681,0.015,2,"GSM711905;GSM711929",0
"GSE62452","PAAD",84,19034,0,4.695,0.019,2,"GSM1527106;GSM1527130",0
"GSE57957","HCC",74,20750,0,8.187,0.012,4,"GSM1398656;GSM1398658;GSM1398668;GSM1398672",0
"GSE62232","HCC",86,20843,0,5.465,0.014,1,"GSM1523417",0
"GSE23400","ESCC",106,12501,0,7.118,0.013,2,"GSM573872;GSM573882",0
"GSE20347","ESCC",34,12501,0,6.374,0.012,0,"",0
"GSE76925","COPD",151,16996,0,6.673,0.039,2,"GSM2040925;GSM2040932",0
"GSE47460","COPD",236,14516,0,8.077,0.039,1,"GSM1150226",0
"GSE33814","NAFLD",44,19405,0,6.853,0.009,0,"",0
"GSE66676","NAFLD",65,18990,0,0.005,0.018,1,"GSM1627761",0
