"accession","feature","paired","yi_recomputed","yi_shipped","abs_diff","se_recomputed","se_shipped"
"GSE13911","EPH_RECEPTORS",TRUE,1.7208,1.7208,0,0.3068,0.3068
"GSE13911","ERBB_LIGANDS",TRUE,-1.0031,-1.0031,0,0.287,0.287
"GSE13911","ERBB_RECEPTORS",TRUE,-0.6967,-0.6967,0,0.2249,0.2249
"GSE13911","FGFR_AXIS",TRUE,-0.0708,-0.0708,0,0.2554,0.2554
"GSE13911","HGF_MET_AXIS",TRUE,0.7117,0.7117,0,0.2729,0.2729
"GSE13911","IGF_INSR_AXIS",TRUE,-0.0442,-0.0442,0,0.2324,0.2324
"GSE13911","JAK_STAT",TRUE,0.9006,0.9006,0,0.2799,0.2799
"GSE13911","PDGFR_KIT_CSF1R",TRUE,-0.7429,-0.7429,0,0.2601,0.2601
"GSE13911","PI3K_AKT",TRUE,0.8755,0.8755,0,0.2559,0.2559
"GSE13911","RAS_MAPK",TRUE,0.9277,0.9277,0,0.2869,0.2869
"GSE13911","RET_ALK_NTRK",TRUE,-0.7341,-0.7341,0,0.2343,0.2343
"GSE13911","SRC_FAK",TRUE,-0.0387,-0.0387,0,0.2738,0.2738
"GSE13911","TAM_AXL_AXIS",TRUE,-0.166,-0.166,0,0.2634,0.2634
"GSE13911","TGFB_SMAD",TRUE,0.3967,0.3967,0,0.2442,0.2442
"GSE13911","TIE_ANGPT_AXIS",TRUE,0.1512,0.1512,0,0.2775,0.2775
"GSE13911","VEGF_PDGF_AXIS",TRUE,0.8877,0.8877,0,0.2517,0.2517
"GSE13911","WNT_CTNNB1",TRUE,1.3187,1.3187,0,0.2795,0.2795
"GSE44076","EPH_RECEPTORS",TRUE,2.5751,2.5751,0,0.1843,0.1843
"GSE44076","ERBB_LIGANDS",TRUE,-0.5198,-0.5198,0,0.1345,0.1345
"GSE44076","ERBB_RECEPTORS",TRUE,-0.9291,-0.9291,0,0.1606,0.1606
"GSE44076","FGFR_AXIS",TRUE,-1.9501,-1.9501,0,0.1733,0.1733
"GSE44076","HGF_MET_AXIS",TRUE,1.0158,1.0158,0,0.1414,0.1414
"GSE44076","IGF_INSR_AXIS",TRUE,-1.0709,-1.0709,0,0.1479,0.1479
"GSE44076","JAK_STAT",TRUE,-0.0673,-0.0673,0,0.135,0.135
"GSE44076","PDGFR_KIT_CSF1R",TRUE,-1.0051,-1.0051,0,0.1556,0.1556
"GSE44076","PI3K_AKT",TRUE,-0.1298,-0.1298,0,0.1516,0.1516
"GSE44076","RAS_MAPK",TRUE,-0.7458,-0.7458,0,0.1482,0.1482
"GSE44076","RET_ALK_NTRK",TRUE,-1.494,-1.494,0,0.1601,0.1601
"GSE44076","SRC_FAK",TRUE,-0.4104,-0.4104,0,0.1419,0.1419
"GSE44076","TAM_AXL_AXIS",TRUE,0.0721,0.0721,0,0.1504,0.1504
"GSE44076","TGFB_SMAD",TRUE,-0.5558,-0.5558,0,0.1499,0.1499
"GSE44076","TIE_ANGPT_AXIS",TRUE,-0.2061,-0.2061,0,0.1388,0.1388
"GSE44076","VEGF_PDGF_AXIS",TRUE,0.662,0.662,0,0.1501,0.1501
"GSE44076","WNT_CTNNB1",TRUE,3.4089,3.4089,0,0.226,0.226
"GSE47460","EPH_RECEPTORS",FALSE,-0.1733,-0.1733,0,0.1364,0.1364
"GSE47460","ERBB_LIGANDS",FALSE,-0.0303,-0.0303,0,0.1328,0.1328
"GSE47460","ERBB_RECEPTORS",FALSE,-0.5194,-0.5194,0,0.1349,0.1349
"GSE47460","FGFR_AXIS",FALSE,0.0147,0.0147,0,0.136,0.136
"GSE47460","IGF_INSR_AXIS",FALSE,0.0718,0.0718,0,0.1355,0.1355
"GSE47460","JAK_STAT",FALSE,0.2438,0.2438,0,0.135,0.135
"GSE47460","PDGFR_KIT_CSF1R",FALSE,0.5955,0.5955,0,0.1367,0.1367
"GSE47460","PI3K_AKT",FALSE,0.0664,0.0664,0,0.1332,0.1332
"GSE47460","RAS_MAPK",FALSE,-0.3159,-0.3159,0,0.1359,0.1359
"GSE47460","RET_ALK_NTRK",FALSE,0.7635,0.7635,0,0.1376,0.1376
"GSE47460","SRC_FAK",FALSE,-0.2827,-0.2827,0,0.134,0.134
"GSE47460","TGFB_SMAD",FALSE,-0.241,-0.241,0,0.1337,0.1337
"GSE47460","TIE_ANGPT_AXIS",FALSE,0.1603,0.1603,0,0.1348,0.1348
"GSE47460","VEGF_PDGF_AXIS",FALSE,-0.3692,-0.3692,0,0.1366,0.1366
"GSE47460","WNT_CTNNB1",FALSE,-0.3876,-0.3876,0,0.1351,0.1351
