accession,context,origin_pmid,origin_reference,n_patients,patient_ids_available,study_shared_with
GSE13911,STAD,19081245,D'Errico M 2009,38,yes,
GSE27342,STAD,21445269,Cui J 2011,80,yes,
GSE63089,STAD,25646628,Zhang X 2015,45,yes,
GSE15471,PAAD,28881803,Idichi T 2017,36,yes,
GSE20347,ESCC,20955586,Hu N 2010,17,yes,
GSE23400,ESCC,26635288,Hyland PL 2016,53,yes,
GSE28735,PAAD,23918603,Zhang G 2013,45,yes,
GSE33814,NAFLD,23071592,Starmann J 2012,not provided,no,
GSE47460,COPD,26560100,Kim S 2015,not provided,no,
GSE57957,HCC,25093504,Mah WC 2014,37,yes,
GSE62232,HCC,25822088,Schulze K 2015,85,yes,
GSE62452,PAAD,27197190,Yang S 2016,42,yes,
GSE66676,NAFLD,26026390,Xanthakos SA 2015,not provided,no,
GSE76925,COPD,28287180,Morrow JD 2017,not provided,no,
GSE10072,LUAD,18297132,Landi MT 2008,33,yes,
GSE179285,IBD,34561227,Keir ME 2021,42,yes,
GSE19804,LUAD,25889623,Lu TP 2015,60,yes,
GSE23878,CRC,21281787,Uddin S 2011,not provided,no,
GSE32863,LUAD,22613842,Selamat SA 2012,57,yes,
GSE41258,CRC,19359472,Sheffer M 2009,191,yes,
GSE4302,Asthma,19628779,Park SW 2009,not provided,no,
GSE43696,Asthma,27050946,Li X 2016,not provided,no,
GSE44076,CRC,36182938,Diez-Villanueva A 2022,98,yes,
GSE67472,Asthma,25611785,Christenson SA 2015,not provided,no,
GSE75214,IBD,28885228,Vancamelbeke M 2017,not provided,no,
GSE87473,IBD,29401083,Li K 2018,127,yes,
