"context","model","feature","n_recomputed","HR_recomputed","HR_shipped","HR_abs_diff","p_recomputed","p_shipped"
"LUAD","uni","EPH_RECEPTORS",503,1.2038,1.2038,0,0.01955,0.01955
"LUAD","uni","ERBB_LIGANDS",503,1.1812,1.1812,0,0.026,0.026
"LUAD","uni","ERBB_RECEPTORS",503,1.0158,1.0158,0,0.8349,0.8349
"LUAD","uni","FGFR_AXIS",503,0.9631,0.9631,0,0.6185,0.6185
"LUAD","uni","HGF_MET_AXIS",503,1.0498,1.0498,0,0.5118,0.5118
"LUAD","uni","IGF_INSR_AXIS",503,1.0281,1.0281,0,0.7031,0.7031
"LUAD","uni","JAK_STAT",503,0.9983,0.9983,0,0.9813,0.9813
"LUAD","uni","PDGFR_KIT_CSF1R",503,0.894,0.894,0,0.1121,0.1121
"LUAD","uni","PI3K_AKT",503,1.0964,1.0964,0,0.2205,0.2205
"LUAD","uni","RAS_MAPK",503,1.1241,1.1241,0,0.1153,0.1153
"LUAD","uni","RET_ALK_NTRK",503,0.7433,0.7433,0,0.000272,0.000272
"LUAD","uni","SRC_FAK",503,1.0239,1.0239,0,0.7441,0.7441
"LUAD","uni","TAM_AXL_AXIS",503,1.0462,1.0462,0,0.5193,0.5193
"LUAD","uni","TGFB_SMAD",503,1.1475,1.1475,0,0.06869,0.06869
"LUAD","uni","TIE_ANGPT_AXIS",503,0.9565,0.9565,0,0.5259,0.5259
"LUAD","uni","VEGF_PDGF_AXIS",503,1.1739,1.1739,0,0.03229,0.03229
"LUAD","uni","WNT_CTNNB1",503,1.0633,1.0633,0,0.4035,0.4035
"CRC","uni","EPH_RECEPTORS",566,0.9733,0.9733,0,0.7805,0.7805
"CRC","uni","ERBB_LIGANDS",566,0.7878,0.7878,0,0.007679,0.007679
"CRC","uni","ERBB_RECEPTORS",566,1.1295,1.1295,0,0.1908,0.1908
"CRC","uni","FGFR_AXIS",566,1.0616,1.0616,0,0.5265,0.5265
"CRC","uni","HGF_MET_AXIS",566,1.0272,1.0272,0,0.7788,0.7788
"CRC","uni","IGF_INSR_AXIS",566,1.1939,1.1939,0,0.05124,0.05124
"CRC","uni","JAK_STAT",566,1.0758,1.0758,0,0.4246,0.4246
"CRC","uni","PDGFR_KIT_CSF1R",566,0.9737,0.9737,0,0.7664,0.7664
"CRC","uni","PI3K_AKT",566,1.0279,1.0279,0,0.7707,0.7707
"CRC","uni","RAS_MAPK",566,0.9559,0.9559,0,0.6236,0.6236
"CRC","uni","RET_ALK_NTRK",566,1.1839,1.1839,0,0.06169,0.06169
"CRC","uni","SRC_FAK",566,1.0194,1.0194,0,0.8343,0.8343
"CRC","uni","TAM_AXL_AXIS",566,1.1509,1.1509,0,0.1167,0.1167
"CRC","uni","TGFB_SMAD",566,1.1214,1.1214,0,0.239,0.239
"CRC","uni","TIE_ANGPT_AXIS",566,1.0152,1.0152,0,0.8668,0.8668
"CRC","uni","VEGF_PDGF_AXIS",566,1.3031,1.3031,0,0.00386,0.00386
"CRC","uni","WNT_CTNNB1",566,0.8008,0.8008,0,0.01694,0.01694
"ESCC","uni","EPH_RECEPTORS",94,0.6612,0.6612,0,0.01797,0.01797
"ESCC","age+stage","EPH_RECEPTORS",93,0.6351,0.6351,0,0.01628,0.01628
"ESCC","uni","ERBB_LIGANDS",94,0.7534,0.7534,0,0.134,0.134
"ESCC","age+stage","ERBB_LIGANDS",93,0.733,0.733,0,0.1271,0.1271
"ESCC","uni","ERBB_RECEPTORS",94,0.6827,0.6827,0,0.02304,0.02304
"ESCC","age+stage","ERBB_RECEPTORS",93,0.5937,0.5937,0,0.002417,0.002417
"ESCC","uni","FGFR_AXIS",94,0.8509,0.8509,0,0.3622,0.3622
"ESCC","age+stage","FGFR_AXIS",93,0.9834,0.9834,0,0.9297,0.9297
"ESCC","uni","HGF_MET_AXIS",94,1.0867,1.0867,0,0.6762,0.6762
"ESCC","age+stage","HGF_MET_AXIS",93,1.0811,1.0811,0,0.6866,0.6866
"ESCC","uni","IGF_INSR_AXIS",94,0.8962,0.8962,0,0.5638,0.5638
"ESCC","age+stage","IGF_INSR_AXIS",93,0.972,0.972,0,0.8846,0.8846
"ESCC","uni","JAK_STAT",94,1.0144,1.0144,0,0.9379,0.9379
"ESCC","age+stage","JAK_STAT",93,1.0843,1.0843,0,0.6914,0.6914
"ESCC","uni","PDGFR_KIT_CSF1R",94,0.9826,0.9826,0,0.9235,0.9235
"ESCC","age+stage","PDGFR_KIT_CSF1R",93,1.0623,1.0623,0,0.7431,0.7431
"ESCC","uni","PI3K_AKT",94,0.8643,0.8643,0,0.3835,0.3835
"ESCC","age+stage","PI3K_AKT",93,0.9899,0.9899,0,0.9573,0.9573
"ESCC","uni","RAS_MAPK",94,0.7336,0.7336,0,0.07798,0.07798
"ESCC","age+stage","RAS_MAPK",93,0.8287,0.8287,0,0.336,0.336
"ESCC","uni","RET_ALK_NTRK",94,0.95,0.95,0,0.7559,0.7559
"ESCC","age+stage","RET_ALK_NTRK",93,0.9866,0.9866,0,0.9372,0.9372
"ESCC","uni","SRC_FAK",94,0.8526,0.8526,0,0.3767,0.3767
"ESCC","age+stage","SRC_FAK",93,0.992,0.992,0,0.9686,0.9686
"ESCC","uni","TAM_AXL_AXIS",94,0.715,0.715,0,0.03234,0.03234
"ESCC","age+stage","TAM_AXL_AXIS",93,0.7539,0.7539,0,0.08422,0.08422
"ESCC","uni","TGFB_SMAD",94,0.8245,0.8245,0,0.3003,0.3003
"ESCC","age+stage","TGFB_SMAD",93,0.9435,0.9435,0,0.7667,0.7667
"ESCC","uni","TIE_ANGPT_AXIS",94,0.9463,0.9463,0,0.778,0.778
"ESCC","age+stage","TIE_ANGPT_AXIS",93,1.0152,1.0152,0,0.9372,0.9372
"ESCC","uni","VEGF_PDGF_AXIS",94,0.9571,0.9571,0,0.8317,0.8317
"ESCC","age+stage","VEGF_PDGF_AXIS",93,1.1135,1.1135,0,0.6124,0.6124
"ESCC","uni","WNT_CTNNB1",94,0.7097,0.7097,0,0.06937,0.06937
"ESCC","age+stage","WNT_CTNNB1",93,0.6883,0.6883,0,0.0699,0.0699
