"accession","n_samples","n_unique_sample_id","patient_id_present","n_unique_patient_id","patient_id_missing","patient_id_constant","patients_with_both_arms","hardcoded_as_paired","case","control","group_na","paired_mismatch"
"GSE13911",69,69,TRUE,38,0,FALSE,31,FALSE,38,31,0,TRUE
"GSE27342",160,160,TRUE,80,0,FALSE,80,TRUE,80,80,0,FALSE
"GSE63089",90,90,TRUE,45,0,FALSE,45,TRUE,45,45,0,FALSE
"GSE15471",72,72,TRUE,36,0,FALSE,36,TRUE,36,36,0,FALSE
"GSE20347",34,34,TRUE,17,0,FALSE,17,TRUE,17,17,0,FALSE
"GSE23400",106,106,TRUE,53,0,FALSE,53,TRUE,53,53,0,FALSE
"GSE28735",90,90,TRUE,45,0,FALSE,45,TRUE,45,45,0,FALSE
"GSE33814",44,44,TRUE,0,44,FALSE,NA,FALSE,31,13,0,FALSE
"GSE47460",236,236,TRUE,0,236,FALSE,NA,FALSE,145,91,0,FALSE
"GSE57957",74,74,TRUE,37,0,FALSE,37,TRUE,37,37,0,FALSE
"GSE62232",86,86,TRUE,85,0,FALSE,1,FALSE,81,5,0,FALSE
"GSE62452",84,84,TRUE,42,0,FALSE,42,TRUE,42,42,0,FALSE
"GSE66676",65,65,TRUE,0,65,FALSE,NA,FALSE,31,34,0,FALSE
"GSE76925",151,151,TRUE,0,151,FALSE,NA,FALSE,111,40,0,FALSE
"GSE10072",66,66,TRUE,33,0,FALSE,33,TRUE,33,33,0,FALSE
"GSE16879",43,43,TRUE,43,0,FALSE,0,FALSE,0,0,0,FALSE
"GSE179285",53,53,TRUE,42,0,FALSE,11,FALSE,22,31,0,TRUE
"GSE19804",120,120,TRUE,60,0,FALSE,60,TRUE,60,60,0,FALSE
"GSE23878",59,59,TRUE,0,59,FALSE,NA,FALSE,35,24,0,FALSE
"GSE32863",114,114,TRUE,57,0,FALSE,57,TRUE,57,57,0,FALSE
"GSE41258",235,235,TRUE,191,0,FALSE,44,FALSE,182,53,0,TRUE
"GSE4302",70,70,TRUE,0,70,FALSE,NA,FALSE,42,28,0,FALSE
"GSE43696",108,108,TRUE,0,108,FALSE,NA,FALSE,88,20,0,FALSE
"GSE44076",196,196,TRUE,98,0,FALSE,98,TRUE,98,98,0,FALSE
"GSE67472",105,105,TRUE,0,105,FALSE,NA,FALSE,62,43,0,FALSE
"GSE75214",97,97,TRUE,0,97,FALSE,NA,FALSE,74,23,0,FALSE
"GSE87473",127,127,TRUE,127,0,FALSE,0,FALSE,106,21,0,FALSE
