"accession","sample_id","patient_id","group"
"GSE13911","GSM350411","105","Case"
"GSE13911","GSM350412","105","Control"
"GSE13911","GSM350413","114","Case"
"GSE13911","GSM350414","114","Control"
"GSE13911","GSM350415","115","Case"
"GSE13911","GSM350416","117","Case"
"GSE13911","GSM350417","117","Control"
"GSE13911","GSM350418","118","Case"
"GSE13911","GSM350419","118","Control"
"GSE13911","GSM350420","123","Case"
"GSE13911","GSM350421","123","Control"
"GSE13911","GSM350422","124","Case"
"GSE13911","GSM350423","127","Case"
"GSE13911","GSM350424","127","Control"
"GSE13911","GSM350425","129","Case"
"GSE13911","GSM350426","129","Control"
"GSE13911","GSM350427","130","Case"
"GSE13911","GSM350428","130","Control"
"GSE13911","GSM350429","146","Case"
"GSE13911","GSM350430","146","Control"
"GSE13911","GSM350431","148","Case"
"GSE13911","GSM350432","149","Case"
"GSE13911","GSM350433","149","Control"
"GSE13911","GSM350434","154","Case"
"GSE13911","GSM350435","154","Control"
"GSE13911","GSM350436","158","Case"
"GSE13911","GSM350437","158","Control"
"GSE13911","GSM350438","159","Case"
"GSE13911","GSM350439","159","Control"
"GSE13911","GSM350440","174","Case"
"GSE13911","GSM350441","174","Control"
"GSE13911","GSM350442","177","Case"
"GSE13911","GSM350443","17","Case"
"GSE13911","GSM350444","17","Control"
"GSE13911","GSM350445","183","Case"
"GSE13911","GSM350446","183","Control"
"GSE13911","GSM350447","186","Case"
"GSE13911","GSM350448","186","Control"
"GSE13911","GSM350449","189","Case"
"GSE13911","GSM350450","189","Control"
"GSE13911","GSM350451","192","Case"
"GSE13911","GSM350452","192","Control"
"GSE13911","GSM350453","195","Case"
"GSE13911","GSM350454","195","Control"
"GSE13911","GSM350455","196","Case"
"GSE13911","GSM350456","196","Control"
"GSE13911","GSM350457","202","Case"
"GSE13911","GSM350458","202","Control"
"GSE13911","GSM350459","203","Case"
"GSE13911","GSM350460","203","Control"
"GSE13911","GSM350461","22","Case"
"GSE13911","GSM350462","22","Control"
"GSE13911","GSM350463","39","Case"
"GSE13911","GSM350464","39","Control"
"GSE13911","GSM350465","43","Case"
"GSE13911","GSM350466","46","Case"
"GSE13911","GSM350467","46","Control"
"GSE13911","GSM350468","53","Case"
"GSE13911","GSM350469","53","Control"
"GSE13911","GSM350470","58","Case"
"GSE13911","GSM350471","60","Case"
"GSE13911","GSM350472","60","Control"
"GSE13911","GSM350473","61","Case"
"GSE13911","GSM350474","63","Case"
"GSE13911","GSM350475","63","Control"
"GSE13911","GSM350476","91","Case"
"GSE13911","GSM350477","91","Control"
"GSE13911","GSM350478","96","Case"
"GSE13911","GSM350479","96","Control"
"GSE27342","GSM675890","1","Control"
"GSE27342","GSM675891","1","Case"
"GSE27342","GSM675892","2","Control"
"GSE27342","GSM675893","2","Case"
"GSE27342","GSM675894","3","Control"
"GSE27342","GSM675895","3","Case"
"GSE27342","GSM675896","4","Control"
"GSE27342","GSM675897","4","Case"
"GSE27342","GSM675898","5","Control"
"GSE27342","GSM675899","5","Case"
"GSE27342","GSM675900","6","Control"
"GSE27342","GSM675901","6","Case"
"GSE27342","GSM675902","7","Control"
"GSE27342","GSM675903","7","Case"
"GSE27342","GSM675904","8","Control"
"GSE27342","GSM675905","8","Case"
"GSE27342","GSM675906","9","Control"
"GSE27342","GSM675907","9","Case"
"GSE27342","GSM675908","10","Control"
"GSE27342","GSM675909","10","Case"
"GSE27342","GSM675910","11","Control"
"GSE27342","GSM675911","11","Case"
