context,module,cell_type,paired,n_case_patients,n_control_patients,n_pairs,case_patient_mean,control_patient_mean,paired_diff_mean,p_value,p_method,fdr_global,fdr_context
CRC,VEGF_PDGF_AXIS,BEST4+ colonocyte,True,9,16,8,0.17615301555383228,0.18607311182308214,0.01553618779834514,0.84375,wilcoxon_paired,0.993851825734401,0.9282107469512195
CRC,VEGF_PDGF_AXIS,colon goblet cell,True,14,17,10,0.15503055198723897,0.15869676760119406,-0.01826361560014688,0.232421875,wilcoxon_paired,0.5300849780701754,0.40226862980769235
CRC,VEGF_PDGF_AXIS,colonocyte,True,14,20,13,0.16553353292994805,0.08711762936594339,0.05962567551837501,0.001708984375,wilcoxon_paired,0.029172062759826135,0.015380859375
CRC,VEGF_PDGF_AXIS,early colonocyte,True,18,20,14,0.13789180075649404,0.07937357516512003,0.06301404658234176,0.0001220703125,wilcoxon_paired,0.0079345703125,0.00274658203125
CRC,VEGF_PDGF_AXIS,enteroendocrine cell of colon,True,9,15,6,0.20457118418481615,0.17060554035006373,0.010820404833792827,1.0,wilcoxon_paired,1.0,1.0
CRC,VEGF_PDGF_AXIS,intestinal crypt stem cell of colon,True,21,20,16,0.1619247317469802,0.08791888287255119,0.09623401262295866,0.009185791015625,wilcoxon_paired,0.0781625770234257,0.04294655539772727
CRC,VEGF_PDGF_AXIS,malignant cell,True,28,20,19,0.1763520680396234,0.10505216877675108,0.07917423994945265,0.0033416748046875,wilcoxon_paired,0.03620147705078125,0.021482195172991072
CRC,VEGF_PDGF_AXIS,secretory cell,True,19,18,13,0.11649689767116432,0.0918446039447118,0.03791084497861677,0.010498046875,wilcoxon_paired,0.0781625770234257,0.04294655539772727
CRC,VEGF_PDGF_AXIS,tuft cell of colon,True,16,18,11,0.19951293967520545,0.15251459602932055,0.09916058848567683,0.0673828125,wilcoxon_paired,0.25764016544117646,0.15959087171052633
CRC,HGF_MET_AXIS,BEST4+ colonocyte,True,9,16,8,0.028959817218600734,0.15071442283152853,-0.13125429590691223,0.1484375,wilcoxon_paired,0.39667681049686,0.29042119565217395
CRC,HGF_MET_AXIS,colon goblet cell,True,14,17,10,0.14714460995119014,0.18937631368106247,-0.051039738034318174,0.064453125,wilcoxon_paired,0.25764016544117646,0.15959087171052633
CRC,HGF_MET_AXIS,colonocyte,True,14,20,13,0.17499311554263025,0.09444233108607608,0.05460202319083285,0.635498046875,wilcoxon_paired,0.8430076132015306,0.7525634765625
CRC,HGF_MET_AXIS,early colonocyte,True,18,20,14,0.1307128699360733,0.10548694317733384,0.03309000029025409,0.0166015625,wilcoxon_paired,0.09810014204545454,0.05746694711538462
