context,module,cell_type,comparison_type,n_pairs,n_case_patients,n_control_patients,paired_median_diff,case_patient_mean,control_patient_mean,p_paired,p_unpaired,test_used,p_used,fdr,fdr_unpaired
CRC,VEGF_PDGF_AXIS,BEST4+ colonocyte,same-cell-type,8,9,16,0.0485135939904526,0.17615301555383228,0.18607311182308214,0.84375,0.7340459697886714,wilcoxon-signed-rank,0.84375,0.94921875,0.7340459697886714
CRC,VEGF_PDGF_AXIS,colon goblet cell,same-cell-type,10,14,17,-0.02667897666226518,0.15503055198723897,0.15869676760119406,0.232421875,0.6479099936289315,wilcoxon-signed-rank,0.232421875,0.298828125,0.7340459697886714
CRC,VEGF_PDGF_AXIS,colonocyte,same-cell-type,13,14,20,0.06265852017247159,0.16553353292994805,0.08711762936594339,0.001708984375,0.0017371001997698965,wilcoxon-signed-rank,0.001708984375,0.0076904296875,0.00521130059930969
CRC,VEGF_PDGF_AXIS,early colonocyte,same-cell-type,14,18,20,0.07305532871693678,0.13789180075649404,0.07937357516512003,0.0001220703125,9.460828049987796e-06,wilcoxon-signed-rank,0.0001220703125,0.0010986328125,8.514745244989017e-05
CRC,VEGF_PDGF_AXIS,enteroendocrine cell of colon,same-cell-type,6,9,15,0.01468202478385397,0.20457118418481615,0.17060554035006373,1.0,0.7205147871362552,wilcoxon-signed-rank,1.0,1.0,0.7340459697886714
CRC,VEGF_PDGF_AXIS,intestinal crypt stem cell of colon,same-cell-type,16,21,20,0.08117700903596711,0.1619247317469802,0.08791888287255119,0.009185791015625,0.005676598505926315,wilcoxon-signed-rank,0.009185791015625,0.018896484375,0.012772346638334209
CRC,VEGF_PDGF_AXIS,malignant cell,same-cell-type,19,28,20,0.08619671127065415,0.1763520680396234,0.10505216877675108,0.0033416748046875,0.00036313460296125475,wilcoxon-signed-rank,0.0033416748046875,0.0100250244140625,0.0016341057133256464
CRC,VEGF_PDGF_AXIS,secretory cell,same-cell-type,13,19,18,0.02900991088362656,0.11649689767116432,0.0918446039447118,0.010498046875,0.0706037071988081,wilcoxon-signed-rank,0.010498046875,0.018896484375,0.12708667295785459
CRC,VEGF_PDGF_AXIS,tuft cell of colon,same-cell-type,11,16,18,0.09474703669548035,0.19951293967520545,0.15251459602932055,0.0673828125,0.17838939773597395,wilcoxon-signed-rank,0.0673828125,0.10107421875,0.26758409660396093
CRC,VEGF_PDGF_AXIS,malignant cell vs BEST4+ colonocyte,cell-identity,0,28,16,nan,0.1763520680396234,0.18607311182308214,nan,0.2776166836902608,mann-whitney (cell-identity contrast; unpaired),0.2776166836902608,0.2776166836902608,0.2776166836902608
CRC,VEGF_PDGF_AXIS,malignant cell vs colonocyte,cell-identity,0,28,20,nan,0.1763520680396234,0.08711762936594339,nan,9.395335375356418e-07,mann-whitney (cell-identity contrast; unpaired),9.395335375356418e-07,1.4093003063034627e-06,1.4093003063034627e-06
CRC,VEGF_PDGF_AXIS,malignant cell vs early colonocyte,cell-identity,0,28,20,nan,0.1763520680396234,0.07937357516512003,nan,7.249412946708817e-08,mann-whitney (cell-identity contrast; unpaired),7.249412946708817e-08,2.1748238840126451e-07,2.1748238840126451e-07
CRC,HGF_MET_AXIS,BEST4+ colonocyte,same-cell-type,8,9,16,-0.057118068271656094,0.028959817218600734,0.15071442283152853,0.1484375,0.005506131817064862,wilcoxon-signed-rank,0.1484375,0.333984375,0.032175899755197884
CRC,HGF_MET_AXIS,colon goblet cell,same-cell-type,10,14,17,-0.056767459350771377,0.14714460995119014,0.18937631368106247,0.064453125,0.10756419843738829,wilcoxon-signed-rank,0.064453125,0.193359375,0.19361555718729892
