threshold,context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_testable,test_used,p_used,fdr_family,fdr_celltype_family,fdr_global
0,CRC,ERBB_RECEPTORS,BEST4+ colonocyte,tumour-vs-adjacent,9,16,1,paired,0.3125,0.5625,0.3125,0.5208333333333334
0,CRC,ERBB_RECEPTORS,colon goblet cell,tumour-vs-adjacent,14,17,1,paired,0.00390625,0.017578125,0.00390625,0.023148148148148147
0,CRC,ERBB_RECEPTORS,colonocyte,tumour-vs-adjacent,14,20,1,paired,0.09423828125,0.28271484375,0.09423828125,0.23197115384615385
0,CRC,ERBB_RECEPTORS,early colonocyte,tumour-vs-adjacent,18,20,1,paired,0.8077392578125,0.979949951171875,0.8077392578125,0.9502814797794118
0,CRC,ERBB_RECEPTORS,enteroendocrine cell of colon,tumour-vs-adjacent,9,15,1,paired,0.84375,0.979949951171875,0.84375,0.9507042253521126
0,CRC,ERBB_RECEPTORS,intestinal crypt stem cell of colon,tumour-vs-adjacent,21,20,1,paired,0.979949951171875,0.979949951171875,0.979949951171875,1.0
0,CRC,ERBB_RECEPTORS,malignant cell,tumour-vs-adjacent,28,20,1,paired,0.000965118408203125,0.008686065673828125,0.000965118408203125,0.009083467371323529
0,CRC,ERBB_RECEPTORS,secretory cell,tumour-vs-adjacent,19,18,1,paired,0.19091796875,0.4295654296875,0.19091796875,0.37712191358024694
0,CRC,ERBB_RECEPTORS,tuft cell of colon,tumour-vs-adjacent,16,18,1,paired,0.9658203125,0.979949951171875,0.9658203125,1.0
0,CRC,ERBB_RECEPTORS,malignant cell vs BEST4+ colonocyte,cell-identity,28,16,1,cell-identity unpaired,0.005620854016306688,0.022483416065226754,0.005620854016306688,0.032119165807466786
0,CRC,ERBB_RECEPTORS,malignant cell vs colonocyte,cell-identity,28,20,1,cell-identity unpaired,0.31046872117647717,0.36200459928309214,0.31046872117647717,0.5208333333333334
0,CRC,ERBB_RECEPTORS,malignant cell vs early colonocyte,cell-identity,28,20,1,cell-identity unpaired,0.07046646391957853,0.14093292783915706,0.07046646391957853,0.18483006929725518
0,CRC,ERBB_RECEPTORS,malignant cell vs secretory cell,cell-identity,28,18,1,cell-identity unpaired,0.36200459928309214,0.36200459928309214,0.36200459928309214,0.5792073588529475
0,CRC,ERBB_LIGANDS,BEST4+ colonocyte,tumour-vs-adjacent,9,16,1,paired,1.0,1.0,1.0,1.0
0,CRC,ERBB_LIGANDS,colon goblet cell,tumour-vs-adjacent,14,17,1,paired,0.16015625,0.2515869140625,0.16015625,0.3327922077922078
0,CRC,ERBB_LIGANDS,colonocyte,tumour-vs-adjacent,14,20,1,paired,0.167724609375,0.2515869140625,0.167724609375,0.3440504807692308
0,CRC,ERBB_LIGANDS,early colonocyte,tumour-vs-adjacent,18,20,1,paired,0.0067138671875,0.05172157287597656,0.0067138671875,0.035807291666666664
0,CRC,ERBB_LIGANDS,enteroendocrine cell of colon,tumour-vs-adjacent,9,15,1,paired,1.0,1.0,1.0,1.0
0,CRC,ERBB_LIGANDS,intestinal crypt stem cell of colon,tumour-vs-adjacent,21,20,1,paired,0.01987795848991416,0.05172157287597656,0.01987795848991416,0.07228348541786968
0,CRC,ERBB_LIGANDS,malignant cell,tumour-vs-adjacent,28,20,1,paired,0.02298736572265625,0.05172157287597656,0.02298736572265625,0.0797872340425532
0,CRC,ERBB_LIGANDS,secretory cell,tumour-vs-adjacent,19,18,1,paired,0.01708984375,0.05172157287597656,0.01708984375,0.06510416666666667
0,CRC,ERBB_LIGANDS,tuft cell of colon,tumour-vs-adjacent,16,18,1,paired,0.5146697234497355,0.6617182158639456,0.5146697234497355,0.6928105714942226
0,CRC,ERBB_LIGANDS,malignant cell vs BEST4+ colonocyte,cell-identity,28,16,1,cell-identity unpaired,0.12724442536190791,0.12724442536190791,0.12724442536190791,0.29084440082721813
0,CRC,ERBB_LIGANDS,malignant cell vs colonocyte,cell-identity,28,20,1,cell-identity unpaired,0.04250587260759833,0.05667449681013111,0.04250587260759833,0.1333517572003085
0,CRC,ERBB_LIGANDS,malignant cell vs early colonocyte,cell-identity,28,20,1,cell-identity unpaired,1.0725439213938592e-05,2.1450878427877184e-05,1.0725439213938592e-05,0.00019067447491446385
0,CRC,ERBB_LIGANDS,malignant cell vs secretory cell,cell-identity,28,18,1,cell-identity unpaired,6.399391648293543e-06,2.1450878427877184e-05,6.399391648293543e-06,0.0001462718091038524
0,CRC,VEGF_PDGF_AXIS,BEST4+ colonocyte,tumour-vs-adjacent,9,16,1,paired,0.84375,0.94921875,0.84375,0.9507042253521126
