context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_overlap_donors,median_diff,test_used,p_used,fdr_family,fdr_global
CRC,ERBB_RECEPTORS,BEST4+ colonocyte,tumour-vs-adjacent,3,12,2,-0.12022273183340054,not testable,nan,nan,nan
CRC,ERBB_RECEPTORS,colon goblet cell,tumour-vs-adjacent,7,15,6,-0.18988011759903967,wilcoxon-signed-rank (paired donors),0.03125,0.078125,0.10808015513897867
CRC,ERBB_RECEPTORS,colonocyte,tumour-vs-adjacent,7,17,7,-0.078063325935263,wilcoxon-signed-rank (paired donors),0.296875,0.37109375,0.5013888888888889
CRC,ERBB_RECEPTORS,early colonocyte,tumour-vs-adjacent,13,18,10,0.018305219030116532,wilcoxon-signed-rank (paired donors),1.0,1.0,1.0
CRC,ERBB_RECEPTORS,intestinal crypt stem cell of colon,tumour-vs-adjacent,6,9,2,0.03899299972489735,not testable,nan,nan,nan
CRC,ERBB_RECEPTORS,malignant cell,tumour-vs-adjacent,26,10,8,0.10970857555586924,wilcoxon-signed-rank (paired donors),0.0078125,0.0390625,0.04398148148148148
CRC,ERBB_RECEPTORS,secretory cell,tumour-vs-adjacent,11,13,7,-0.06273011134552772,wilcoxon-signed-rank (paired donors),0.296875,0.37109375,0.5013888888888889
CRC,ERBB_RECEPTORS,tuft cell of colon,tumour-vs-adjacent,3,8,2,-0.14276963595051329,not testable,nan,nan,nan
CRC,ERBB_RECEPTORS,malignant cell vs BEST4+ colonocyte,cell-identity,26,12,12,nan,mann-whitney (cell-identity; unpaired),0.0011528962263262351,0.0046115849053049406,0.014036383784282944
CRC,ERBB_RECEPTORS,malignant cell vs colonocyte,cell-identity,26,17,16,nan,mann-whitney (cell-identity; unpaired),0.014415127518120565,0.02883025503624113,0.059375
CRC,ERBB_RECEPTORS,malignant cell vs early colonocyte,cell-identity,26,18,17,nan,mann-whitney (cell-identity; unpaired),0.04891682603894105,0.06522243471858806,0.15174199097793958
CRC,ERBB_RECEPTORS,malignant cell vs secretory cell,cell-identity,26,13,12,nan,mann-whitney (cell-identity; unpaired),0.3329216080655659,0.3329216080655659,0.536780866192631
CRC,ERBB_LIGANDS,BEST4+ colonocyte,tumour-vs-adjacent,3,12,2,0.07386080656626688,not testable,nan,nan,nan
CRC,ERBB_LIGANDS,colon goblet cell,tumour-vs-adjacent,7,15,6,0.06774286113480626,wilcoxon-signed-rank (paired donors),0.6875,0.6875,0.8403954248145444
