"disease","feature","n_analysed","n_fdr","pos","neg","median_d_adj","majority","joint_robust","n_rows","n_est","status"
"Asthma","EPH_RECEPTORS",3,0,1,2,-0.0427046195733867,2,FALSE,3,3,"estimated, not significant"
"Asthma","ERBB_LIGANDS",3,0,1,2,-0.208759343214565,2,FALSE,3,3,"estimated, not significant"
"Asthma","ERBB_RECEPTORS",3,0,0,3,-0.379868436660842,3,FALSE,3,3,"estimated, not significant"
"Asthma","FGFR_AXIS",3,0,1,2,-0.141253597688901,2,FALSE,3,3,"estimated, not significant"
"Asthma","HGF_MET_AXIS",3,0,0,3,-0.312908649115108,3,FALSE,3,3,"estimated, not significant"
"Asthma","IGF_INSR_AXIS",3,1,0,3,-0.721920492466101,3,FALSE,3,3,"estimated"
"Asthma","JAK_STAT",3,0,0,3,-0.323297522423319,3,FALSE,3,3,"estimated, not significant"
"Asthma","PDGFR_KIT_CSF1R",3,0,3,0,0.356734415088124,3,FALSE,3,3,"estimated, not significant"
"Asthma","PI3K_AKT",3,0,3,0,0.173851813000087,3,FALSE,3,3,"estimated, not significant"
"Asthma","RAS_MAPK",3,0,3,0,0.118987667216977,3,FALSE,3,3,"estimated, not significant"
"Asthma","RET_ALK_NTRK",3,0,2,1,0.0417102711671734,2,FALSE,3,3,"estimated, not significant"
"Asthma","SRC_FAK",3,0,2,1,0.209465559057372,2,FALSE,3,3,"estimated, not significant"
"Asthma","TAM_AXL_AXIS",3,0,2,1,0.239288381899342,2,FALSE,3,3,"estimated, not significant"
"Asthma","TGFB_SMAD",3,0,1,2,-0.0531433198526627,2,FALSE,3,3,"estimated, not significant"
"Asthma","TIE_ANGPT_AXIS",3,0,1,2,-0.0422512341439146,2,FALSE,3,3,"estimated, not significant"
"Asthma","VEGF_PDGF_AXIS",3,0,0,3,-0.421209075273873,3,FALSE,3,3,"estimated, not significant"
"Asthma","WNT_CTNNB1",3,0,0,3,-0.373857536219896,3,FALSE,3,3,"estimated, not significant"
"COPD","EPH_RECEPTORS",2,0,1,1,0.196835595071987,1,FALSE,2,2,"estimated, not significant"
"COPD","ERBB_LIGANDS",2,0,0,2,-0.183721246339894,2,FALSE,2,2,"estimated, not significant"
"COPD","ERBB_RECEPTORS",2,0,1,1,0.045800293022015,1,FALSE,2,2,"estimated, not significant"
"COPD","FGFR_AXIS",2,0,1,1,0.030681858211695,1,FALSE,2,2,"estimated, not significant"
"COPD","HGF_MET_AXIS",1,0,0,1,-0.273002373106531,1,FALSE,1,1,"estimated, not significant"
"COPD","IGF_INSR_AXIS",2,0,1,1,-0.178363882592584,1,FALSE,2,2,"estimated, not significant"
"COPD","JAK_STAT",2,0,1,1,-0.017715739090393,1,FALSE,2,2,"estimated, not significant"
"COPD","PDGFR_KIT_CSF1R",2,0,2,0,0.234451515286849,2,FALSE,2,2,"estimated, not significant"
"COPD","PI3K_AKT",2,0,1,1,-0.0571323990188665,1,FALSE,2,2,"estimated, not significant"
"COPD","RAS_MAPK",2,1,0,2,-0.320138413177634,2,FALSE,2,2,"estimated"
"COPD","RET_ALK_NTRK",2,1,2,0,0.552666989114785,2,FALSE,2,2,"estimated"
"COPD","SRC_FAK",2,0,0,2,-0.304003305507046,2,FALSE,2,2,"estimated, not significant"
"COPD","TAM_AXL_AXIS",1,0,1,0,0.0946951612435907,1,FALSE,1,1,"estimated, not significant"
"COPD","TGFB_SMAD",2,0,1,1,-0.061432699906223,1,FALSE,2,2,"estimated, not significant"
"COPD","TIE_ANGPT_AXIS",2,0,2,0,0.348224033774782,2,FALSE,2,2,"estimated, not significant"
"COPD","VEGF_PDGF_AXIS",2,0,0,2,-0.279702387991014,2,FALSE,2,2,"estimated, not significant"
"COPD","WNT_CTNNB1",2,1,0,2,-0.380712348857904,2,FALSE,2,2,"estimated"
"CRC","EPH_RECEPTORS",3,3,3,0,1.5735325067055,3,TRUE,3,3,"robust"
"CRC","ERBB_LIGANDS",3,2,0,3,-0.705997002468449,3,TRUE,3,3,"robust"
