"state","variant","k","est","p","sign_flip_vs_full"
"COPD SRC_FAK","full",2,-0.279917136753722,0.00188386765088502,FALSE
"COPD SRC_FAK","minus_overlap",2,-0.279917136753722,0.00188386765088502,FALSE
"COPD SRC_FAK","drop_YES1",2,-0.184098038061921,0.63392375546346,FALSE
"CRC EPH_RECEPTORS","full",3,2.10024879815202,0.0106748024901778,FALSE
"CRC EPH_RECEPTORS","minus_overlap",3,2.10024879815202,0.0106748024901778,FALSE
"CRC EPH_RECEPTORS","drop_EPHB4",3,1.55461582035896,0.0139007402547065,FALSE
"CRC EPH_RECEPTORS","drop_EPHB2",3,1.85312148728603,0.00635196848565447,FALSE
"CRC EPH_RECEPTORS","drop_EPHA1",3,1.77546294103248,0.0245730939697835,FALSE
"CRC ERBB_LIGANDS","full",3,-0.439467731302996,0.0128219986503318,FALSE
"CRC ERBB_LIGANDS","minus_overlap",3,-0.439467731302996,0.0128219986503318,FALSE
"CRC ERBB_LIGANDS","drop_TGFA",2,-0.151870335614735,0.0316560913672385,FALSE
"CRC ERBB_LIGANDS","drop_EREG",2,-0.817459038538805,0.118032630485274,FALSE
"CRC ERBB_LIGANDS","drop_AREG",2,-0.815364906945628,0.0990757380176714,FALSE
"CRC FGFR_AXIS","full",3,-1.57501361485787,0.0106031006871529,FALSE
"CRC FGFR_AXIS","minus_overlap",3,-1.57501361485787,0.0106031006871529,FALSE
"CRC FGFR_AXIS","drop_FGFR2",3,-1.1727623387846,0.0154298013287479,FALSE
"CRC FGFR_AXIS","drop_FGF7",2,-1.25588087625471,0.0958946586782077,FALSE
"CRC FGFR_AXIS","drop_FGF2",2,-1.21812914340194,0.0690894204355107,FALSE
"CRC IGF_INSR_AXIS","full",3,-0.91425234074259,0.00683086444304797,FALSE
"CRC IGF_INSR_AXIS","minus_overlap",3,-0.91425234074259,0.00683086444304797,FALSE
"CRC PDGFR_KIT_CSF1R","full",3,-1.01149331387583,0.00203205252994864,FALSE
"CRC PDGFR_KIT_CSF1R","minus_overlap",3,-1.01149331387583,0.00203205252994864,FALSE
