"disease","feature","k","est_REML","se_REML","p_REML_KHNA","ci_lo","ci_hi","I2","tau2","est_DL","p_DL","cohorts","n_case","n_control","fdr"
"Asthma","EPH_RECEPTORS",3,0.151614688821336,0.0993647097705041,0.266574500550976,-0.275917150913487,0.579146528556159,0,0,0.151614688821336,0.247412413453545,"GSE4302;GSE43696;GSE67472",192,91,0.377647209113883
"COPD","EPH_RECEPTORS",2,0.0970774603705679,0.286837969209317,0.792245790976524,-3.54754450251159,3.74169942325273,84.0920370884034,0.138725669356809,0.0970774603705678,0.735031587536848,"GSE76925;GSE47460",256,131,0.792245790976524
"CRC","EPH_RECEPTORS",3,1.22771763778449,0.630654372541908,0.190948815658947,-1.48576911976139,3.94120439533037,97.9686986322483,1.17197569276854,1.23485930157407,0.107490638347552,"GSE44076;GSE41258;GSE23878",315,175,0.451122820007588
"ESCC","EPH_RECEPTORS",2,0,0,NA,0,0,0,0,0,1,"GSE23400;GSE20347",70,70,NA
"HCC","EPH_RECEPTORS",2,-0.00116565205371526,0.0228519403435432,0.967554853911512,-0.291527084677626,0.289195780570195,0,0,-0.00116565205371526,0.96050591558508,"GSE57957;GSE62232",118,42,0.967554853911512
"IBD","EPH_RECEPTORS",3,0.0442054085703426,0.294288227514673,0.894378715486666,-1.2220146368788,1.31042545401948,75.8084002582995,0.200861550073519,0.0443515780236361,0.883937348448776,"GSE75214;GSE87473;GSE179285",202,75,0.950277385204582
"LUAD","EPH_RECEPTORS",3,0,0,NA,0,0,0,0,0,1,"GSE32863;GSE19804;GSE10072",150,150,NA
"NAFLD","EPH_RECEPTORS",2,-0.124810855499061,0.648488085099028,0.878953510784881,-8.3646332337372,8.11501152273908,89.3919295108117,0.752424894815075,-0.124810855499061,0.847378469018868,"GSE33814;GSE66676",62,47,0.937550411503873
"PAAD","EPH_RECEPTORS",3,0,0,NA,0,0,0,0,0,1,"GSE15471;GSE28735;GSE62452",123,123,NA
"STAD","EPH_RECEPTORS",3,0.551223330960885,0.574379418117725,0.438482510072903,-1.92013184031525,3.02257850223702,99.9249947644018,0.936528137705602,0.113303550843584,0.145095740563208,"GSE27342;GSE63089;GSE13911",163,156,0.949167159128074
"Asthma","ERBB_LIGANDS",3,-0.241756360636264,0.112141085995199,0.163855061933844,-0.724260510410575,0.240747789138047,0,0,-0.241756360636264,0.0658214832566767,"GSE4302;GSE43696;GSE67472",192,91,0.355489873417567
"COPD","ERBB_LIGANDS",2,-0.147717717302698,0.143217179704804,0.490152770450265,-1.96746452436947,1.67202908976407,38.7042687611256,0.0164929393081542,-0.147717717302698,0.302341766068762,"GSE76925;GSE47460",256,131,0.657425267648363
"CRC","ERBB_LIGANDS",3,-0.184575468256879,0.130149280709436,0.291903001181381,-0.744562626176263,0.375411689662505,69.4394974201193,0.0420128019649588,-0.190982292671735,0.215218274133864,"GSE44076;GSE41258;GSE23878",315,175,0.451122820007588
"ESCC","ERBB_LIGANDS",2,0,0,NA,0,0,0,0,0,1,"GSE23400;GSE20347",70,70,NA
"HCC","ERBB_LIGANDS",2,-0.56079033709835,0.640752574578734,0.542304431193452,-8.70232373492679,7.58074306073009,86.6822919858494,0.724494108456602,-0.560790337098349,0.381461965575408,"GSE57957;GSE62232",118,42,0.967554853911512
"IBD","ERBB_LIGANDS",3,0.66208531554506,0.280598680890728,0.142264417095451,-0.545233364753531,1.86940399584365,71.7657396500861,0.167525192217588,0.662236684412756,0.0167198712347318,"GSE75214;GSE87473;GSE179285",202,75,0.219863190056606
"LUAD","ERBB_LIGANDS",3,0,0,NA,0,0,0,0,0,1,"GSE32863;GSE19804;GSE10072",150,150,NA
"NAFLD","ERBB_LIGANDS",2,0.131361077402663,0.186856536315643,0.609917670589107,-2.24287632931636,2.50559848412169,0,0,0.131361077402663,0.509307270642804,"GSE33814;GSE66676",62,47,0.930197205970223
"PAAD","ERBB_LIGANDS",3,0,0,NA,0,0,0,0,0,1,"GSE15471;GSE28735;GSE62452",123,123,NA
"STAD","ERBB_LIGANDS",3,-0.309881960489227,0.341719305140167,0.460213768889303,-1.78018146155866,1.1604175405802,99.7719177965274,0.307078666877533,-0.0396856833799887,0.443887601992719,"GSE27342;GSE63089;GSE13911",163,156,0.949167159128074
"Asthma","ERBB_RECEPTORS",3,-0.430926529004534,0.106993424514634,0.0564747808696376,-0.891282079057667,0.0294290210485994,0,0,-0.430926529004534,0.00111280943044175,"GSE4302;GSE43696;GSE67472",192,91,0.24001781869596
"COPD","ERBB_RECEPTORS",2,-0.222636889891839,0.303268792530235,0.59685239098517,-4.07603225787349,3.63075847808981,85.759790774265,0.158032858725294,-0.222636889891839,0.462873185928059,"GSE76925;GSE47460",256,131,0.657425267648363
