"accession","disease","role","feature","n_case","n_control","paired","npair","r_emp","effect_scale","yi","vi","mean_case","sd_case","mean_ctrl","sd_ctrl","beta_adj","se_beta_adj","p_adj","d_adj","se_d_adj","beta_unadj","d_unadj_same_den","sigma_full","joint_fallback","rank_full"
"GSE32863","LUAD","discovery","EPH_RECEPTORS",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142856,-0.0606744807199859,0.497995214991699,-0.0606744807199859,0.497995214991699,0.763705356184395,0.239982865250353,0.00246592680567381,2.61399343710686,0.82140792872881,0.688105152308929,2.35523076748026,0.292160395410042,FALSE,TRUE
"GSE32863","LUAD","discovery","ERBB_LIGANDS",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142858,-0.00456331468692556,0.315062186967478,-0.00456331468692556,0.315062186967478,-0.208577472032417,0.234991444963228,0.378845219901678,-0.729078410954276,0.82140792872881,-0.0307081152133881,-0.107339606837781,0.286083731048097,FALSE,TRUE
"GSE32863","LUAD","discovery","ERBB_RECEPTORS",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142858,-0.0550890947455386,0.48945014401111,-0.0550890947455386,0.48945014401111,0.440546556824273,0.293229587311679,0.139044157535983,1.23407885973321,0.82140792872881,0.650291573933639,1.8216260497849,0.356984120868511,FALSE,TRUE
"GSE32863","LUAD","discovery","FGFR_AXIS",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142856,0.0943527182902384,0.438945449434997,0.0943527182902384,0.438945449434997,-0.327432218864034,0.228442380210444,0.157750442847779,-1.17734467855054,0.82140792872881,-0.582860086792764,-2.0957840493086,0.278110756203651,FALSE,TRUE
"GSE32863","LUAD","discovery","HGF_MET_AXIS",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142856,-0.0540252789143933,0.447236585383379,-0.0540252789143933,0.447236585383379,0.226266796350796,0.243233060898361,0.356541920221984,0.764112164046129,0.82140792872881,0.464903637067248,1.56999847048536,0.296117254766195,FALSE,TRUE
"GSE32863","LUAD","discovery","IGF_INSR_AXIS",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142855,0.124341338862435,0.417200238384567,0.124341338862435,0.417200238384567,0.420206216158281,0.286965567408866,0.149129340956551,1.20279488849532,0.82140792872881,-0.13324789976037,-0.381407715001866,0.349358165866462,FALSE,TRUE
"GSE32863","LUAD","discovery","JAK_STAT",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142857,-0.103942089821588,0.317900390506691,-0.103942089821588,0.317900390506691,0.177552151543058,0.215509279600535,0.413774925899443,0.67673533738621,0.82140792872881,-0.301667900713871,-1.14979923810545,0.26236571630621,FALSE,TRUE
"GSE32863","LUAD","discovery","PDGFR_KIT_CSF1R",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142857,0.0070784189955632,0.46305120316255,0.0070784189955632,0.46305120316255,0.0632158956128096,0.251501758934287,0.80253133887838,0.206463915394015,0.82140792872881,-0.574124353792493,-1.87509740798543,0.306183748826852,FALSE,TRUE
"GSE32863","LUAD","discovery","PI3K_AKT",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142859,-0.0794774227750524,0.326333770271901,-0.0794774227750524,0.326333770271901,0.659595429801006,0.21171199205139,0.00298655699594508,2.55912246888839,0.82140792872881,0.368391865733095,1.42930023217065,0.257742815289146,FALSE,TRUE
"GSE32863","LUAD","discovery","RAS_MAPK",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142857,-5.90809248386422e-05,0.229434277860324,-5.90809248386422e-05,0.229434277860324,0.0614898032814456,0.17706236164938,0.729784392122057,0.285256626427308,0.82140792872881,0.0626865965763892,0.290808656188793,0.215559596464326,FALSE,TRUE
"GSE32863","LUAD","discovery","RET_ALK_NTRK",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142858,-0.0166007203819776,0.361627521142842,-0.0166007203819776,0.361627521142842,-0.369752565319926,0.231414261527657,0.11614822048034,-1.31244153587011,0.82140792872881,-0.425330070033383,-1.50971461113016,0.281728789598839,FALSE,TRUE
"GSE32863","LUAD","discovery","SRC_FAK",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142852,-0.0855143968912619,0.356903431378263,-0.0855143968912619,0.356903431378263,0.431853526416231,0.281416619764751,0.130951937750048,1.26050803589469,0.82140792872881,0.272305521208673,0.794814159676905,0.342602755491128,FALSE,TRUE
