disease,feature,n_cohorts,per_cohort_robust,n_fdr_raw,median_smd,meta_k,meta_est,meta_ci_lo,meta_ci_hi,meta_p,meta_fdr,meta_I2,meta_measures,dl_fdr,adhoc_fdr,joint_n,joint_n_fdr,joint_median_d_adj,joint_robust,xcell_resid_robust,sc_hits,sc_cells,sc_families,sc_median_pairs,tcga_hr,tcga_fdr,crc_ext_hr,crc_ext_p,crc_ext_model
Asthma,EPH_RECEPTORS,3,FALSE,0,0.129783680357029,3,0.149957153913401,-0.284809540853089,0.584723848679891,0.27606598106283,0.391093473172343,0,SMDH 3,0.344410773059558,0.496508312463426,3,0,-0.0391868518252653,FALSE,FALSE,0,,,,,,,,
Asthma,ERBB_LIGANDS,3,FALSE,0,-0.287628799593611,3,-0.248715662477111,-0.71210328159214,0.214671956637917,0.147199469334186,0.357484425525881,0,SMDH 3,0.131816771515579,0.399431306345992,3,0,-0.197608190247327,FALSE,FALSE,0,,,,,,,,
Asthma,ERBB_RECEPTORS,3,FALSE,0,-0.523233510462502,3,-0.441141421988087,-0.912602720861092,0.0303198768849168,0.0565172548367801,0.238988416282864,0,SMDH 3,0.00485396534117835,0.399431306345992,3,0,-0.345609123704102,FALSE,FALSE,0,,,,,,,,
Asthma,FGFR_AXIS,3,FALSE,0,-0.0456508367913711,3,-0.158563111336145,-1.06002547598711,0.742899253314821,0.528164936104842,0.561175244611395,59.821041219141,SMDH 3,0.490929226118159,0.568197485404085,3,0,-0.140087708437754,FALSE,FALSE,0,,,,,,,,
Asthma,HGF_MET_AXIS,3,FALSE,0,-0.247968962930912,3,-0.265868861925229,-0.858223006070552,0.326485282220094,0.193199964161833,0.364933265639017,0.00303602090391153,SMDH 3,0.114235205169772,0.399431306345992,3,0,-0.314464598551306,FALSE,FALSE,0,,,,,,,,
Asthma,IGF_INSR_AXIS,3,FALSE,0,-0.861111460935441,3,-0.818296397539505,-1.80822124897195,0.171628453892944,0.0707632555645177,0.238988416282864,63.838867104291,SMDH 3,0.00339890717332912,0.399431306345992,3,1,-0.593313113210756,FALSE,FALSE,0,,,,,,,,
Asthma,JAK_STAT,3,FALSE,0,-0.141873802577849,3,-0.164145345595669,-0.59070162085314,0.262410929661802,0.239614391371129,0.370313150300835,0,SMDH 3,0.295416036806776,0.475257952352356,3,0,-0.304179884211467,FALSE,FALSE,0,,,,,,,,
Asthma,PDGFR_KIT_CSF1R,3,FALSE,0,0.23704961099219,3,0.355941293080135,-0.119467740256388,0.831350326416659,0.0843488528057166,0.238988416282864,0,SMDH 3,0.0285329534526544,0.399431306345992,3,0,0.314266261183667,FALSE,FALSE,0,,,,,,,,
Asthma,PI3K_AKT,3,FALSE,0,0.315773121466566,3,0.304545478307904,0.125865951530744,0.483225005085063,0.0180909545526304,0.208457116511432,0,SMDH 3,0.0789389778925663,0.399431306345992,3,0,0.17012908048454,FALSE,FALSE,0,,,,,,,,
Asthma,RAS_MAPK,3,FALSE,0,0.276787480865594,3,0.296147768171427,-0.00962348799231588,0.601919024335169,0.0530441113357885,0.238988416282864,0,SMDH 3,0.0789389778925663,0.399431306345992,3,0,0.117398459214509,FALSE,FALSE,0,,,,,,,,
Asthma,RET_ALK_NTRK,3,FALSE,0,-0.105703858906676,3,0.0846109462172257,-1.00404308638517,1.17326497881962,0.769885591664897,0.769885591664897,72.5916423813637,SMDH 3,0.738430537033636,0.770017416270771,3,0,0.0418197613672633,FALSE,FALSE,0,,,,,,,,
Asthma,SRC_FAK,3,FALSE,0,0.293358308365075,3,0.201997426293111,-0.4251522474068,0.829147099993022,0.300096198516655,0.392433490367934,10.5422075097812,SMDH 3,0.260726474693175,0.463785034071195,3,0,0.186757346874327,FALSE,FALSE,0,,,,,,,,
Asthma,TAM_AXL_AXIS,3,FALSE,0,0.24945214815928,3,0.212577960225108,-0.305208512390801,0.730364432841018,0.219356620588086,0.370313150300835,0,SMDH 3,0.198928651873613,0.437817059291631,3,0,0.204001171975372,FALSE,FALSE,0,,,,,,,,
Asthma,TGFB_SMAD,3,FALSE,0,-0.0569749319662668,3,-0.136091509607866,-0.83655643772461,0.564373418508877,0.49114456218525,0.55663050380995,28.4034134435277,SMDH 3,0.452281139956152,0.55663050380995,3,0,-0.0522174468914033,FALSE,FALSE,0,,,,,,,,
Asthma,TIE_ANGPT_AXIS,3,FALSE,0,-0.291556160154687,3,-0.225075922356608,-1.33353576283716,0.883383918123948,0.474428294668652,0.55663050380995,72.27396366615,SMDH 3,0.452281139956152,0.55663050380995,3,0,-0.0386387459327793,FALSE,FALSE,0,,,,,,,,
Asthma,VEGF_PDGF_AXIS,3,FALSE,0,-0.360884358270201,3,-0.318548975658325,-0.988680325533773,0.351582374217124,0.177478793468043,0.364933265639017,16.8162566751294,SMDH 3,0.095823194627397,0.399431306345992,3,0,-0.404483084288738,FALSE,FALSE,0,,,,,,,,
Asthma,WNT_CTNNB1,3,FALSE,0,-0.543956488140338,3,-0.55079336941894,-0.928912207071285,-0.172674531766594,0.0245243666484038,0.208457116511432,0,SMDH 3,0.000665964976538589,0.399431306345992,3,0,-0.346028546998765,FALSE,FALSE,0,,,,,,,,
COPD,EPH_RECEPTORS,2,FALSE,0,0.111513970674996,2,0.102986615747994,-3.57413382274044,3.78010705423642,0.782344329430561,0.782344329430561,84.2983397039931,SMDH 2,0.721939517376663,0.782344329430561,2,0,0.183942439562879,FALSE,FALSE,0,,,,,,,,
COPD,ERBB_LIGANDS,2,FALSE,0,-0.175917181302285,2,-0.143883887129669,-1.9395881769315,1.65182040267216,0.494288399535055,0.647626107011489,36.3837391673849,SMDH 2,0.500239662284905,0.647626107011489,2,0,-0.16797227505079,FALSE,FALSE,0,,,,,,,,
COPD,ERBB_RECEPTORS,2,FALSE,0,-0.209793336198349,2,-0.225703474427274,-4.121243807887,3.66983685903245,0.596001036033779,0.647626107011489,86.0458977519654,SMDH 2,0.507904752276821,0.647626107011489,2,0,0.0354436988731567,FALSE,FALSE,0,,,,,,,,
COPD,FGFR_AXIS,2,FALSE,0,-0.212665570192707,2,-0.192455350788257,-3.0586092206281,2.67369851905159,0.550327589323342,0.647626107011489,73.4534218792608,SMDH 2,0.507904752276821,0.647626107011489,2,0,0.0308189226862904,FALSE,FALSE,0,,,,,,,,
COPD,HGF_MET_AXIS,1,FALSE,0,-0.690418164725269,1,-0.742495016858115,-1.08867761730731,-0.396312416408922,2.62534304985595e-05,NA,0,SMDH 1,NA,NA,1,0,-0.202691102082082,FALSE,FALSE,0,,,,,,,,
