"cohort","feature","model","n","events","HR","lo","hi","p","fdr"
"GSE39582","EPH_RECEPTORS","uni",556,187,0.873194259131083,0.755036364560345,1.00984303533971,0.0675610533461905,0.191422984480873
"GSE39582","EPH_RECEPTORS","age",555,187,0.866446124005417,0.750401193637883,1.00043668929221,0.0506996837723399,0.14364910402163
"GSE39582","EPH_RECEPTORS","age+stage",551,186,0.883419138775148,0.765326989784982,1.01973324496694,0.0904440213700531,0.276723689723728
"GSE39582","ERBB_LIGANDS","uni",556,187,1.02024865971848,0.884777469165896,1.17646229016054,0.782711374360771,0.887072890942208
"GSE39582","ERBB_LIGANDS","age",555,187,1.0332467958338,0.895969379288683,1.19155739669183,0.652948571211682,0.840300132638575
"GSE39582","ERBB_LIGANDS","age+stage",551,186,0.997953651076764,0.863828962007478,1.15290356482493,0.977808134677157,0.977808134677157
"GSE39582","ERBB_RECEPTORS","uni",556,187,0.954443377868438,0.827501838224766,1.10085817272768,0.521952666519215,0.739432944235555
"GSE39582","ERBB_RECEPTORS","age",555,187,0.955371025860203,0.826452832199492,1.10439913990501,0.537031250387767,0.76079427138267
"GSE39582","ERBB_RECEPTORS","age+stage",551,186,0.954754735829957,0.827463203295464,1.10162796600424,0.525948917951196,0.734874262532802
"GSE39582","FGFR_AXIS","uni",556,187,1.17221198797008,1.01846739029717,1.34916538107307,0.0267557558861683,0.143784500024169
"GSE39582","FGFR_AXIS","age",555,187,1.20842863223367,1.0489371614686,1.39217086861294,0.00875329711075258,0.14364910402163
"GSE39582","FGFR_AXIS","age+stage",551,186,1.1503254242575,1.00103443963912,1.32188117540715,0.0483202182520477,0.276723689723728
"GSE39582","HGF_MET_AXIS","uni",556,187,1.00978044445643,0.87417564105699,1.16642068037235,0.894760103081307,0.894760103081307
"GSE39582","HGF_MET_AXIS","age",555,187,0.9818065250407,0.849398321717196,1.13485514153563,0.803813183204403,0.840300132638575
"GSE39582","HGF_MET_AXIS","age+stage",551,186,0.946259338776716,0.819356797699506,1.09281663218779,0.452134979376238,0.698754059036004
"GSE39582","IGF_INSR_AXIS","uni",556,187,1.17623339432005,1.01528816829485,1.36269193428824,0.0306134795888379,0.143784500024169
"GSE39582","IGF_INSR_AXIS","age",555,187,1.1768698890564,1.01582398745713,1.3634475587003,0.030077392487674,0.14364910402163
"GSE39582","IGF_INSR_AXIS","age+stage",551,186,1.1610085706368,1.00340150042519,1.34337142262686,0.044900761480712,0.276723689723728
"GSE39582","JAK_STAT","uni",556,187,0.904839283352999,0.775989844999004,1.05508356066157,0.202010961492345,0.381576260596653
"GSE39582","JAK_STAT","age",555,187,0.912545763846072,0.782680600060416,1.06395861996468,0.242632624669531,0.458306068820224
"GSE39582","JAK_STAT","age+stage",551,186,0.963921457739048,0.823083760331739,1.12885786534688,0.648418466940708,0.734874262532802
"GSE39582","PDGFR_KIT_CSF1R","uni",556,187,1.02786270799979,0.882900505311182,1.19662605258595,0.723110501615506,0.878062751961686
"GSE39582","PDGFR_KIT_CSF1R","age",555,187,1.06898588093934,0.917102175090256,1.24602344720771,0.393548956146291,0.608212023135177
"GSE39582","PDGFR_KIT_CSF1R","age+stage",551,186,1.09020975492675,0.934569852516287,1.27176936698451,0.27178667320555,0.462037344449435
"GSE39582","PI3K_AKT","uni",556,187,0.842986158515091,0.719167632041056,0.988122423462269,0.0350840803089511,0.143784500024169
"GSE39582","PI3K_AKT","age",555,187,0.852966409617316,0.729755706660126,0.996979796520182,0.0457205271392261,0.14364910402163
"GSE39582","PI3K_AKT","age+stage",551,186,0.874685567363472,0.746520741879879,1.02485409826304,0.0976671846083745,0.276723689723728
"GSE39582","RAS_MAPK","uni",556,187,1.07336909732724,0.923736015946365,1.24724076923292,0.355317168877836,0.578519550431042
"GSE39582","RAS_MAPK","age",555,187,1.03087995875641,0.886151043752107,1.19924644546591,0.693564650298589,0.840300132638575
"GSE39582","RAS_MAPK","age+stage",551,186,1.08685719376915,0.937166036241521,1.2604581407849,0.270620339832729,0.462037344449435
"GSE39582","RET_ALK_NTRK","uni",556,187,1.0137314166754,0.875296326980263,1.17406111904991,0.855546509430464,0.894760103081307
"GSE39582","RET_ALK_NTRK","age",555,187,1.02141835896926,0.882635375065702,1.18202317005682,0.776085365832177,0.840300132638575
"GSE39582","RET_ALK_NTRK","age+stage",551,186,1.03930942210587,0.896104584391491,1.20539956350244,0.610243121437175,0.734874262532802
"GSE39582","SRC_FAK","uni",556,187,1.02714593319448,0.88730948256538,1.18902005310217,0.719811394573644,0.878062751961686
"GSE39582","SRC_FAK","age",555,187,1.01513961668928,0.877108712200349,1.17489249284377,0.840300132638575,0.840300132638575
"GSE39582","SRC_FAK","age+stage",551,186,1.03003865136167,0.884483729725177,1.1995467950876,0.703381801199199,0.747343163774149
"GSE39582","TAM_AXL_AXIS","uni",556,187,1.06842207464917,0.923272180837759,1.23639134080899,0.374336179690674,0.578519550431042
"GSE39582","TAM_AXL_AXIS","age",555,187,1.10424623674319,0.95258649129108,1.2800514835234,0.188325157005433,0.400190958636545
"GSE39582","TAM_AXL_AXIS","age+stage",551,186,1.11724651877064,0.967289021763509,1.29045172189527,0.131634456926402,0.319683681106977
"GSE39582","TGFB_SMAD","uni",556,187,1.11033694236804,0.950715705697014,1.29675792479241,0.18625955029286,0.381576260596653
"GSE39582","TGFB_SMAD","age",555,187,1.12421620018614,0.96346765708658,1.31178463071894,0.136951879592815,0.332597421868264
"GSE39582","TGFB_SMAD","age+stage",551,186,1.14690799676962,0.995807798656676,1.3209355809711,0.0572130197854702,0.276723689723728
"GSE39582","TIE_ANGPT_AXIS","uni",556,187,1.17721077327326,1.02505587352309,1.35195089409866,0.0208648784378404,0.143784500024169
"GSE39582","TIE_ANGPT_AXIS","age",555,187,1.18196346816235,1.02843328333625,1.35841348457564,0.0185280233221015,0.14364910402163
"GSE39582","TIE_ANGPT_AXIS","age+stage",551,186,1.12930504991922,0.980863231190798,1.30021174738579,0.0907924152389223,0.276723689723728
"GSE39582","VEGF_PDGF_AXIS","uni",556,187,1.16057860423004,1.00519791937886,1.33997760105679,0.0422895588306379,0.143784500024169
"GSE39582","VEGF_PDGF_AXIS","age",555,187,1.15255053826852,1.00072858551694,1.32740561475704,0.0488303351342216,0.14364910402163
"GSE39582","VEGF_PDGF_AXIS","age+stage",551,186,1.09185638154325,0.949705758832073,1.25528390960037,0.216885014590004,0.460880656003759
"GSE39582","WNT_CTNNB1","uni",556,187,0.898874011181121,0.779111035636478,1.03704664806446,0.143921271361071,0.349523087591174
"GSE39582","WNT_CTNNB1","age",555,187,0.923036869159246,0.798550481513362,1.06692949481747,0.278592209988379,0.473606756980244
"GSE39582","WNT_CTNNB1","age+stage",551,186,0.961515597788766,0.823647538574665,1.12246100606452,0.619197945316226,0.734874262532802
