"disease","feature","n_analysed","n_fdr","pos","neg","median_d_adj","median_beta_base","median_beta_adj","majority","joint_robust","n_rows","n_est","status"
"Asthma","EPH_RECEPTORS",3,0,1,2,-0.0391868518252653,0.0609302772414707,-0.0182050986399086,2,FALSE,3,3,"estimated, not significant"
"Asthma","ERBB_LIGANDS",3,0,1,2,-0.197608190247327,-0.10606757548895,-0.0727316522068885,2,FALSE,3,3,"estimated, not significant"
"Asthma","ERBB_RECEPTORS",3,0,0,3,-0.345609123704102,-0.218478397863264,-0.155245698677637,3,FALSE,3,3,"estimated, not significant"
"Asthma","FGFR_AXIS",3,0,1,2,-0.140087708437754,-0.014411396613302,-0.0437117187948473,2,FALSE,3,3,"estimated, not significant"
"Asthma","HGF_MET_AXIS",3,0,0,3,-0.314464598551306,-0.109272709406999,-0.137949776171111,3,FALSE,3,3,"estimated, not significant"
"Asthma","IGF_INSR_AXIS",3,1,0,3,-0.593313113210756,-0.392289868595546,-0.289142070934943,3,FALSE,3,3,"estimated"
"Asthma","JAK_STAT",3,0,0,3,-0.304179884211467,-0.0397532256780407,-0.0838875328354607,3,FALSE,3,3,"estimated, not significant"
"Asthma","PDGFR_KIT_CSF1R",3,0,3,0,0.314266261183667,0.0944078261440808,0.124231294004692,3,FALSE,3,3,"estimated, not significant"
"Asthma","PI3K_AKT",3,0,3,0,0.17012908048454,0.099482035968176,0.0546432239977712,3,FALSE,3,3,"estimated, not significant"
"Asthma","RAS_MAPK",3,0,3,0,0.117398459214509,0.0832085945879707,0.0351986896727603,3,FALSE,3,3,"estimated, not significant"
"Asthma","RET_ALK_NTRK",3,0,2,1,0.0418197613672633,-0.0446823578652939,0.017379379374142,2,FALSE,3,3,"estimated, not significant"
"Asthma","SRC_FAK",3,0,2,1,0.186757346874327,0.0992634835087265,0.0627096674069672,2,FALSE,3,3,"estimated, not significant"
"Asthma","TAM_AXL_AXIS",3,0,2,1,0.204001171975372,0.113346021905476,0.100356398680577,2,FALSE,3,3,"estimated, not significant"
"Asthma","TGFB_SMAD",3,0,1,2,-0.0522174468914033,-0.0217054786514706,-0.019537752206158,2,FALSE,3,3,"estimated, not significant"
"Asthma","TIE_ANGPT_AXIS",3,0,1,2,-0.0386387459327793,-0.160376543003975,-0.0210887447316749,2,FALSE,3,3,"estimated, not significant"
"Asthma","VEGF_PDGF_AXIS",3,0,0,3,-0.404483084288738,-0.107094322175823,-0.108315772912551,3,FALSE,3,3,"estimated, not significant"
"Asthma","WNT_CTNNB1",3,0,0,3,-0.346028546998765,-0.252164175039577,-0.159875090686538,3,FALSE,3,3,"estimated, not significant"
"COPD","EPH_RECEPTORS",2,0,1,1,0.183942439562879,0.0428976730476266,0.0775857038571086,1,FALSE,2,2,"estimated, not significant"
"COPD","ERBB_LIGANDS",2,0,0,2,-0.16797227505079,-0.075015605098206,-0.0751271050170812,2,FALSE,2,2,"estimated, not significant"
"COPD","ERBB_RECEPTORS",2,0,1,1,0.0354436988731567,-0.100607112932886,0.0199579834149349,1,FALSE,2,2,"estimated, not significant"
"COPD","FGFR_AXIS",2,0,1,1,0.0308189226862904,-0.0763207604964058,0.0072316592597775,1,FALSE,2,2,"estimated, not significant"
"COPD","HGF_MET_AXIS",1,0,0,1,-0.202691102082082,-0.285955602577117,-0.0871134491588779,1,FALSE,1,1,"estimated, not significant"
"COPD","IGF_INSR_AXIS",2,0,1,1,-0.168108769913739,-0.0831290786782911,-0.0669318433874529,1,FALSE,2,2,"estimated, not significant"
"COPD","JAK_STAT",2,0,1,1,-0.00422615683441051,0.111384154983965,-0.00768338687233885,1,FALSE,2,2,"estimated, not significant"
"COPD","PDGFR_KIT_CSF1R",2,0,2,0,0.18488109291221,0.139808467535311,0.0744357883903162,2,FALSE,2,2,"estimated, not significant"
"COPD","PI3K_AKT",2,0,1,1,-0.041834351094033,0.0255026937458128,-0.0122318631303896,1,FALSE,2,2,"estimated, not significant"
"COPD","RAS_MAPK",2,1,0,2,-0.296557114908526,-0.0659781564175764,-0.0950981949124446,2,FALSE,2,2,"estimated"
"COPD","RET_ALK_NTRK",2,1,2,0,0.520547215188449,0.230412161159317,0.187907477155158,2,FALSE,2,2,"estimated"
"COPD","SRC_FAK",2,0,0,2,-0.256866347413517,-0.109920101143749,-0.100987494212441,2,FALSE,2,2,"estimated, not significant"
"COPD","TAM_AXL_AXIS",1,0,1,0,0.09220528404488,0.112340815490548,0.0420993598253252,1,FALSE,1,1,"estimated, not significant"
"COPD","TGFB_SMAD",2,0,1,1,-0.043632482065095,-0.0709816662589277,-0.0161070794159549,1,FALSE,2,2,"estimated, not significant"
"COPD","TIE_ANGPT_AXIS",2,0,2,0,0.255373807447557,0.0352485707163012,0.115392831000576,2,FALSE,2,2,"estimated, not significant"
"COPD","VEGF_PDGF_AXIS",2,0,0,2,-0.206864130353741,-0.152212677308619,-0.0787790995857467,2,FALSE,2,2,"estimated, not significant"
"COPD","WNT_CTNNB1",2,1,0,2,-0.331787084605319,-0.200292074556783,-0.12741346111166,2,FALSE,2,2,"estimated"
"CRC","EPH_RECEPTORS",3,3,3,0,1.0852464620229,0.691427050278581,0.508707285548467,3,TRUE,3,3,"robust"
"CRC","ERBB_LIGANDS",3,2,0,3,-0.615100519831762,-0.160970753920369,-0.254232260725789,3,TRUE,3,3,"robust"
"CRC","ERBB_RECEPTORS",3,1,0,3,-0.269644058572114,0.0879281873323199,-0.120536919179538,3,FALSE,3,3,"estimated"
"CRC","FGFR_AXIS",3,3,0,3,-1.19071127600641,-0.505659283188718,-0.478988077336984,3,TRUE,3,3,"robust"
