"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","note","fdr"
"Asthma","EPH_RECEPTORS",3,0.149957153913401,0.134075332249066,0.263372944104368,-0.11282566851001,0.412739976336812,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.344410773059558
"COPD","EPH_RECEPTORS",2,0.102986615747994,0.289395654708729,0.721939517376663,-0.464218444763503,0.670191676259492,84.2983397039931,0.141501079298368,"SMDH 2","GSE76925;GSE47460","",0.721939517376663
"CRC","EPH_RECEPTORS",3,2.21750733546429,0.20568677731446,4.23299619497001e-27,1.81436865983184,2.62064601109674,63.6501632626876,0.0787260350191347,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",3.59804676572451e-26
"ESCC","EPH_RECEPTORS",2,-0.388996239834088,0.264950374325971,0.14205390126075,-0.908289431203398,0.130296951535222,39.8717613144211,0.064822252698568,"SMCRPH 2","GSE23400;GSE20347","",0.241491632143275
"HCC","EPH_RECEPTORS",2,-0.186920782928567,0.183086355037929,0.30728131464932,-0.545763444863621,0.171921879006486,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.348252156602562
"IBD","EPH_RECEPTORS",3,0.0478305450535349,0.294167543612787,0.870836324803824,-0.528727245848143,0.624388335955213,73.1417213267082,0.1896881739065,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.870836324803824
"LUAD","EPH_RECEPTORS",3,1.38099906246074,0.392702167554013,0.000437017130315551,0.611316957404064,2.15068116751742,90.3549296148988,0.41259097993542,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.00106132731648062
"NAFLD","EPH_RECEPTORS",2,-0.14089221205073,0.640625490265049,0.825926342753852,-1.39649510054854,1.11471067644708,88.0370743993521,0.7236074369339,"SMDH 2","GSE33814;GSE66676","",0.880988098937442
"PAAD","EPH_RECEPTORS",3,0.979029986470874,0.399147009235868,0.0141746951976724,0.196716223831698,1.76134374911005,88.2762123769642,0.421781171967041,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.0283493903953448
"STAD","EPH_RECEPTORS",3,1.59071142530173,0.216051100861611,1.80277218066682e-13,1.16725904879274,2.01416380181071,58.3208110355472,0.0815008461309877,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",2.88443548906692e-12
"Asthma","ERBB_LIGANDS",3,-0.248715662477111,0.137161789193604,0.069785349625895,-0.517547829351651,0.0201165043974282,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.131816771515579
"COPD","ERBB_LIGANDS",2,-0.143883887129669,0.141324992559693,0.30862736821723,-0.420875782662059,0.133108008402721,36.3837391673849,0.0152386495833822,"SMDH 2","GSE76925;GSE47460","",0.500239662284905
"CRC","ERBB_LIGANDS",3,-0.444504772179295,0.0964179462378039,4.02306730377915e-06,-0.63348047426871,-0.25552907008988,0,0,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",7.59912712936062e-06
"ESCC","ERBB_LIGANDS",2,-0.502518197896739,0.168517747020414,0.00286381566945535,-0.832806912812583,-0.172229482980896,0,0,"SMCRPH 2","GSE23400;GSE20347","",0.00695498091153443
"HCC","ERBB_LIGANDS",2,-0.833441932511757,0.590121688421183,0.157855126947798,-1.99005918831324,0.323175323289729,80.7359449076181,0.568784826988134,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.206425935239429
"IBD","ERBB_LIGANDS",3,0.724967594250013,0.345364437656804,0.0358047427867347,0.0480657349017476,1.40186945359828,82.2376383016594,0.293477446560828,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0553346024885899
"LUAD","ERBB_LIGANDS",3,-0.16889370132643,0.30348795986765,0.577863123172445,-0.763719172408561,0.425931769755701,86.2873968124313,0.235494810618346,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.654911539595437
"NAFLD","ERBB_LIGANDS",2,0.125596579190446,0.204858180470247,0.539816582421855,-0.275918076469645,0.527111234850537,0,0,"SMDH 2","GSE33814;GSE66676","",0.880988098937442
"PAAD","ERBB_LIGANDS",3,0.500782697328845,0.120386261440406,3.1852723672564e-05,0.264829960672226,0.736735433985464,0,0,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.000101928715752205
"STAD","ERBB_LIGANDS",3,-0.338321459179413,0.317529855517634,0.286659129370289,-0.960668540010183,0.284025621651357,87.2764768813885,0.261398223432845,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.382212172493718
"Asthma","ERBB_RECEPTORS",3,-0.441141421988087,0.132322609749832,0.000856582119031474,-0.700488971438107,-0.181793872538068,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.00485396534117835
"COPD","ERBB_RECEPTORS",2,-0.225703474427274,0.306585673247423,0.461618713848007,-0.826600352168189,0.375193403313641,86.0458977519654,0.162054795375588,"SMDH 2","GSE76925;GSE47460","",0.507904752276821
"CRC","ERBB_RECEPTORS",3,-0.158113984738412,0.439304512491717,0.718907803454376,-1.0191350074681,0.702907037991279,93.8340564089189,0.537648606473791,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.763839541170275
"ESCC","ERBB_RECEPTORS",2,-0.923873043282416,0.217001515013664,2.0677212770666e-05,-1.34918819729982,-0.498557889265008,27.0873594941223,0.0317927373731937,"SMCRPH 2","GSE23400;GSE20347","",0.000117170872367107
"HCC","ERBB_RECEPTORS",2,-0.528332352667163,0.193001519756126,0.0061917197604812,-0.906608380350666,-0.15005632498366,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.0263148089820451
