"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","note","fdr"
"Asthma","EPH_RECEPTORS",3,0.149957153913401,0.134075332249066,0.379682827177914,-0.42692244038011,0.726836748206912,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.496508312463426
"COPD","EPH_RECEPTORS",2,0.102986615747994,0.289395654708729,0.782344329430561,-3.57413382274044,3.78010705423642,84.2983397039931,0.141501079298368,"SMDH 2","GSE76925;GSE47460","",0.782344329430561
"CRC","EPH_RECEPTORS",3,2.21783738594846,0.20450267546532,0.00839542167864027,1.33793339111653,3.09774138078039,63.2373489051282,0.0773371482902794,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.0441654762898769
"ESCC","EPH_RECEPTORS",2,-0.388996239834087,0.264950374325971,0.380658710399866,-3.755509940946,2.97751746127783,39.8717613144211,0.0648222526985679,"SMCRPH 2","GSE23400;GSE20347","",0.556341190807378
"HCC","EPH_RECEPTORS",2,-0.186920782928567,0.183086355037929,0.493402869889915,-2.51325349444046,2.13941192858333,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.559189919208571
"IBD","EPH_RECEPTORS",3,0.0477593143952024,0.289687488682205,0.884207044264395,-1.19866534955755,1.29418397834796,72.3046719630519,0.181849914435671,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.884207044264395
"LUAD","EPH_RECEPTORS",3,1.37654015831525,0.349418641841261,0.0588074951063845,-0.126886914828401,2.8799672314589,87.7894965181047,0.316652021601746,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.130215398348004
"NAFLD","EPH_RECEPTORS",2,-0.14089221205073,0.640625490265049,0.862182824115549,-8.28081085057074,7.99902642646928,88.0370743993521,0.7236074369339,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"PAAD","EPH_RECEPTORS",3,0.978803194046275,0.4092225639014,0.139206152690811,-0.781939387599159,2.73954577569171,88.7772848273421,0.443113884585123,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.278412305381622
"STAD","EPH_RECEPTORS",3,1.58957333493185,0.213097790918266,0.017501594405458,0.672687543133798,2.50645912672991,57.1824670385028,0.0777855755928356,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.126872680754875
"Asthma","ERBB_LIGANDS",3,-0.248715662477111,0.137161789193604,0.211463632771408,-0.838875209168294,0.341443884214071,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.399431306345992
"COPD","ERBB_LIGANDS",2,-0.143883887129669,0.141324992559693,0.494288399535055,-1.9395881769315,1.65182040267216,36.3837391673849,0.0152386495833821,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","ERBB_LIGANDS",3,-0.444504772179295,0.0964179462378039,0.0439703745911593,-0.859357711756219,-0.029651832602371,0,0,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.0788365876605408
"ESCC","ERBB_LIGANDS",2,-0.502518197896739,0.168517747020414,0.205985558841552,-2.64373919321701,1.63870279742353,0,0,"SMCRPH 2","GSE23400;GSE20347","",0.500250642900913
"HCC","ERBB_LIGANDS",2,-0.833441932511757,0.590121688421183,0.392228280064468,-8.33164892484841,6.6647650598249,80.7359449076181,0.568784826988134,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.512913904699689
"IBD","ERBB_LIGANDS",3,0.725542811724059,0.339961467554207,0.166406087402363,-0.737193324657682,2.1882789481058,81.6678887734333,0.28238632174639,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.257173044167288
"LUAD","ERBB_LIGANDS",3,-0.169213687834068,0.301868608054899,0.631518972126747,-1.46804947830715,1.12962210263902,86.1388050951,0.232569123320647,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.715721501743647
"NAFLD","ERBB_LIGANDS",2,0.125596579190446,0.204858180470247,0.649865989691719,-2.47737340374474,2.72856656212563,0,0,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"PAAD","ERBB_LIGANDS",3,0.500782697328845,0.120386261440406,0.0532190542297994,-0.0171975790820512,1.01876297373974,0,0,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.170300973535358
"STAD","ERBB_LIGANDS",3,-0.344026868590759,0.36119412595709,0.441382961868947,-1.89811976060951,1.21006602342799,89.8975388685839,0.339104397887144,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.561487639545543
"Asthma","ERBB_RECEPTORS",3,-0.441141421988087,0.132322609749832,0.0794043555860356,-1.01047966003578,0.128196816059601,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.399431306345992
"COPD","ERBB_RECEPTORS",2,-0.225703474427274,0.306585673247423,0.596001036033779,-4.121243807887,3.66983685903245,86.0458977519654,0.162054795375588,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","ERBB_RECEPTORS",3,-0.159946195153102,0.399697607564065,0.727728631197481,-1.87970619741295,1.55981380710675,92.5384093353593,0.438155422021664,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.773211670647324
