"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","note","fdr"
"Asthma","EPH_RECEPTORS",3,0.149957153913401,0.101046196863721,0.27606598106283,-0.284809540853089,0.584723848679891,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.391093473172343
"COPD","EPH_RECEPTORS",2,0.102986615747994,0.289395654708729,0.782344329430561,-3.57413382274044,3.78010705423642,84.2983397039931,0.141501079298368,"SMDH 2","GSE76925;GSE47460","",0.782344329430561
"CRC","EPH_RECEPTORS",3,2.21783738594846,0.202199820291863,0.00820971752420749,1.34784177721482,3.0878329946821,63.2373489051282,0.0773371482902794,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.0232608663185879
"ESCC","EPH_RECEPTORS",2,-0.388996239834087,0.264950374325971,0.380658710399866,-3.755509940946,2.97751746127783,39.8717613144211,0.0648222526985679,"SMCRPH 2","GSE23400;GSE20347","",0.556341190807378
"HCC","EPH_RECEPTORS",2,-0.186920782928567,0.0860390082433989,0.274627294887602,-1.28015003696662,0.906308471109482,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.472001393376343
"IBD","EPH_RECEPTORS",3,0.0477593143952024,0.286844971408783,0.88307519454799,-1.1864349848517,1.28195361364211,72.3046719630519,0.181849914435671,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.88307519454799
"LUAD","EPH_RECEPTORS",3,1.37654015831525,0.340454789815878,0.0560746814873682,-0.0883185724423183,2.84139888907282,87.7894965181047,0.316652021601746,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.114048372220049
"NAFLD","EPH_RECEPTORS",2,-0.14089221205073,0.640625490265049,0.862182824115549,-8.28081085057074,7.99902642646928,88.0370743993521,0.7236074369339,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"PAAD","EPH_RECEPTORS",3,0.978803194046275,0.4092225639014,0.139206152690811,-0.781939387599159,2.73954577569171,88.7772848273421,0.443113884585123,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.278412305381622
"STAD","EPH_RECEPTORS",3,1.58957333493185,0.202967624264393,0.0159157406404406,0.716274132339902,2.46287253752381,57.1824670385028,0.0777855755928356,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.116016373184081
"Asthma","ERBB_LIGANDS",3,-0.248715662477111,0.107698122116867,0.147199469334186,-0.71210328159214,0.214671956637917,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.357484425525881
"COPD","ERBB_LIGANDS",2,-0.143883887129669,0.141324992559693,0.494288399535055,-1.9395881769315,1.65182040267216,36.3837391673849,0.0152386495833821,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","ERBB_LIGANDS",3,-0.444504772179295,0.0547726435549934,0.0148463053608047,-0.680172436486782,-0.208837107871808,0,0,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.03154839889171
"ESCC","ERBB_LIGANDS",2,-0.502518197896739,0.0162693642713487,0.0206037959941235,-0.709240071255902,-0.295796324537577,0,0,"SMCRPH 2","GSE23400;GSE20347","",0.350264531900099
"HCC","ERBB_LIGANDS",2,-0.833441932511757,0.590121688421183,0.392228280064468,-8.33164892484841,6.6647650598249,80.7359449076181,0.568784826988134,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.472001393376343
"IBD","ERBB_LIGANDS",3,0.725542811724059,0.338339846966831,0.165193099266295,-0.730216054410791,2.18130167785891,81.6678887734333,0.28238632174639,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.255298426138819
"LUAD","ERBB_LIGANDS",3,-0.169213687834068,0.301512941179636,0.631143417243362,-1.46651916725542,1.12809179158728,86.1388050951,0.232569123320647,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.71529587287581
"NAFLD","ERBB_LIGANDS",2,0.125596579190446,0.183590924437524,0.618039308987193,-2.20714729441631,2.4583404527972,0,0,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"PAAD","ERBB_LIGANDS",3,0.500782697328845,0.0426141317016334,0.00716345412630461,0.317428887236909,0.684136507420781,0,0,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.0518488837533965
"STAD","ERBB_LIGANDS",3,-0.344026868590759,0.36119412595709,0.441382961868947,-1.89811976060951,1.21006602342799,89.8975388685839,0.339104397887144,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.520537149302226
"Asthma","ERBB_RECEPTORS",3,-0.441141421988087,0.109574564457229,0.0565172548367801,-0.912602720861092,0.0303198768849168,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.238988416282864
"COPD","ERBB_RECEPTORS",2,-0.225703474427274,0.306585673247423,0.596001036033779,-4.121243807887,3.66983685903245,86.0458977519654,0.162054795375588,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","ERBB_RECEPTORS",3,-0.159946195153102,0.395257000193442,0.724900042327165,-1.860599805988,1.54070741568179,92.5384093353593,0.438155422021664,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.770206294972613
"ESCC","ERBB_RECEPTORS",2,-0.923873043282416,0.217001515013664,0.146868505716177,-3.68113872110612,1.83339263454128,27.0873594941224,0.0317927373731937,"SMCRPH 2","GSE23400;GSE20347","",0.399358533729142
"HCC","ERBB_RECEPTORS",2,-0.528332352667163,0.0550840513996152,0.0661351790414987,-1.22824158744864,0.171576882114318,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.472001393376343
"IBD","ERBB_RECEPTORS",3,-1.43776317990789,0.0812552790788375,0.00317873153812929,-1.78737642824301,-1.08814993157278,0,0,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0180128120493993
"LUAD","ERBB_RECEPTORS",3,0.985669803446403,0.439030645219392,0.153874072552125,-0.903326600650481,2.87466620754329,91.5675072873249,0.525862139889048,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.217988269448843
"NAFLD","ERBB_RECEPTORS",2,-0.12030634176465,0.276801451063247,0.73898629250212,-3.63740225024451,3.39678956671521,43.6229510875821,0.0683121117647798,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"PAAD","ERBB_RECEPTORS",3,0.158143050431548,0.113720521238948,0.298863732713721,-0.331156860705744,0.647442961568839,0,0,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.41750933765563
"STAD","ERBB_RECEPTORS",3,-0.267298469207868,0.291130516757103,0.455470005639447,-1.51993198184619,0.985335043430454,85.7627806446896,0.216569858263705,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.520537149302226
"Asthma","FGFR_AXIS",3,-0.158563111336145,0.209513158805046,0.528164936104842,-1.06002547598711,0.742899253314821,59.821041219141,0.0816120758065162,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.561175244611395
"COPD","FGFR_AXIS",2,-0.192455350788257,0.225571201578381,0.550327589323342,-3.0586092206281,2.67369851905159,73.4534218792608,0.0752930059604948,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","FGFR_AXIS",3,-1.66501792000595,0.174870343404004,0.0108512667144223,-2.41742428040541,-0.912611559606484,61.8794898829866,0.0667986429393149,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.0263530763064541
"ESCC","FGFR_AXIS",2,-0.338543918548958,0.690202371041555,0.709689692552471,-9.10839655439617,8.43130871729826,91.5940605672607,0.873780394269808,"SMCRPH 2","GSE23400;GSE20347","",0.74228256929028
"HCC","FGFR_AXIS",2,-0.558215245569507,0.223850804483532,0.242792881231899,-3.40250939769468,2.28607890655566,58.087087367652,0.058215181324743,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.472001393376343
"IBD","FGFR_AXIS",3,-0.0384950470308231,0.122097654838289,0.782404589902884,-0.563838854916797,0.486848760855151,0,0,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.831304876771814
"LUAD","FGFR_AXIS",3,-2.0083442487795,0.108649255501975,0.00291390723339685,-2.47582426455032,-1.54086423300868,0,0,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.0294364755141446
