"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","note","fdr"
"Asthma","EPH_RECEPTORS",3,0.149957153913401,0.101046196863721,0.27606598106283,-0.284809540853089,0.584723848679891,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.391093473172343
"COPD","EPH_RECEPTORS",2,0.102986615747994,0.289395654708729,0.782344329430561,-3.57413382274044,3.78010705423642,84.2983397039931,0.141501079298368,"SMDH 2","GSE76925;GSE47460","",0.782344329430561
"CRC","EPH_RECEPTORS",3,2.21953750264505,0.202022195158333,0.0081830800706485,1.35030615317707,3.08876885211302,64.2825910840589,0.0786886261694361,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.0231853935335041
"ESCC","EPH_RECEPTORS",2,-0.443526899550947,0.279048986616643,0.357515823600661,-3.98918045492409,3.10212665582219,70.5605179225166,0.113210920069199,"SMCRPH 2","GSE23400;GSE20347","",0.563326464216796
"HCC","EPH_RECEPTORS",2,-0.179386610939216,0.0763434792249906,0.256151860546998,-1.14942248824385,0.790649266365414,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.434646555131756
"IBD","EPH_RECEPTORS",3,0.0477593143952024,0.286844971408783,0.88307519454799,-1.1864349848517,1.28195361364211,72.3046719630519,0.181849914435671,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.88307519454799
"LUAD","EPH_RECEPTORS",3,1.38069048940312,0.335992515992875,0.0544298514446521,-0.0649686267090153,2.82634960551526,89.7773036437488,0.310988073813078,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.114712152258267
"NAFLD","EPH_RECEPTORS",2,-0.14089221205073,0.640625490265049,0.862182824115549,-8.28081085057074,7.99902642646928,88.0370743993521,0.7236074369339,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"PAAD","EPH_RECEPTORS",3,0.966949002128393,0.410813211214781,0.142823322131827,-0.800637582522028,2.73453558677882,93.2230634836092,0.474470852645545,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.285646644263654
"STAD","EPH_RECEPTORS",3,1.58469520154607,0.203832139268392,0.0161449293761535,0.707676291112255,2.46171411197989,68.6154225105312,0.0945681473858911,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.110196367949718
"Asthma","ERBB_LIGANDS",3,-0.248715662477111,0.107698122116867,0.147199469334186,-0.71210328159214,0.214671956637917,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.357484425525881
"COPD","ERBB_LIGANDS",2,-0.143883887129669,0.141324992559693,0.494288399535055,-1.9395881769315,1.65182040267216,36.3837391673849,0.0152386495833821,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","ERBB_LIGANDS",3,-0.462341302228639,0.0527191889256352,0.0127538494374883,-0.689173664369701,-0.235508940087578,0,0,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.0262032371112278
"ESCC","ERBB_LIGANDS",2,-0.501066076162017,0.0171393890709728,0.0217676309189339,-0.718842662750752,-0.283289489573281,0,0,"SMCRPH 2","GSE23400;GSE20347","",0.370049725621876
"HCC","ERBB_LIGANDS",2,-0.819744233503397,0.588938304338606,0.396611512549388,-8.30291490540529,6.6634264383985,83.0087534703651,0.585570555925651,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.449493047555973
"IBD","ERBB_LIGANDS",3,0.725542811724059,0.338339846966831,0.165193099266295,-0.730216054410791,2.18130167785891,81.6678887734333,0.28238632174639,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.255298426138819
"LUAD","ERBB_LIGANDS",3,-0.146863539697474,0.300410534315562,0.673282949849107,-1.43942574521582,1.14569866582087,91.580675815908,0.245315693185293,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.763054009828988
"NAFLD","ERBB_LIGANDS",2,0.125596579190446,0.183590924437524,0.618039308987193,-2.20714729441631,2.4583404527972,0,0,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"PAAD","ERBB_LIGANDS",3,0.499984800148968,0.0425679594926869,0.00717069306027429,0.316829653037894,0.683139947260042,0,0,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.0573655444821943
"STAD","ERBB_LIGANDS",3,-0.335685639529137,0.36034826371796,0.449907472388221,-1.8861390800757,1.21476780101742,92.8287696268115,0.344053148577524,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.490579641399776
"Asthma","ERBB_RECEPTORS",3,-0.441141421988087,0.109574564457229,0.0565172548367801,-0.912602720861092,0.0303198768849168,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.238988416282864
"COPD","ERBB_RECEPTORS",2,-0.225703474427274,0.306585673247423,0.596001036033779,-4.121243807887,3.66983685903245,86.0458977519654,0.162054795375588,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","ERBB_RECEPTORS",3,-0.166581839349047,0.396502824025201,0.715225366510621,-1.87259579749445,1.53943211879636,94.1286120858435,0.449564069335764,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.759926951917535
"ESCC","ERBB_RECEPTORS",2,-0.857937726103435,0.239287954013,0.173159462510044,-3.89837946069297,2.1825040084861,59.9468205472028,0.0709854898526177,"SMCRPH 2","GSE23400;GSE20347","",0.490618477111792
"HCC","ERBB_RECEPTORS",2,-0.536620252543344,0.0473994181058424,0.0560867665901262,-1.13888696337172,0.0656464582850351,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.424478732628124
"IBD","ERBB_RECEPTORS",3,-1.43776317990789,0.0812552790788375,0.00317873153812929,-1.78737642824301,-1.08814993157278,0,0,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0180128120493993
"LUAD","ERBB_RECEPTORS",3,0.983153511520126,0.438171007125163,0.154017420026956,-0.902144168384029,2.86845119142428,94.928187962495,0.542470361863451,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.218191345038187
"NAFLD","ERBB_RECEPTORS",2,-0.12030634176465,0.276801451063247,0.73898629250212,-3.63740225024451,3.39678956671521,43.6229510875821,0.0683121117647798,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"PAAD","ERBB_RECEPTORS",3,0.178010141001252,0.10865768399013,0.243027952656953,-0.289506139627136,0.645526421629641,24.5348347873704,0.00838408534366061,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.388844724251125
"STAD","ERBB_RECEPTORS",3,-0.26296782859896,0.289761389154647,0.45991841381229,-1.5097104606212,0.98377480342328,89.1568606430655,0.219381020486974,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.490579641399776
"Asthma","FGFR_AXIS",3,-0.158563111336145,0.209513158805046,0.528164936104842,-1.06002547598711,0.742899253314821,59.821041219141,0.0816120758065162,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.561175244611395
"COPD","FGFR_AXIS",2,-0.192455350788257,0.225571201578381,0.550327589323342,-3.0586092206281,2.67369851905159,73.4534218792608,0.0752930059604948,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","FGFR_AXIS",3,-1.67254558046288,0.174694819421613,0.0107341420087057,-2.42419672212038,-0.920894438805393,65.5312981446984,0.0703463216771553,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.0260686305925711
"ESCC","FGFR_AXIS",2,-0.32902292006717,0.688480438475293,0.716188799862626,-9.07699632818558,8.41895048805124,95.1712848890216,0.902656005951812,"SMCRPH 2","GSE23400;GSE20347","",0.716188799862626
"HCC","FGFR_AXIS",2,-0.543644054915541,0.223649414264903,0.248463863194577,-3.38537930169095,2.29809119185987,64.5647120894037,0.0648912463903924,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.434646555131756
"IBD","FGFR_AXIS",3,-0.0384950470308231,0.122097654838289,0.782404589902884,-0.563838854916797,0.486848760855151,0,0,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.831304876771814
"LUAD","FGFR_AXIS",3,-2.0006732663882,0.105399136002985,0.0027638747079665,-2.45416914662468,-1.54717738615172,0,0,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.0297433258270202
