"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","note","fdr"
"Asthma","EPH_RECEPTORS",3,0.149957153913401,0.101046196863721,0.27606598106283,-0.284809540853089,0.584723848679891,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.391093473172343
"COPD","EPH_RECEPTORS",2,0.102986615747994,0.289395654708729,0.782344329430561,-3.57413382274044,3.78010705423642,84.2983397039931,0.141501079298368,"SMDH 2","GSE76925;GSE47460","",0.782344329430561
"CRC","EPH_RECEPTORS",2,2.03121182595649,0.0755390384463886,0.0236644417747391,1.0713973378829,2.99102631403007,0,0,"SMDH 2","GSE41258;GSE23878","",0.100573877542641
"HCC","EPH_RECEPTORS",1,-0.42713765908099,0.542967647724106,0.431473668610793,-1.49133469339067,0.637059375228689,0,0,"SMDH 1","GSE62232","",NA
"IBD","EPH_RECEPTORS",3,0.0477593143952024,0.286844971408783,0.88307519454799,-1.1864349848517,1.28195361364211,72.3046719630519,0.181849914435671,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.88307519454799
"NAFLD","EPH_RECEPTORS",2,-0.14089221205073,0.640625490265049,0.862182824115549,-8.28081085057074,7.99902642646928,88.0370743993521,0.7236074369339,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"STAD","EPH_RECEPTORS",1,1.7826244442043,0.288963741379379,6.87125156974425e-10,1.21626591826277,2.34898297014583,0,0,"SMDH 1","GSE13911","",NA
"Asthma","ERBB_LIGANDS",3,-0.248715662477111,0.107698122116867,0.147199469334186,-0.71210328159214,0.214671956637917,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.357484425525881
"COPD","ERBB_LIGANDS",2,-0.143883887129669,0.141324992559693,0.494288399535055,-1.9395881769315,1.65182040267216,36.3837391673849,0.0152386495833821,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","ERBB_LIGANDS",2,-0.36482578814679,0.00192347509413337,0.00335642646554035,-0.389265856497781,-0.340385719795798,0,0,"SMDH 2","GSE41258;GSE23878","",0.0570592499141859
"HCC","ERBB_LIGANDS",1,-1.49024504945301,0.459183094833291,0.00117274775824478,-2.3902273776359,-0.590262721270119,0,0,"SMDH 1","GSE62232","",NA
"IBD","ERBB_LIGANDS",3,0.725542811724059,0.338339846966831,0.165193099266295,-0.730216054410791,2.18130167785891,81.6678887734333,0.28238632174639,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.255298426138819
"NAFLD","ERBB_LIGANDS",2,0.125596579190446,0.183590924437524,0.618039308987193,-2.20714729441631,2.4583404527972,0,0,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"STAD","ERBB_LIGANDS",1,-1.06887392173144,0.261303865434452,4.30369918138242e-05,-1.58102008700407,-0.556727756458814,0,0,"SMDH 1","GSE13911","",NA
"Asthma","ERBB_RECEPTORS",3,-0.441141421988087,0.109574564457229,0.0565172548367801,-0.912602720861092,0.0303198768849168,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.238988416282864
"COPD","ERBB_RECEPTORS",2,-0.225703474427274,0.306585673247423,0.596001036033779,-4.121243807887,3.66983685903245,86.0458977519654,0.162054795375588,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","ERBB_RECEPTORS",2,0.268222616721978,0.0448783954919452,0.105540139489151,-0.302011464629697,0.838456698073654,0,0,"SMDH 2","GSE41258;GSE23878","",0.19935359681284
"HCC","ERBB_RECEPTORS",1,-0.428432305010883,0.399709801163266,0.283783640853099,-1.21184911955855,0.354984509536785,0,0,"SMDH 1","GSE62232","",NA
"IBD","ERBB_RECEPTORS",3,-1.43776317990789,0.0812552790788375,0.00317873153812929,-1.78737642824301,-1.08814993157278,0,0,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0180128120493993
"NAFLD","ERBB_RECEPTORS",2,-0.12030634176465,0.276801451063247,0.73898629250212,-3.63740225024451,3.39678956671521,43.6229510875821,0.0683121117647798,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"STAD","ERBB_RECEPTORS",1,-0.766140783626702,0.251794212587535,0.00234445739359989,-1.25964837181389,-0.272633195439512,0,0,"SMDH 1","GSE13911","",NA
"Asthma","FGFR_AXIS",3,-0.158563111336145,0.209513158805046,0.528164936104842,-1.06002547598711,0.742899253314821,59.821041219141,0.0816120758065162,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.561175244611395
"COPD","FGFR_AXIS",2,-0.192455350788257,0.225571201578381,0.550327589323342,-3.0586092206281,2.67369851905159,73.4534218792608,0.0752930059604948,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","FGFR_AXIS",2,-1.44587200212906,0.110177358932588,0.0484176986053685,-2.84580808201753,-0.0459359222405931,0,0,"SMDH 2","GSE41258;GSE23878","",0.137183479381878
"HCC","FGFR_AXIS",1,-0.783106532462443,0.206082731599575,0.000144718324095878,-1.18702126423324,-0.379191800691642,0,0,"SMDH 1","GSE62232","",NA
"IBD","FGFR_AXIS",3,-0.0384950470308231,0.122097654838289,0.782404589902884,-0.563838854916797,0.486848760855151,0,0,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.831304876771814
"NAFLD","FGFR_AXIS",2,-0.0795298757752892,0.295455174579237,0.832603993498374,-3.83364381434132,3.67458406279074,51.1460668433509,0.0906792385943488,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"STAD","FGFR_AXIS",1,-0.0426247885735097,0.241016552607358,0.859622917886295,-0.515008551361934,0.429758974214915,0,0,"SMDH 1","GSE13911","",NA
"Asthma","HGF_MET_AXIS",3,-0.265868861925229,0.137671846033416,0.193199964161833,-0.858223006070552,0.326485282220094,0.00303602090391153,1.60970050539077e-06,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.364933265639017
"COPD","HGF_MET_AXIS",1,-0.742495016858115,0.176627021302349,2.62534304985595e-05,-1.08867761730731,-0.396312416408922,0,0,"SMDH 1","GSE76925","",NA
"CRC","HGF_MET_AXIS",2,0.790112785484522,0.242771003440458,0.189779576803888,-2.29458528823651,3.87481085920555,59.6376684320551,0.0730645299017293,"SMDH 2","GSE41258;GSE23878","",0.248173292743546
"HCC","HGF_MET_AXIS",1,-1.10589646711927,0.345255039248456,0.00135943019446575,-1.78258390952721,-0.429209024711333,0,0,"SMDH 1","GSE62232","",NA
"IBD","HGF_MET_AXIS",3,1.6683762766955,0.247588126494954,0.0213209636577679,0.603090548378428,2.73366200501257,59.1120639049401,0.100905969414818,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0615602933410572
"NAFLD","HGF_MET_AXIS",2,-0.149120404640072,0.17362501378168,0.548243118217893,-2.35523537707126,2.05699456779111,0,0,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"STAD","HGF_MET_AXIS",1,0.505955309737661,0.249118610558313,0.0422568630048211,0.0176918051647071,0.994218814310615,0,0,"SMDH 1","GSE13911","",NA
"Asthma","IGF_INSR_AXIS",3,-0.818296397539505,0.23007314640754,0.0707632555645177,-1.80822124897195,0.171628453892944,63.838867104291,0.101814016687201,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.238988416282864
"COPD","IGF_INSR_AXIS",2,-0.210949165213156,0.294657119039042,0.604451033210723,-3.95492284669463,3.53302451626832,85.3109223126387,0.148391414952653,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","IGF_INSR_AXIS",2,-0.881680218803692,0.103526022164469,0.0744105427768613,-2.19710305194719,0.433742614339808,0,0,"SMDH 2","GSE41258;GSE23878","",0.180711318172377
"HCC","IGF_INSR_AXIS",1,-1.24903152251853,0.329739800410413,0.000151907186150678,-1.89530965559237,-0.602753389444695,0,0,"SMDH 1","GSE62232","",NA
"IBD","IGF_INSR_AXIS",3,-0.558625769471262,0.112326891073282,0.0381342473710257,-1.04192937397199,-0.0753221649705336,0,0,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0899691219878595
"NAFLD","IGF_INSR_AXIS",2,-1.03181476798273,0.654757935115315,0.359977291053871,-9.35130314419292,7.28767360822746,89.0932390754664,0.764719933501992,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
