context,gene,n_mutated_samples,denominator_used,denominator_n,pct
LUAD,KRAS,149,mutation-profiled,559,26.65
LUAD,TP53,284,mutation-profiled,559,50.81
LUAD,EGFR,76,mutation-profiled,559,13.6
LUAD,ERBB2,13,mutation-profiled,559,2.33
CRC,KRAS,218,mutation-profiled,534,40.82
CRC,TP53,314,mutation-profiled,534,58.8
CRC,EGFR,15,mutation-profiled,534,2.81
CRC,ERBB2,20,mutation-profiled,534,3.75
STAD,KRAS,38,mutation-profiled,431,8.82
STAD,TP53,198,mutation-profiled,431,45.94
STAD,EGFR,17,mutation-profiled,431,3.94
STAD,ERBB2,19,mutation-profiled,431,4.41
PAAD,KRAS,107,mutation-profiled,173,61.85
PAAD,TP53,100,mutation-profiled,173,57.8
PAAD,EGFR,1,mutation-profiled,173,0.58
PAAD,ERBB2,2,mutation-profiled,173,1.16
HCC,KRAS,5,mutation-profiled,366,1.37
HCC,TP53,110,mutation-profiled,366,30.05
HCC,EGFR,6,mutation-profiled,366,1.64
HCC,ERBB2,1,mutation-profiled,366,0.27
ESCC,KRAS,2,mutation-profiled,185,1.08
ESCC,TP53,156,mutation-profiled,185,84.32
ESCC,EGFR,5,mutation-profiled,185,2.7
ESCC,ERBB2,10,mutation-profiled,185,5.41
