"accession","n_assays","n_samples","n_patients","n_case","n_control","patient_ids_available","n_paired_patients","platform"
"GSE10072",66,66,33,33,33,1,33,"GPL96"
"GSE13911",69,69,38,38,31,1,31,"GPL570"
"GSE15471",72,72,36,36,36,1,36,"GPL570"
"GSE16879",43,43,43,0,0,1,0,"GPL570"
"GSE179285",53,53,42,22,31,1,11,"GPL6480"
"GSE19804",120,120,60,60,60,1,60,"GPL570"
"GSE20347",34,34,17,17,17,1,17,"GPL571"
"GSE23400",106,106,53,53,53,1,53,"GPL96"
"GSE23878",59,59,59,35,24,0,0,"GPL570"
"GSE27342",160,160,80,80,80,1,80,"GPL5175"
"GSE28735",90,90,45,45,45,1,45,"GPL6244"
"GSE32863",114,114,57,57,57,1,57,"GPL6884"
"GSE33814",44,44,44,31,13,0,0,"GPL6884"
"GSE41258",235,235,191,182,53,1,44,"GPL96"
"GSE4302",70,70,70,42,28,0,0,"GPL570"
"GSE43696",108,108,108,88,20,0,0,"GPL6480"
"GSE44076",196,196,98,98,98,1,98,"GPL13667"
"GSE47460",236,236,236,145,91,0,0,"GPL14550"
"GSE57957",74,74,37,37,37,1,37,"GPL10558"
"GSE62232",86,86,85,81,5,1,1,"GPL570"
"GSE62452",84,84,42,42,42,1,42,"GPL6244"
"GSE63089",90,90,45,45,45,1,45,"GPL5175"
"GSE66676",65,65,65,31,34,0,0,"GPL6244"
"GSE67472",105,105,105,62,43,0,0,"GPL16311"
"GSE75214",97,97,97,74,23,0,0,"GPL6244"
"GSE76925",151,151,151,111,40,0,0,"GPL10558"
"GSE87473",127,127,127,106,21,1,0,"GPL13158"
