"module","n_members","n_common","cohorts","spearman","sign_agreement","flag"
"EPH_RECEPTORS",4,3,26,0.962,1,"consistent"
"ERBB_LIGANDS",6,5,26,0.925,0.885,"consistent"
"ERBB_RECEPTORS",4,3,26,0.962,0.885,"consistent"
"FGFR_AXIS",8,4,26,0.623,0.731,"direction disagreement in >=20% cohorts"
"HGF_MET_AXIS",3,2,26,0.887,0.923,"consistent"
"IGF_INSR_AXIS",4,2,26,0.861,1,"consistent"
"JAK_STAT",9,4,26,0.78,0.769,"direction disagreement in >=20% cohorts"
"PDGFR_KIT_CSF1R",5,3,26,0.954,0.923,"consistent"
"PI3K_AKT",9,6,26,0.611,0.846,"consistent"
"RAS_MAPK",12,6,26,0.668,0.923,"consistent"
"RET_ALK_NTRK",6,2,26,0.882,0.962,"consistent"
"SRC_FAK",5,3,26,0.203,0.577,"direction disagreement in >=20% cohorts"
"TAM_AXL_AXIS",3,1,NA,NA,NA,"insufficient common genes"
"TGFB_SMAD",5,3,26,0.936,0.885,"consistent"
"TIE_ANGPT_AXIS",3,0,NA,NA,NA,"insufficient common genes"
"VEGF_PDGF_AXIS",9,5,26,0.958,0.962,"consistent"
"WNT_CTNNB1",4,3,26,0.948,0.923,"consistent"
