"feature","model","n","events","HR","ci_lo","ci_hi","p","fdr"
"EPH_RECEPTORS","uni",94,31,0.66120204202871,0.46936849499991,0.931439039987165,0.0179717175001864,0.183262188686322
"EPH_RECEPTORS","age",94,31,0.667573008052867,0.469465849420931,0.949278252359465,0.0244643626233769,0.202415968364136
"EPH_RECEPTORS","age+stage",93,30,0.635123591200824,0.438559872216903,0.919787699820211,0.0162839273011751,0.138413382059989
"ERBB_LIGANDS","uni",94,31,0.753411468047904,0.520231186398641,1.09110882820304,0.134003560022444,0.379676753396925
"ERBB_LIGANDS","age",94,31,0.752800302688149,0.51546417945844,1.0994135350448,0.141700652719069,0.401485182704029
"ERBB_LIGANDS","age+stage",93,30,0.732956769832598,0.491761933236749,1.09245061509224,0.127081774312866,0.432078032663745
"ERBB_RECEPTORS","uni",94,31,0.682691352197323,0.491207730950325,0.948819517688215,0.0230397051969266,0.183262188686322
"ERBB_RECEPTORS","age",94,31,0.659145635918505,0.471619854551032,0.921235535692229,0.0146760579233623,0.202415968364136
"ERBB_RECEPTORS","age+stage",93,30,0.593685522589551,0.423890224968563,0.831494757300827,0.00241675230274735,0.0410847891467049
"FGFR_AXIS","uni",94,31,0.850925070157897,0.601300419553268,1.20417922801578,0.362184063349339,0.652026921153767
"FGFR_AXIS","age",94,31,0.866038590690339,0.615420489400829,1.21871607052786,0.409282115873475,0.871593529903575
"FGFR_AXIS","age+stage",93,30,0.983437092453054,0.678724762059987,1.42494950659696,0.929660630267043,0.968641598107863
"HGF_MET_AXIS","uni",94,31,1.08673295666425,0.735535210445838,1.60561792600571,0.676204344912123,0.937886685347076
"HGF_MET_AXIS","age",94,31,1.08496681870913,0.731709660031209,1.60877061217094,0.684925374899669,0.91602877338264
"HGF_MET_AXIS","age+stage",93,30,1.08108525718137,0.740238164546507,1.57887743333381,0.686610958066278,0.968641598107863
"IGF_INSR_AXIS","uni",94,31,0.896246042187718,0.617869189070632,1.30004373473513,0.563781993587882,0.871299444635817
"IGF_INSR_AXIS","age",94,31,0.908272541165701,0.633062867213892,1.30312335750514,0.601398661564969,0.91602877338264
"IGF_INSR_AXIS","age+stage",93,30,0.97196137682206,0.661967897787887,1.42712195136772,0.884617398555762,0.968641598107863
"JAK_STAT","uni",94,31,1.01439803434755,0.708039983487471,1.45331251918824,0.937886685347076,0.937886685347076
"JAK_STAT","age",94,31,1.03312431988984,0.715973559710438,1.4907615593787,0.86172688272429,0.91602877338264
"JAK_STAT","age+stage",93,30,1.08427186553193,0.727162917424371,1.61675664450582,0.691420511338504,0.968641598107863
"PDGFR_KIT_CSF1R","uni",94,31,0.982572049960267,0.686368326781506,1.40660312501637,0.923479790650065,0.937886685347076
"PDGFR_KIT_CSF1R","age",94,31,0.968685576192371,0.676434194731208,1.3872032975743,0.862144727889543,0.91602877338264
"PDGFR_KIT_CSF1R","age+stage",93,30,1.06232947369435,0.739962594619078,1.52513643106605,0.743128693926474,0.968641598107863
"PI3K_AKT","uni",94,31,0.864300134494357,0.62259684298007,1.19983699067821,0.38354524773751,0.652026921153767
"PI3K_AKT","age",94,31,0.893318828476901,0.630931415889329,1.26482611138724,0.524888454606152,0.91602877338264
"PI3K_AKT","age+stage",93,30,0.989893657963988,0.682311124043304,1.43613290117652,0.95733169013047,0.968641598107863
"RAS_MAPK","uni",94,31,0.733599529569079,0.519813135745917,1.03531102385806,0.0779796204706089,0.26513070960007
"RAS_MAPK","age",94,31,0.755424184582598,0.529203894630374,1.07834750356641,0.122449350458007,0.401485182704029
"RAS_MAPK","age+stage",93,30,0.828695054744868,0.565132857507581,1.21517530724957,0.33599991052857,0.951999746497616
"RET_ALK_NTRK","uni",94,31,0.950009659315851,0.687584404437394,1.31259282055982,0.755869639161223,0.937886685347076
"RET_ALK_NTRK","age",94,31,0.943473944940579,0.68698980144743,1.29571513711889,0.719239045683191,0.91602877338264
"RET_ALK_NTRK","age+stage",93,30,0.986555873713912,0.704442485068831,1.38164933630361,0.937220403236457,0.968641598107863
"SRC_FAK","uni",94,31,0.852558353358246,0.598606823108097,1.21424567482698,0.376656303845141,0.652026921153767
"SRC_FAK","age",94,31,0.902608625965156,0.625301722460324,1.30289475049127,0.584282944012388,0.91602877338264
"SRC_FAK","age+stage",93,30,0.991954211034276,0.663095544508564,1.4839085633095,0.968641598107863,0.968641598107863
"TAM_AXL_AXIS","uni",94,31,0.715037059939547,0.525924482587736,0.97215097226758,0.0323403862387627,0.183262188686322
"TAM_AXL_AXIS","age",94,31,0.718729911626118,0.528083082026596,0.978203437011587,0.0357204650054357,0.202415968364136
