"accession","module","n_members","n_present","coverage","missing"
"GSE13911","EPH_RECEPTORS",4,4,1,""
"GSE13911","ERBB_LIGANDS",6,6,1,""
"GSE13911","ERBB_RECEPTORS",4,4,1,""
"GSE13911","FGFR_AXIS",8,8,1,""
"GSE13911","HGF_MET_AXIS",3,3,1,""
"GSE13911","IGF_INSR_AXIS",4,3,0.75,"IGF2"
"GSE13911","JAK_STAT",9,9,1,""
"GSE13911","PDGFR_KIT_CSF1R",5,5,1,""
"GSE13911","PI3K_AKT",9,9,1,""
"GSE13911","RAS_MAPK",12,12,1,""
"GSE13911","RET_ALK_NTRK",6,6,1,""
"GSE13911","SRC_FAK",5,5,1,""
"GSE13911","TAM_AXL_AXIS",3,3,1,""
"GSE13911","TGFB_SMAD",5,5,1,""
"GSE13911","TIE_ANGPT_AXIS",3,3,1,""
"GSE13911","VEGF_PDGF_AXIS",9,9,1,""
"GSE13911","WNT_CTNNB1",4,4,1,""
"GSE27342","EPH_RECEPTORS",4,4,1,""
"GSE27342","ERBB_LIGANDS",6,6,1,""
"GSE27342","ERBB_RECEPTORS",4,4,1,""
"GSE27342","FGFR_AXIS",8,5,0.625,"FGFR2;FGF2;FGF7"
"GSE27342","HGF_MET_AXIS",3,3,1,""
"GSE27342","IGF_INSR_AXIS",4,4,1,""
"GSE27342","JAK_STAT",9,7,0.778,"STAT5A;STAT5B"
"GSE27342","PDGFR_KIT_CSF1R",5,4,0.8,"PDGFRA"
"GSE27342","PI3K_AKT",9,8,0.889,"PDPK1"
"GSE27342","RAS_MAPK",12,8,0.667,"KRAS;MAP2K1;MAP2K2;DUSP6"
"GSE27342","RET_ALK_NTRK",6,6,1,""
"GSE27342","SRC_FAK",5,4,0.8,"FYN"
"GSE27342","TAM_AXL_AXIS",3,2,0.667,"TYRO3"
"GSE27342","TGFB_SMAD",5,5,1,""
"GSE27342","TIE_ANGPT_AXIS",3,3,1,""
"GSE27342","VEGF_PDGF_AXIS",9,9,1,""
"GSE27342","WNT_CTNNB1",4,4,1,""
"GSE63089","EPH_RECEPTORS",4,4,1,""
"GSE63089","ERBB_LIGANDS",6,6,1,""
"GSE63089","ERBB_RECEPTORS",4,4,1,""
"GSE63089","FGFR_AXIS",8,5,0.625,"FGFR2;FGF2;FGF7"
"GSE63089","HGF_MET_AXIS",3,3,1,""
"GSE63089","IGF_INSR_AXIS",4,3,0.75,"IGF2"
"GSE63089","JAK_STAT",9,7,0.778,"STAT5A;STAT5B"
"GSE63089","PDGFR_KIT_CSF1R",5,4,0.8,"PDGFRA"
"GSE63089","PI3K_AKT",9,8,0.889,"PDPK1"
"GSE63089","RAS_MAPK",12,7,0.583,"KRAS;BRAF;MAP2K1;MAP2K2;DUSP6"
"GSE63089","RET_ALK_NTRK",6,6,1,""
"GSE63089","SRC_FAK",5,4,0.8,"FYN"
"GSE63089","TAM_AXL_AXIS",3,2,0.667,"TYRO3"
