"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","fdr"
"Asthma","EPH_RECEPTORS",3,0.149957153913401,0.134075332249066,0.263372944104367,-0.11282566851001,0.412739976336813,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.344410773059556
"COPD","EPH_RECEPTORS",2,0.102986615747994,0.289395654708729,0.721939517376663,-0.464218444763504,0.670191676259493,84.2983397039931,0.141501079298368,"SMDH 2","GSE47460;GSE76925",0.721939517376663
"CRC","EPH_RECEPTORS",3,2.25455399118408,0.212432102212657,2.59129656352932e-26,1.83819472168715,2.67091326068102,53.1946861465038,0.0720155504576779,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",4.40520415799984e-25
"ESCC","EPH_RECEPTORS",2,-0.388996239834087,0.264950374325972,0.142053901260751,-0.908289431203398,0.130296951535223,39.8717613144213,0.0648222526985684,"SMCRPH 2","GSE20347;GSE23400",0.241491632143276
"HCC","EPH_RECEPTORS",2,-0.186920782928567,0.183086355037929,0.307281314649321,-0.545763444863621,0.171921879006487,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.348252156602563
"IBD","EPH_RECEPTORS",3,-0.101800842810897,0.330704947985943,0.758211833719969,-0.749970630372538,0.546368944750744,72.9489173357546,0.23495267003455,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.758211833719969
"LUAD","EPH_RECEPTORS",3,1.38099906246075,0.392702167554014,0.000437017130315555,0.611316957404065,2.15068116751743,90.3549296148988,0.412590979935422,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.00106132731648063
"NAFLD","EPH_RECEPTORS",2,-0.14089221205073,0.640625490265049,0.825926342753851,-1.39649510054854,1.11471067644708,88.0370743993522,0.7236074369339,"SMDH 2","GSE33814;GSE66676",0.880988098937441
"PAAD","EPH_RECEPTORS",3,0.979029986470875,0.399147009235868,0.0141746951976723,0.196716223831698,1.76134374911005,88.2762123769642,0.421781171967041,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.0283493903953447
"STAD","EPH_RECEPTORS",3,1.56781642488762,0.21068592519931,9.95587142245669e-14,1.15487959944747,1.98075325032776,54.4665752603639,0.072474336766353,"SMCRPH 3","GSE13911;GSE27342;GSE63089",1.59293942759307e-12
"Asthma","ERBB_LIGANDS",3,-0.248715662477112,0.137161789193604,0.0697853496258948,-0.517547829351651,0.020116504397428,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.131816771515579
"COPD","ERBB_LIGANDS",2,-0.143883887129669,0.141324992559693,0.308627368217229,-0.420875782662059,0.133108008402721,36.3837391673849,0.0152386495833821,"SMDH 2","GSE47460;GSE76925",0.500239662284905
"CRC","ERBB_LIGANDS",3,-0.412958302600204,0.104490876042196,7.74686273666297e-05,-0.617756656355948,-0.20815994884446,0,0,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.0001463296294703
"ESCC","ERBB_LIGANDS",2,-0.502518197896739,0.168517747020414,0.00286381566945537,-0.832806912812582,-0.172229482980896,0,0,"SMCRPH 2","GSE20347;GSE23400",0.00695498091153446
