"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","fdr"
"Asthma","EPH_RECEPTORS",3,0.149957153913401,0.134075332249066,0.379682827177913,-0.42692244038011,0.726836748206912,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.496508312463425
"COPD","EPH_RECEPTORS",2,0.102986615747994,0.289395654708729,0.782344329430561,-3.57413382274044,3.78010705423643,84.2983397039931,0.141501079298368,"SMDH 2","GSE47460;GSE76925",0.782344329430561
"CRC","EPH_RECEPTORS",3,2.25484763862376,0.211906581267722,0.00871659919074962,1.34308720828032,3.1666080689672,52.9723162755966,0.0713754024636395,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.0751705726157372
"ESCC","EPH_RECEPTORS",2,-0.388996239834088,0.264950374325972,0.380658710399866,-3.75550994094601,2.97751746127784,39.8717613144213,0.0648222526985684,"SMCRPH 2","GSE20347;GSE23400",0.556341190807378
"HCC","EPH_RECEPTORS",2,-0.186920782928567,0.183086355037929,0.493402869889916,-2.51325349444046,2.13941192858333,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.559189919208572
"IBD","EPH_RECEPTORS",3,-0.100069979219483,0.314854318844471,0.780729847060275,-1.45477877366905,1.25463881523009,70.1627333555625,0.204877209281255,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.780729847060275
"LUAD","EPH_RECEPTORS",3,1.37654015831525,0.349418641841261,0.0588074951063846,-0.126886914828402,2.8799672314589,87.7894965181047,0.316652021601747,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.130215398348004
"NAFLD","EPH_RECEPTORS",2,-0.14089221205073,0.640625490265049,0.862182824115549,-8.28081085057074,7.99902642646928,88.0370743993521,0.7236074369339,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"PAAD","EPH_RECEPTORS",3,0.978803194046276,0.4092225639014,0.139206152690811,-0.781939387599159,2.73954577569171,88.7772848273421,0.443113884585123,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.278412305381622
"STAD","EPH_RECEPTORS",3,1.56719726693813,0.209202650385985,0.0173565863204547,0.667070912184048,2.46732362169221,53.8398777169,0.0706678065803405,"SMCRPH 3","GSE13911;GSE27342;GSE63089",0.128614721881009
"Asthma","ERBB_LIGANDS",3,-0.248715662477112,0.137161789193604,0.211463632771407,-0.838875209168294,0.341443884214071,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.399431306345992
"COPD","ERBB_LIGANDS",2,-0.143883887129669,0.141324992559693,0.494288399535055,-1.9395881769315,1.65182040267216,36.3837391673849,0.0152386495833821,"SMDH 2","GSE47460;GSE76925",0.647626107011489
"CRC","ERBB_LIGANDS",3,-0.402298938241558,0.116338059247444,0.0744127535102838,-0.902861206436329,0.0982633299532129,13.2523993732697,0.00605808594217818,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.115374726063886
"ESCC","ERBB_LIGANDS",2,-0.502518197896739,0.168517747020414,0.205985558841552,-2.64373919321701,1.63870279742353,0,0,"SMCRPH 2","GSE20347;GSE23400",0.500250642900913
"HCC","ERBB_LIGANDS",2,-0.833441932511759,0.590121688421186,0.392228280064468,-8.33164892484844,6.66476505982492,80.7359449076183,0.56878482698814,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.512913904699689
"IBD","ERBB_LIGANDS",3,0.615046621050885,0.42429728741506,0.284218920930561,-1.21055726087081,2.44065050297258,88.1152214141397,0.474421969061795,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.439247423256322
"LUAD","ERBB_LIGANDS",3,-0.169213687834068,0.301868608054899,0.631518972126748,-1.46804947830715,1.12962210263902,86.1388050951,0.232569123320647,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.715721501743647
"NAFLD","ERBB_LIGANDS",2,0.125596579190446,0.204858180470247,0.64986598969172,-2.47737340374474,2.72856656212564,0,0,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"PAAD","ERBB_LIGANDS",3,0.500782697328845,0.120386261440406,0.0532190542297994,-0.0171975790820514,1.01876297373974,0,0,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.170300973535358
"STAD","ERBB_LIGANDS",3,-0.311666291838608,0.337644944268488,0.453422312595659,-1.76443523298153,1.14110264930431,87.5596928996942,0.282396382891084,"SMCRPH 3","GSE13911;GSE27342;GSE63089",0.565245955085955
"Asthma","ERBB_RECEPTORS",3,-0.441141421988087,0.132322609749832,0.0794043555860356,-1.01047966003578,0.128196816059601,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.399431306345992
"COPD","ERBB_RECEPTORS",2,-0.225703474427274,0.306585673247423,0.596001036033779,-4.12124380788699,3.66983685903245,86.0458977519654,0.162054795375588,"SMDH 2","GSE47460;GSE76925",0.647626107011489
"CRC","ERBB_RECEPTORS",3,-0.0867944633426476,0.455125443771894,0.866361142684999,-2.04504119636622,1.87145226968093,91.3532931679881,0.564363393013598,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.866361142684999
"ESCC","ERBB_RECEPTORS",2,-0.923873043282417,0.217001515013665,0.146868505716177,-3.68113872110613,1.8333926345413,27.087359494123,0.0317927373731946,"SMCRPH 2","GSE20347;GSE23400",0.465918289350664
"HCC","ERBB_RECEPTORS",2,-0.528332352667163,0.193001519756126,0.222971248859762,-2.98064917708137,1.92398447174704,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.512913904699689
"IBD","ERBB_RECEPTORS",3,-1.49362404801439,0.149684098567822,0.00989431430130397,-2.13766274331732,-0.849585352711457,0,0,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.0592386217759894
"LUAD","ERBB_RECEPTORS",3,0.985669803446403,0.439030645219391,0.153874072552124,-0.903326600650478,2.87466620754328,91.5675072873248,0.525862139889046,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.217988269448843
"NAFLD","ERBB_RECEPTORS",2,-0.120306341764649,0.276801451063247,0.738986292502121,-3.63740225024451,3.39678956671521,43.6229510875822,0.06831211176478,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"PAAD","ERBB_RECEPTORS",3,0.158143050431547,0.124292466903643,0.33116480444655,-0.376644271578706,0.6929303724418,0,0,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.4415530725954
"STAD","ERBB_RECEPTORS",3,-0.250765903707943,0.275842788892824,0.459262338507339,-1.43762163231936,0.93608982490347,85.2234757485895,0.193313458547888,"SMCRPH 3","GSE13911;GSE27342;GSE63089",0.565245955085955
"Asthma","FGFR_AXIS",3,-0.158563111336145,0.213334334435307,0.534774103909727,-1.0764666677435,0.759340445071212,59.8210412191411,0.0816120758065163,"SMDH 3","GSE4302;GSE43696;GSE67472",0.568197485404085
"COPD","FGFR_AXIS",2,-0.192455350788257,0.225571201578381,0.550327589323342,-3.0586092206281,2.67369851905158,73.4534218792607,0.0752930059604945,"SMDH 2","GSE47460;GSE76925",0.647626107011489
"CRC","FGFR_AXIS",3,-1.61486384771969,0.244183385214336,0.0221089919458051,-2.66550015667162,-0.564227538767765,68.5349465334073,0.12078468878746,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.0751705726157372
"ESCC","FGFR_AXIS",2,-0.338543918548956,0.690202371041552,0.709689692552472,-9.10839655439614,8.43130871729823,91.5940605672606,0.8737803942698,"SMCRPH 2","GSE20347;GSE23400",0.742282569290281
"HCC","FGFR_AXIS",2,-0.558215245569507,0.223850804483532,0.2427928812319,-3.40250939769468,2.28607890655567,58.0870873676521,0.0582151813247432,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.512913904699689
"IBD","FGFR_AXIS",3,-0.152114907038824,0.200868655095172,0.527937934888739,-1.01638297420517,0.712153160127521,44.2215093996578,0.0491360496910822,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.723493494053571
"LUAD","FGFR_AXIS",3,-2.0083442487795,0.138114403058245,0.00469606399928914,-2.60260256211578,-1.41408593544323,0,0,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.072160231157351
"NAFLD","FGFR_AXIS",2,-0.0795298757752889,0.295455174579237,0.832603993498375,-3.83364381434132,3.67458406279074,51.146066843351,0.0906792385943491,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"PAAD","FGFR_AXIS",3,-0.290097404478526,0.333195898464193,0.475742769671553,-1.72372364654681,1.14352883758976,83.3702718791641,0.273372133348813,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.543706022481775
"STAD","FGFR_AXIS",3,-0.0308673640967854,0.203478179021013,0.893344704948906,-0.906363306505996,0.844628578312425,65.6234112595093,0.0809797202027702,"SMCRPH 3","GSE13911;GSE27342;GSE63089",0.893344704948906
