"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","fdr"
"Asthma","EPH_RECEPTORS",3,0.149957153913401,0.101046196863721,0.27606598106283,-0.284809540853089,0.584723848679891,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.391093473172342
"COPD","EPH_RECEPTORS",2,0.102986615747994,0.289395654708729,0.782344329430561,-3.57413382274044,3.78010705423643,84.2983397039931,0.141501079298368,"SMDH 2","GSE47460;GSE76925",0.782344329430561
"CRC","EPH_RECEPTORS",3,2.22636940044749,0.21079327488155,0.00884558877015257,1.31939914086556,3.13333966002942,58.9894715841193,0.0839439132295754,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.0250625015154323
"ESCC","EPH_RECEPTORS",2,-0.443526899550947,0.279048986616642,0.357515823600661,-3.98918045492408,3.10212665582218,70.5605179225164,0.113210920069198,"SMCRPH 2","GSE20347;GSE23400",0.563326464216796
"HCC","EPH_RECEPTORS",2,-0.179386610939216,0.0763434792249905,0.256151860546998,-1.14942248824385,0.790649266365413,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.434646555131756
"IBD","EPH_RECEPTORS",3,0.0422718464182583,0.288820244951201,0.897057393554884,-1.20042136892793,1.28496506176445,71.2976318106108,0.185024638148845,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.897057393554884
"LUAD","EPH_RECEPTORS",3,1.38069048940312,0.335992515992875,0.054429851444652,-0.0649686267090148,2.82634960551525,89.7773036437488,0.310988073813077,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.114712152258267
"NAFLD","EPH_RECEPTORS",2,-0.14089221205073,0.640625490265049,0.862182824115549,-8.28081085057074,7.99902642646928,88.0370743993521,0.7236074369339,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"PAAD","EPH_RECEPTORS",3,0.966949002128393,0.410813211214781,0.142823322131827,-0.800637582522028,2.73453558677882,93.2230634836093,0.474470852645545,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.285646644263654
"STAD","EPH_RECEPTORS",3,1.58556450206306,0.201852785616241,0.0158233146632776,0.717062063023811,2.45406694110231,69.2290885045799,0.0926606333858616,"SMCRPH 3","GSE13911;GSE27342;GSE63089",0.125733237208378
"Asthma","ERBB_LIGANDS",3,-0.248715662477112,0.107698122116867,0.147199469334186,-0.71210328159214,0.214671956637917,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.35748442552588
"COPD","ERBB_LIGANDS",2,-0.143883887129669,0.141324992559693,0.494288399535055,-1.9395881769315,1.65182040267216,36.3837391673849,0.0152386495833821,"SMDH 2","GSE47460;GSE76925",0.647626107011489
"CRC","ERBB_LIGANDS",3,-0.460136276793008,0.053698222840031,0.0133470023123059,-0.691181081878363,-0.229091471707654,0,0,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.0278571848031028
"ESCC","ERBB_LIGANDS",2,-0.501066076162017,0.0171393890709729,0.021767630918934,-0.718842662750754,-0.283289489573281,0,0,"SMCRPH 2","GSE20347;GSE23400",0.370049725621878
"HCC","ERBB_LIGANDS",2,-0.819744233503399,0.588938304338608,0.396611512549388,-8.30291490540532,6.66342643839852,83.0087534703652,0.585570555925656,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.449493047555973
"IBD","ERBB_LIGANDS",3,0.732106413890344,0.339363927153829,0.163684025904502,-0.728058713656575,2.19227154143726,80.4472652855597,0.278484941741358,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.252966221852413
"LUAD","ERBB_LIGANDS",3,-0.146863539697473,0.300410534315561,0.673282949849108,-1.43942574521582,1.14569866582087,91.580675815908,0.245315693185292,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.763054009828989
"NAFLD","ERBB_LIGANDS",2,0.125596579190446,0.183590924437524,0.618039308987194,-2.20714729441631,2.4583404527972,0,0,"SMDH 2","GSE33814;GSE66676",0.919661679056586
