"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","fdr"
"Asthma","EPH_RECEPTORS",3,0.149957153913401,0.101046196863721,0.27606598106283,-0.284809540853089,0.584723848679891,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.391093473172342
"COPD","EPH_RECEPTORS",2,0.102986615747994,0.289395654708729,0.782344329430561,-3.57413382274044,3.78010705423643,84.2983397039931,0.141501079298368,"SMDH 2","GSE47460;GSE76925",0.782344329430561
"CRC","EPH_RECEPTORS",1,1.88593719666668,0.324490504319907,6.17326758062389e-09,1.24994749487443,2.52192689845894,0,0,"SMDH 1","GSE23878",NA
"HCC","EPH_RECEPTORS",1,-0.42713765908099,0.542967647724106,0.431473668610793,-1.49133469339067,0.637059375228689,0,0,"SMDH 1","GSE62232",NA
"IBD","EPH_RECEPTORS",2,-0.027025735545153,0.473094660864868,0.963672304183426,-6.03826335608531,5.98421188499501,85.7009519197384,0.383631010067784,"SMDH 2","GSE75214;GSE87473",0.963672304183426
"NAFLD","EPH_RECEPTORS",2,-0.14089221205073,0.640625490265049,0.862182824115549,-8.28081085057074,7.99902642646928,88.0370743993521,0.7236074369339,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"Asthma","ERBB_LIGANDS",3,-0.248715662477112,0.107698122116867,0.147199469334186,-0.71210328159214,0.214671956637917,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.35748442552588
"COPD","ERBB_LIGANDS",2,-0.143883887129669,0.141324992559693,0.494288399535055,-1.9395881769315,1.65182040267216,36.3837391673849,0.0152386495833821,"SMDH 2","GSE47460;GSE76925",0.647626107011489
"CRC","ERBB_LIGANDS",1,-0.361490736468385,0.276883494491857,0.191698886215499,-0.904172413586018,0.181190940649249,0,0,"SMDH 1","GSE23878",NA
"HCC","ERBB_LIGANDS",1,-1.49024504945301,0.459183094833291,0.00117274775824472,-2.3902273776359,-0.590262721270125,0,0,"SMDH 1","GSE62232",NA
"IBD","ERBB_LIGANDS",2,0.970042272275968,0.384666838563081,0.240340296552252,-3.9176133337236,5.85769787827553,81.0953606595052,0.240142312965016,"SMDH 2","GSE75214;GSE87473",0.349585885894184
"NAFLD","ERBB_LIGANDS",2,0.125596579190446,0.183590924437524,0.618039308987194,-2.20714729441631,2.4583404527972,0,0,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"Asthma","ERBB_RECEPTORS",3,-0.441141421988087,0.109574564457229,0.05651725483678,-0.912602720861091,0.0303198768849164,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.238988416282864
"COPD","ERBB_RECEPTORS",2,-0.225703474427274,0.306585673247423,0.596001036033779,-4.12124380788699,3.66983685903245,86.0458977519654,0.162054795375588,"SMDH 2","GSE47460;GSE76925",0.647626107011489
"CRC","ERBB_RECEPTORS",1,0.18878585694169,0.276865036180019,0.495321397090056,-0.353859642549526,0.731431356432907,0,0,"SMDH 1","GSE23878",NA
"HCC","ERBB_RECEPTORS",1,-0.428432305010883,0.399709801163266,0.283783640853098,-1.21184911955855,0.354984509536784,0,0,"SMDH 1","GSE62232",NA
"IBD","ERBB_RECEPTORS",2,-1.4984724015229,0.0117571334964,0.00499486681053109,-1.64786094683869,-1.3490838562071,0,0,"SMDH 2","GSE75214;GSE87473",0.0475692078219002
"NAFLD","ERBB_RECEPTORS",2,-0.120306341764649,0.276801451063247,0.738986292502121,-3.63740225024451,3.39678956671521,43.6229510875822,0.06831211176478,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"Asthma","FGFR_AXIS",3,-0.158563111336145,0.209513158805046,0.528164936104842,-1.06002547598711,0.742899253314821,59.8210412191411,0.0816120758065163,"SMDH 3","GSE4302;GSE43696;GSE67472",0.561175244611395
"COPD","FGFR_AXIS",2,-0.192455350788257,0.225571201578381,0.550327589323342,-3.0586092206281,2.67369851905158,73.4534218792607,0.0752930059604945,"SMDH 2","GSE47460;GSE76925",0.647626107011489
"CRC","FGFR_AXIS",1,-1.66766978984206,0.322878037923066,2.40420116395304e-07,-2.30049911557023,-1.03484046411389,0,0,"SMDH 1","GSE23878",NA
