context,sample_id,gene,assay_status,assayed,variant_reported
CRC,TCGA-AF-2687-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2687-01,TP53,variant_reported,1,1
CRC,TCGA-AF-2687-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2687-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2689-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2689-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2689-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2689-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2690-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2690-01,TP53,variant_reported,1,1
CRC,TCGA-AF-2690-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2690-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2691-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2691-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2691-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2691-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2692-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2692-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2692-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2692-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2693-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2693-01,TP53,variant_reported,1,1
CRC,TCGA-AF-2693-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-2693-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-3400-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-3400-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-3400-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-3400-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-3911-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-3911-01,TP53,variant_reported,1,1
CRC,TCGA-AF-3911-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-3911-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-4110-01,KRAS,variant_reported,1,1
CRC,TCGA-AF-4110-01,TP53,variant_reported,1,1
CRC,TCGA-AF-4110-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-4110-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-5654-01,KRAS,variant_reported,1,1
CRC,TCGA-AF-5654-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-5654-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-5654-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-6136-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-6136-01,TP53,variant_reported,1,1
CRC,TCGA-AF-6136-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-6136-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-6655-01,KRAS,variant_reported,1,1
CRC,TCGA-AF-6655-01,TP53,variant_reported,1,1
CRC,TCGA-AF-6655-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-6655-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-6672-01,KRAS,variant_reported,1,1
CRC,TCGA-AF-6672-01,TP53,variant_reported,1,1
CRC,TCGA-AF-6672-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-6672-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-A56K-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-A56K-01,TP53,variant_reported,1,1
CRC,TCGA-AF-A56K-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-A56K-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-A56L-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-A56L-01,TP53,variant_reported,1,1
CRC,TCGA-AF-A56L-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-A56L-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-A56N-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-A56N-01,TP53,variant_reported,1,1
CRC,TCGA-AF-A56N-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AF-A56N-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3574-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3574-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3574-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3574-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3575-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3575-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3575-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3575-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3580-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3580-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3580-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3580-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3581-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3581-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3581-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3581-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3583-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3583-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3583-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3583-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3584-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3584-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3584-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3584-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3591-01,KRAS,variant_reported,1,1
CRC,TCGA-AG-3591-01,TP53,variant_reported,1,1
CRC,TCGA-AG-3591-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3591-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3592-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3592-01,TP53,variant_reported,1,1
CRC,TCGA-AG-3592-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3592-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3594-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3594-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3594-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3594-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3598-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3598-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3598-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3598-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3599-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3599-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3599-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3599-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3602-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3602-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3602-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3602-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3605-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3605-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3605-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3605-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3725-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3725-01,TP53,variant_reported,1,1
CRC,TCGA-AG-3725-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3725-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3726-01,KRAS,variant_reported,1,1
CRC,TCGA-AG-3726-01,TP53,variant_reported,1,1
CRC,TCGA-AG-3726-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3726-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3727-01,KRAS,variant_reported,1,1
CRC,TCGA-AG-3727-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3727-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3727-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3731-01,KRAS,variant_reported,1,1
CRC,TCGA-AG-3731-01,TP53,variant_reported,1,1
CRC,TCGA-AG-3731-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3731-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3732-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3732-01,TP53,variant_reported,1,1
CRC,TCGA-AG-3732-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3732-01,ERBB2,variant_reported,1,1
CRC,TCGA-AG-3742-01,KRAS,variant_reported,1,1
CRC,TCGA-AG-3742-01,TP53,variant_reported,1,1
CRC,TCGA-AG-3742-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3742-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3878-01,KRAS,variant_reported,1,1
CRC,TCGA-AG-3878-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3878-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3878-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3881-01,KRAS,variant_reported,1,1
CRC,TCGA-AG-3881-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3881-01,EGFR,variant_reported,1,1
CRC,TCGA-AG-3881-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3882-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3882-01,TP53,variant_reported,1,1
CRC,TCGA-AG-3882-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3882-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3883-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3883-01,TP53,variant_reported,1,1
CRC,TCGA-AG-3883-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3883-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3885-01,KRAS,variant_reported,1,1
CRC,TCGA-AG-3885-01,TP53,variant_reported,1,1
CRC,TCGA-AG-3885-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3885-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3887-01,KRAS,variant_reported,1,1
CRC,TCGA-AG-3887-01,TP53,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3887-01,EGFR,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3887-01,ERBB2,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3890-01,KRAS,mutation_assayed_no_variant_reported,1,0
CRC,TCGA-AG-3890-01,TP53,variant_reported,1,1
CRC,TCGA-AG-3890-01,EGFR,mutation_assayed_no_variant_reported,1,0
