"accession","n","r2_disease_on_composition","max_vif"
"GSE10072",66,0.812763803697584,2.75383877527224
"GSE13911",69,0.195114616251764,2.12004520729087
"GSE15471",72,0.328991218714103,3.14383213961847
"GSE179285",53,0.343731815508955,1.79789625092858
"GSE19804",120,0.669275297923058,3.18635568643985
"GSE20347",34,0.531563828640928,1.66339029984087
"GSE23400",106,0.161290051801569,2.8369857402456
"GSE23878",59,0.596527988629114,1.64602124438006
"GSE27342",160,0.0547051402176156,1.70493274898192
"GSE28735",90,0.517721622912949,2.67026823115756
"GSE32863",114,0.886514481780992,3.34806691660647
"GSE33814",44,0.329040158060923,1.95476661823073
"GSE41258",235,0.38199067834231,2.0054661455264
"GSE4302",70,0.105503989593801,1.89772302609962
"GSE43696",108,0.0712822074376865,2.21957766340846
"GSE44076",196,0.31959938955064,2.56438851030953
"GSE47460",236,0.127113936689344,2.06458139875947
"GSE57957",74,0.462902599918693,1.53195130142809
"GSE62232",86,0.246353162592437,1.29262599762068
"GSE62452",84,0.533774665252629,2.57502274481529
"GSE63089",90,0.14505606974711,2.77291913907383
"GSE66676",65,0.0453585200022083,1.2930442952668
"GSE67472",105,0.112081273852462,1.5716881023983
"GSE75214",97,0.54167352918636,4.06430175224428
"GSE76925",151,0.107444666823553,1.53822395841233
"GSE87473",127,0.412765534258994,4.52620882907707
