"feature","n","events","ph_p_z","ph_p_global","ph_violation"
"EPH_RECEPTORS",94,31,0.651224258618094,0.815558582511167,FALSE
"ERBB_LIGANDS",94,31,0.327308750002242,0.586774765147144,FALSE
"ERBB_RECEPTORS",94,31,0.191750723715801,0.401229052360614,FALSE
"FGFR_AXIS",94,31,0.178597631727398,0.404664401801347,FALSE
"HGF_MET_AXIS",94,31,0.295505114835794,0.574219687183506,FALSE
"IGF_INSR_AXIS",94,31,0.865533296073808,0.957592255170958,FALSE
"JAK_STAT",94,31,0.788465402122358,0.94550240704684,FALSE
"PDGFR_KIT_CSF1R",94,31,0.493069937570345,0.766213625372102,FALSE
"PI3K_AKT",94,31,0.984235472951016,0.956322864984764,FALSE
"RAS_MAPK",94,31,0.35295089048825,0.539525360245698,FALSE
"RET_ALK_NTRK",94,31,0.663640261664857,0.90458838190058,FALSE
"SRC_FAK",94,31,0.594551017907346,0.779064043869322,FALSE
"TAM_AXL_AXIS",94,31,0.771898434906394,0.920194674579076,FALSE
"TGFB_SMAD",94,31,0.149397549601813,0.34184683774406,FALSE
"TIE_ANGPT_AXIS",94,31,0.69777827042311,0.886960697719733,FALSE
"VEGF_PDGF_AXIS",94,31,0.65040776211511,0.829631745721866,FALSE
"WNT_CTNNB1",94,31,0.723940362439594,0.928511446822024,FALSE
