layer,unit,n_assay_records,n_samples,n_patients,n_cells,case_definition,control_definition,platform,notes
bulk_GEO,GSE10072,66,66,33,,see sample registry,see sample registry,GPL96,
bulk_GEO,GSE13911,69,69,38,,see sample registry,see sample registry,GPL570,
bulk_GEO,GSE15471,72,72,36,,see sample registry,see sample registry,GPL570,
bulk_GEO,GSE16879,43,43,43,,see sample registry,see sample registry,GPL570,
bulk_GEO,GSE179285,53,53,42,,see sample registry,see sample registry,GPL6480,
bulk_GEO,GSE19804,120,120,60,,see sample registry,see sample registry,GPL570,
bulk_GEO,GSE20347,34,34,17,,see sample registry,see sample registry,GPL571,
bulk_GEO,GSE23400,106,106,53,,see sample registry,see sample registry,GPL96,
bulk_GEO,GSE23878,59,59,59,,see sample registry,see sample registry,GPL570,
bulk_GEO,GSE27342,160,160,80,,see sample registry,see sample registry,GPL5175,
bulk_GEO,GSE28735,90,90,45,,see sample registry,see sample registry,GPL6244,
bulk_GEO,GSE32863,114,114,57,,see sample registry,see sample registry,GPL6884,
bulk_GEO,GSE33814,44,44,44,,see sample registry,see sample registry,GPL6884,
bulk_GEO,GSE41258,235,235,191,,see sample registry,see sample registry,GPL96,
bulk_GEO,GSE4302,70,70,70,,see sample registry,see sample registry,GPL570,
bulk_GEO,GSE43696,108,108,108,,see sample registry,see sample registry,GPL6480,
bulk_GEO,GSE44076,196,196,98,,see sample registry,see sample registry,GPL13667,
bulk_GEO,GSE47460,236,236,236,,see sample registry,see sample registry,GPL14550,
bulk_GEO,GSE57957,74,74,37,,see sample registry,see sample registry,GPL10558,
bulk_GEO,GSE62232,86,86,85,,see sample registry,see sample registry,GPL570,
bulk_GEO,GSE62452,84,84,42,,see sample registry,see sample registry,GPL6244,
bulk_GEO,GSE63089,90,90,45,,see sample registry,see sample registry,GPL5175,
bulk_GEO,GSE66676,65,65,65,,see sample registry,see sample registry,GPL6244,
bulk_GEO,GSE67472,105,105,105,,see sample registry,see sample registry,GPL16311,
bulk_GEO,GSE75214,97,97,97,,see sample registry,see sample registry,GPL6244,
bulk_GEO,GSE76925,151,151,151,,see sample registry,see sample registry,GPL10558,
bulk_GEO,GSE87473,127,127,127,,see sample registry,see sample registry,GPL13158,
TCGA,LUAD,559,518,585,,tumour,TCGA reference/normal where available,GDC (RNA-seq/mutation/CNA),
TCGA,CRC,534,592,594,,tumour,TCGA reference/normal where available,GDC (RNA-seq/mutation/CNA),
TCGA,STAD,431,412,443,,tumour,TCGA reference/normal where available,GDC (RNA-seq/mutation/CNA),
TCGA,PAAD,173,179,185,,tumour,TCGA reference/normal where available,GDC (RNA-seq/mutation/CNA),
TCGA,HCC,366,366,372,,tumour,TCGA reference/normal where available,GDC (RNA-seq/mutation/CNA),
TCGA,ESCC,96,96,95,,tumour,TCGA reference/normal where available,GDC (RNA-seq/mutation/CNA),restricted to squamous-cell carcinoma (96 of 185 patients)
