context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_overlap_donors,n_pairs,median_diff,mean_a,mean_b,p_paired,p_unpaired,test_used,p_used,fdr
CRC,ERBB_RECEPTORS,BEST4+ colonocyte,tumour-vs-adjacent,9,16,8,8,-0.12022273183340054,0.36685078419024325,0.48847887542365487,0.3125,nan,wilcoxon-signed-rank (paired donors),0.3125,0.5625
CRC,ERBB_RECEPTORS,colon goblet cell,tumour-vs-adjacent,14,17,10,10,-0.17317508984988333,0.3492596197791706,0.5604334958386095,0.00390625,nan,wilcoxon-signed-rank (paired donors),0.00390625,0.017578125
CRC,ERBB_RECEPTORS,colonocyte,tumour-vs-adjacent,14,20,13,13,-0.09110573534984662,0.3529849477554662,0.4014428413590446,0.09423828125,nan,wilcoxon-signed-rank (paired donors),0.09423828125,0.28271484375
CRC,ERBB_RECEPTORS,early colonocyte,tumour-vs-adjacent,18,20,14,14,0.021870176661853674,0.35798296470540597,0.4050332854360528,0.8077392578125,nan,wilcoxon-signed-rank (paired donors),0.8077392578125,0.979949951171875
CRC,ERBB_RECEPTORS,enteroendocrine cell of colon,tumour-vs-adjacent,9,15,6,6,-0.09244140095653985,0.32750676655107075,0.3836782350742271,0.84375,nan,wilcoxon-signed-rank (paired donors),0.84375,0.979949951171875
CRC,ERBB_RECEPTORS,intestinal crypt stem cell of colon,tumour-vs-adjacent,21,20,16,16,-0.050300893471354524,0.2602170659114643,0.3108749988129015,0.979949951171875,nan,wilcoxon-signed-rank (paired donors),0.979949951171875,0.979949951171875
CRC,ERBB_RECEPTORS,malignant cell,tumour-vs-adjacent,28,20,19,19,0.1033018739864614,0.3703439304658126,0.22826142030890803,0.000965118408203125,nan,wilcoxon-signed-rank (paired donors),0.000965118408203125,0.008686065673828125
CRC,ERBB_RECEPTORS,secretory cell,tumour-vs-adjacent,19,18,13,13,-0.06273011134552772,0.25444165875435243,0.3692625537641628,0.19091796875,nan,wilcoxon-signed-rank (paired donors),0.19091796875,0.4295654296875
CRC,ERBB_RECEPTORS,tuft cell of colon,tumour-vs-adjacent,16,18,11,11,-0.03748937557594534,0.3318893916517948,0.3364681735873207,0.9658203125,nan,wilcoxon-signed-rank (paired donors),0.9658203125,0.979949951171875
CRC,ERBB_RECEPTORS,malignant cell vs BEST4+ colonocyte,cell-identity,28,16,16,0,nan,0.3703439304658126,0.48847887542365487,nan,0.005620854016306688,mann-whitney (cell-identity; unpaired),0.005620854016306688,0.022483416065226754
CRC,ERBB_RECEPTORS,malignant cell vs colonocyte,cell-identity,28,20,20,0,nan,0.3703439304658126,0.4014428413590446,nan,0.31046872117647717,mann-whitney (cell-identity; unpaired),0.31046872117647717,0.36200459928309214
CRC,ERBB_RECEPTORS,malignant cell vs early colonocyte,cell-identity,28,20,20,0,nan,0.3703439304658126,0.4050332854360528,nan,0.07046646391957853,mann-whitney (cell-identity; unpaired),0.07046646391957853,0.14093292783915706
CRC,ERBB_RECEPTORS,malignant cell vs secretory cell,cell-identity,28,18,18,0,nan,0.3703439304658126,0.3692625537641628,nan,0.36200459928309214,mann-whitney (cell-identity; unpaired),0.36200459928309214,0.36200459928309214
CRC,ERBB_LIGANDS,BEST4+ colonocyte,tumour-vs-adjacent,9,16,8,8,-0.06317176481296603,0.2643608366888305,0.2081479287834332,1.0,nan,wilcoxon-signed-rank (paired donors),1.0,1.0
CRC,ERBB_LIGANDS,colon goblet cell,tumour-vs-adjacent,14,17,10,10,-0.15300059058368304,0.28110046717214915,0.3522155926230966,0.16015625,nan,wilcoxon-signed-rank (paired donors),0.16015625,0.2515869140625
CRC,ERBB_LIGANDS,colonocyte,tumour-vs-adjacent,14,20,13,13,0.06706742709946065,0.2877046368032232,0.18960877004121135,0.167724609375,nan,wilcoxon-signed-rank (paired donors),0.167724609375,0.2515869140625
CRC,ERBB_LIGANDS,early colonocyte,tumour-vs-adjacent,18,20,14,14,0.06858447612283775,0.17061831912177547,0.07410950027790938,0.0067138671875,nan,wilcoxon-signed-rank (paired donors),0.0067138671875,0.05172157287597656
